evaluation,source,fitness,final_x,final_y,latent_0,latent_1,cell_x,cell_y,inserted,replaced,latent_clipped,steps,food_collected,wall_collisions,hazard_contacts,path_length,displacement,loop_score,bbox_area,is_loop,is_near_still,assignment_geodesic_distance
1,bootstrap_random,1.296000000000001,-0.7435753652155065,-0.7642843198698716,1.0991859436035156,-0.22235709428787231,20,10,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,0.9815166586098084
2,bootstrap_random,1.3410000000000009,-0.6892951966189103,-0.7843294530146124,0.9063069820404053,-0.37819501757621765,20,10,False,False,False,162,0,0,0,0.048322807997465134,0.0464574471116066,1.1876237306169792,0.0007311867084354162,False,True,1.015254872612973
3,bootstrap_random,2.750999999999999,-0.9515840059380101,0.1185596077907601,-1.412253499031067,6.41019868850708,19,13,False,False,False,142,0,13,0,5.143886566162109,0.9026349186897278,3.9970361127743184,0.7769939303398132,True,False,2.0972782265669725
4,bootstrap_random,1.3360000000000014,-0.9196144916242057,-0.873203063628677,2.3471333980560303,-1.1559679508209229,20,10,False,False,False,157,0,8,0,1.2308712005615234,0.22232995927333832,3.8687930880460852,0.05605123192071915,True,False,0.6315926993842808
5,bootstrap_random,1.296000000000001,-0.7266069482020562,-0.7483343701612426,0.7692490816116333,-0.21679824590682983,20,10,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,1.2252646940462504
6,bootstrap_random,1.296000000000001,-0.7389718144725377,-0.7620218892331885,1.0197762250900269,-0.23600289225578308,20,10,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,1.0138892183588777
7,bootstrap_random,-2.413,-0.9736626120204329,-0.9748042948946098,2.562143087387085,0.30488017201423645,20,10,False,False,False,159,0,113,0,0.5028477907180786,0.33561626076698303,0.6298701414842793,0.07523252069950104,False,False,1.5108801421287983
8,bootstrap_random,1.296000000000001,-0.7305857958031575,-0.758047146980354,0.8763080835342407,-0.2670254111289978,20,10,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,1.1065468887756056
9,bootstrap_random,1.296000000000001,-0.7271085936360175,-0.7723724502070558,0.9751054644584656,-0.4141601026058197,20,10,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,0.9401199329141569
10,bootstrap_random,1.378000000000001,-0.792123974875228,-0.9121627762817729,1.3609670400619507,-0.30002453923225403,20,10,False,False,False,161,0,0,0,0.25443795323371887,0.16414257884025574,9.449934029108006,0.00889825914055109,False,False,0.7475381347287623
11,bootstrap_random,1.378000000000001,-0.8071019308146423,-0.6260239243964295,0.9941266775131226,-0.306090384721756,20,10,False,False,False,161,0,0,0,0.19230207800865173,0.16596613824367523,0.7790032618435012,0.01220361515879631,False,False,0.9904868369881183
12,bootstrap_random,-2.339999999999999,0.2809662700593955,-0.9697543213679503,-1.581316590309143,-9.656984329223633,19,7,False,False,False,155,0,119,0,1.1416969299316406,1.051546335220337,0.6045638352634375,0.29370513558387756,False,False,1.3370652576474216
13,bootstrap_random,1.296000000000001,-0.7273117121315548,-0.7543806358705313,0.8090698719024658,-0.259836882352829,20,10,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,1.1696376702102331
14,bootstrap_random,2.2659999999999956,-0.2750962030121482,-0.037411579771838614,3.3068768978118896,18.707260131835938,20,17,False,False,False,142,0,32,0,5.058323383331299,0.8584644198417664,2.2754967983014054,1.0653072595596313,True,False,3.1411356666325965
15,bootstrap_random,1.455000000000001,-0.2952730396591014,-0.9749903916656041,-0.44665250182151794,-3.544222593307495,19,9,False,False,False,160,0,4,0,0.4991266429424286,0.4844391644001007,0.36848817448525245,0.09493155032396317,False,False,1.5277495255672282
16,bootstrap_random,1.296000000000001,-0.7279499884925964,-0.7611496665714689,0.8713838458061218,-0.3130437731742859,20,10,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,1.0851165366038116
17,bootstrap_random,1.7680000000000007,0.7048495045596682,-0.9565409834612703,-1.6178573369979858,-6.102816581726074,19,8,False,False,False,156,0,7,0,1.66328763961792,1.4685962200164795,2.113383017261061,0.31037524342536926,True,False,1.0472140947187136
18,bootstrap_random,1.296000000000001,-0.7332740322846022,-0.754218176814009,0.8829234838485718,-0.2051219642162323,20,10,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,1.1422891437784415
19,bootstrap_random,-0.020999999999999852,-0.6700864413688682,0.9749693785523107,-7.3937530517578125,17.614486694335938,18,17,False,False,False,153,0,69,0,2.358126640319824,1.7359706163406372,0.6253261304659561,0.7906526327133179,False,False,2.0769841534721087
20,bootstrap_random,5.310999999999991,-0.3291860821301012,0.22552927659424563,-17.497961044311523,18.38265609741211,15,17,False,False,False,192,1,55,0,6.32853364944458,1.0596379041671753,2.5967013186554477,1.1804230213165283,True,False,2.20269530053024
21,bootstrap_random,5.106999999999998,0.886349717097455,-0.19792724015126192,-15.45615005493164,1.3590002059936523,15,11,False,False,False,179,1,10,4,4.516384124755859,1.7066930532455444,5.8780286219328834,1.4403561353683472,True,False,1.7283807033470817
22,bootstrap_random,1.296000000000001,-0.7341005704659593,-0.7704975138220203,1.0287847518920898,-0.36058488488197327,20,10,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,0.9275035817704947
23,bootstrap_random,1.296000000000001,-0.7433746774041082,-0.7562172612701575,1.034761667251587,-0.13504140079021454,20,10,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,1.0883195924243492
24,bootstrap_random,5.068999999999997,-0.9679679808300207,-0.4996360498323013,2.5820651054382324,-5.466297149658203,20,9,False,False,False,178,1,30,0,7.379150867462158,0.33460813760757446,4.014957011336616,0.9022856950759888,True,False,1.917229141617058
25,bootstrap_random,1.365000000000001,-0.9737744343452863,-0.4621718362742836,2.0593903064727783,1.2538596391677856,20,11,False,False,False,160,0,4,0,0.4010341763496399,0.38527214527130127,0.4500268210148831,0.07110344618558884,False,False,0.8406790178676622
26,bootstrap_random,1.296000000000001,-0.7454386102101647,-0.7581162621570543,1.076582908630371,-0.13871178030967712,20,10,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,1.0543313157100853
27,bootstrap_random,-3.3190000000000044,-0.2747911468831573,-0.7037387775023676,0.8227472901344299,-5.799011707305908,20,8,False,False,False,157,0,141,0,0.7355424761772156,0.4728429615497589,1.3494556525175747,0.11444753408432007,False,False,1.219575937736818
28,bootstrap_random,1.296000000000001,-0.7280238317677482,-0.7595024313678067,0.857883632183075,-0.29815030097961426,20,10,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,1.105172386057582
29,bootstrap_random,3.3439999999999963,-0.2750957426106302,-0.10356761505642403,-10.318794250488281,7.706207752227783,17,13,False,False,False,203,1,31,0,0.9618428945541382,0.8036419153213501,3.9212774758843154,0.31731849908828735,False,False,2.269166011995745
30,bootstrap_random,1.6420000000000008,-0.04914091723847578,-0.9604599298435098,-0.8250938057899475,-4.128152370452881,19,9,False,False,False,159,0,1,0,0.7361897230148315,0.7221215963363647,0.3292862278529735,0.14868640899658203,False,False,1.4944798616687172
31,bootstrap_random,1.407000000000001,-0.6088477214611654,-0.7725313517114325,0.7203117609024048,-0.23171862959861755,20,10,False,False,False,159,0,0,0,0.8425859808921814,0.1431821584701538,4.069841375867208,0.018361929804086685,False,False,1.2527742297922897
32,bootstrap_random,6.2579999999999965,0.546159251071739,-0.4523323166298288,-18.325002670288086,1.19362211227417,14,11,False,False,False,181,1,7,0,6.7622294425964355,1.3199858665466309,7.709753610570313,1.842012643814087,True,False,2.8405983164934003
33,bootstrap_random,7.772999999999999,-0.27906959037550044,-0.9736575369845757,-15.380624771118164,4.810981750488281,15,12,False,False,False,236,2,5,0,4.2542948722839355,0.5078082084655762,8.886546634329411,0.38999950885772705,True,False,1.5636662823551803
