index,latent_0,latent_1
0,7.085592746734619,-10.335403442382812
1,6.72307825088501,-9.83637809753418
2,5.80515193939209,-1.3109010457992554
3,6.624944686889648,-9.943684577941895
4,6.63163423538208,-9.656947135925293
5,6.9747467041015625,-10.173656463623047
6,7.4985246658325195,-10.533244132995605
7,6.773703575134277,-9.880643844604492
8,6.785746097564697,-9.93692684173584
9,7.20822811126709,-10.583131790161133
10,6.889524936676025,-10.066812515258789
11,1.727459192276001,-2.3218328952789307
12,6.682907581329346,-9.743669509887695
13,-0.38224124908447266,0.4273158609867096
14,3.1537234783172607,-4.538366794586182
15,6.736505508422852,-9.836981773376465
16,2.322770118713379,-3.5380818843841553
17,6.8081135749816895,-9.919079780578613
18,1.647002935409546,0.7163119316101074
19,-2.081225872039795,-0.29598695039749146
20,-5.0233330726623535,-9.87134838104248
21,6.9223785400390625,-10.123478889465332
22,7.034409999847412,-10.239522933959961
23,7.3154296875,-1.303907871246338
24,8.96992015838623,-11.105948448181152
25,7.089592456817627,-10.321863174438477
26,2.8119897842407227,-0.758296012878418
27,6.7282280921936035,-9.820838928222656
28,2.745474100112915,-11.079829216003418
29,2.748488664627075,-3.8702073097229004
30,6.403083324432373,-9.0564546585083
31,-4.527068614959717,-7.092990398406982
32,-8.131046295166016,-13.194129943847656
33,-7.3130059242248535,-12.991851806640625
34,6.832692623138428,-9.951603889465332
35,6.539088726043701,-9.350456237792969
36,-3.8339035511016846,0.42985469102859497
37,2.485954523086548,0.8787235021591187
38,3.448909282684326,-0.8708139657974243
39,7.9192585945129395,-11.076759338378906
40,6.777028560638428,-9.856264114379883
41,7.093186855316162,-10.287363052368164
42,8.22260856628418,-10.634188652038574
43,7.093547344207764,-10.350013732910156
44,0.7828096151351929,-2.19657826423645
45,6.361370086669922,-9.408331871032715
46,2.693084478378296,-1.7499277591705322
47,6.791226387023926,-9.933757781982422
48,5.743435859680176,-6.471607208251953
49,2.664968252182007,-0.8176019191741943
50,7.968357563018799,-10.512981414794922
51,-0.8683664798736572,-15.915303230285645
52,6.6681671142578125,-9.709214210510254
53,7.262671947479248,-10.57511043548584
54,6.829119682312012,-9.9567289352417
55,6.695708274841309,-9.763359069824219
56,6.662137985229492,-9.71299934387207
57,5.743687629699707,-6.119416236877441
58,2.194300889968872,0.36238712072372437
59,7.200516223907471,-10.491629600524902
60,7.287665843963623,-10.595293045043945
61,9.638402938842773,-10.92623233795166
62,4.144909858703613,-5.753190040588379
63,7.08038854598999,-10.346484184265137
64,6.7720255851745605,-9.874768257141113
65,3.0633416175842285,-1.7009658813476562
66,6.925282955169678,-10.116392135620117
67,6.764135837554932,-9.883191108703613
68,8.123041152954102,-9.331888198852539
69,2.500720739364624,-0.2380867451429367
70,6.901393890380859,-10.064395904541016
71,6.087910175323486,-8.80754566192627
72,2.6803231239318848,2.8505859375
73,6.817955493927002,-9.951252937316895
74,6.896327018737793,-10.092264175415039
75,7.139499664306641,-10.394651412963867
76,5.926689624786377,-8.59194278717041
77,7.9228715896606445,-11.549896240234375
78,5.0227813720703125,-7.112879753112793
79,2.4311413764953613,-4.660403728485107
80,-6.994449138641357,-17.803205490112305
81,7.099266529083252,-10.373905181884766
82,2.2533602714538574,-2.109203815460205
83,3.8736913204193115,-9.305485725402832
84,7.1895952224731445,-10.486217498779297
85,6.62448787689209,-9.657958030700684
86,6.6651129722595215,-9.71522331237793
87,2.77778697013855,-8.215591430664062
88,7.186675548553467,-10.463214874267578
