evaluation,event,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs,geodesic_graph_support_points,geodesic_graph_visited_points,geodesic_graph_reservoir_points,geodesic_graph_rolling_buffer_points,geodesic_graph_centroids,geodesic_graph_k,geodesic_graph_refresh_count,geodesic_graph_finite_centroid_fraction,geodesic_graph_connected_components,geodesic_graph_largest_component_fraction,geodesic_graph_penalized_centroid_distances,geodesic_graph_cumulative_penalized_centroid_distances,geodesic_graph_refreshes_with_penalty,geodesic_graph_penalty_distance,geodesic_graph_reservoir_strategy,geodesic_graph_reservoir_seed
2000,bootstrap,89,0.1424,1040.8779999999988,595.8779999999989,-5.0,20.339999999999943,6.69525842696628,0.6972366462623532,21.87480986860912,22.01228607319611,20,1.0,0,1625,2000,1000,1000,625,20,2,0.31012726153846154,3,0.997,700652,700652,1,223.90691901032838,rolling_recent_buffer,1002
2100,log,89,0.1424,1074.6649999999986,629.6649999999987,-5.0,24.57499999999988,7.074887640449424,0.6972366462623532,nan,nan,20,nan,-1,1625,2100,1000,1000,625,20,2,0.31012726153846154,3,0.997,700652,700652,1,223.90691901032838,rolling_recent_buffer,1002
2200,log,89,0.1424,1103.7539999999983,658.7539999999987,-5.0,24.57499999999988,7.401730337078637,0.6972366462623532,nan,nan,20,nan,-1,1625,2200,1000,1000,625,20,2,0.31012726153846154,3,0.997,700652,700652,1,223.90691901032838,rolling_recent_buffer,1002
2300,log,95,0.152,1200.6679999999983,725.6679999999985,-5.0,24.57499999999988,7.638610526315774,0.7073707001087877,nan,nan,20,nan,-1,1625,2300,1000,1000,625,20,3,0.3296521846153846,4,0.995,680822,1381474,2,223.90691901032838,rolling_recent_buffer,1002
2400,log,101,0.1616,1324.534999999998,819.5349999999981,-5.0,24.57499999999988,8.114207920792062,0.7168839010790715,nan,nan,20,nan,-1,1625,2400,1000,1000,625,20,3,0.3296521846153846,4,0.995,680822,1381474,2,223.90691901032838,rolling_recent_buffer,1002
2500,log,107,0.1712,1429.998999999998,894.9989999999981,-5.0,24.57499999999988,8.364476635514,0.7258479495171639,nan,nan,20,nan,-1,1625,2500,1000,1000,625,20,4,0.3755913846153846,3,0.995,634165,2015639,3,223.90691901032838,rolling_recent_buffer,1002
2600,log,111,0.1776,1533.7299999999977,978.7299999999977,-5.0,24.57499999999988,8.817387387387367,0.7315489098597286,nan,nan,20,nan,-1,1625,2600,1000,1000,625,20,4,0.3755913846153846,3,0.995,634165,2015639,3,223.90691901032838,rolling_recent_buffer,1002
2700,log,115,0.184,1629.5729999999976,1054.5729999999976,-5.0,24.57499999999988,9.17019999999998,0.7370480233665949,nan,nan,20,nan,-1,1625,2700,1000,1000,625,20,4,0.3755913846153846,3,0.995,634165,2015639,3,223.90691901032838,rolling_recent_buffer,1002
2800,log,119,0.1904,1725.4589999999978,1130.4589999999978,-5.0,26.029999999999937,9.499655462184855,0.742359095711189,nan,nan,20,nan,-1,1625,2800,1000,1000,625,20,5,0.43279753846153846,3,0.998,576065,2591704,4,223.90691901032838,rolling_recent_buffer,1002
2900,log,122,0.1952,1795.171999999997,1185.171999999997,-5.0,26.029999999999937,9.71452459016391,0.7462265253630841,nan,nan,20,nan,-1,1625,2900,1000,1000,625,20,5,0.43279753846153846,3,0.998,576065,2591704,4,223.90691901032838,rolling_recent_buffer,1002
