cell_x,cell_y,fitness,descriptor_x,descriptor_y,centroid_x,centroid_y,novelty_score,steps,food_collected,wall_collisions,hazard_contacts
2,6,11.42499999999999,-14.555136680603027,-10.151849746704102,-17.097915782928464,-10.496623352050783,0.08274824267213188,220,2,9,7
2,7,11.432999999999979,-16.36844825744629,-8.820056915283203,-17.097915782928464,-8.729255142211915,0.08180072518456696,236,2,12,3
3,4,3.959999999999997,-13.55187702178955,-11.934483528137207,-13.325783515930175,-14.031359771728516,0.08265641978540145,135,0,9,0
3,5,3.9659999999999966,-12.591363906860352,-12.599937438964844,-13.325783515930175,-12.26399156188965,0.07506524906476021,137,0,8,0
3,6,10.713999999999976,-11.605435371398926,-10.278329849243164,-13.325783515930175,-10.496623352050783,0.0705746089974332,238,2,17,5
3,7,11.988999999999981,-15.185608863830566,-7.321687698364258,-13.325783515930175,-8.729255142211915,0.07021163164341586,238,2,11,2
3,8,12.569999999999988,-11.982224464416504,-7.258326053619385,-13.325783515930175,-6.961886932373048,0.07104978738804785,240,2,9,0
3,9,11.009999999999946,-12.390300750732422,-3.2739369869232178,-13.325783515930175,-5.1945187225341805,0.07247578486020317,235,2,8,4
3,10,7.524999999999997,-12.548097610473633,-1.7988520860671997,-13.325783515930175,-3.427150512695315,0.07299529490346976,190,1,8,0
3,11,11.23799999999997,-12.489363670349121,-2.468860149383545,-13.325783515930175,-1.6597823028564473,0.07559238227896123,216,2,7,3
3,12,7.973999999999996,-11.067368507385254,1.425932765007019,-13.325783515930175,0.10758590698241999,0.07936246057782127,183,1,9,0
4,6,5.400999999999997,-10.19725513458252,-10.289588928222656,-9.553651248931883,-10.496623352050783,0.07440526575641991,207,1,37,0
4,7,7.499999999999997,-10.941986083984375,-8.320075988769531,-9.553651248931883,-8.729255142211915,0.071237614493184,185,1,11,3
4,8,7.767999999999997,-11.248888969421387,-6.950234413146973,-9.553651248931883,-6.961886932373048,0.06962136477084489,191,1,7,0
4,9,11.579999999999972,-8.572477340698242,-5.658275604248047,-9.553651248931883,-5.1945187225341805,0.06962505067621623,245,2,21,0
4,10,15.48499999999997,-9.526473999023438,-2.657505512237549,-9.553651248931883,-3.427150512695315,0.0699858533700028,280,3,25,0
4,11,17.119999999999976,-8.530805587768555,-2.0831031799316406,-9.553651248931883,-1.6597823028564473,0.0718011825638485,280,4,38,4
4,12,15.649999999999952,-7.858950138092041,-0.7384728789329529,-9.553651248931883,0.10758590698241999,0.07240130178850222,280,3,13,3
4,13,14.379999999999963,-10.764044761657715,-0.6026291847229004,-9.553651248931883,1.8749541168212875,0.0741298269855156,280,3,22,4
4,14,7.649999999999997,-8.818239212036133,1.8514809608459473,-9.553651248931883,3.642322326660155,0.07715710198195376,190,1,7,0
5,5,14.335999999999933,-4.740761756896973,-11.996618270874023,-5.781518981933594,-12.26399156188965,0.07680765975198539,262,3,11,8
5,6,13.489999999999915,-3.889104127883911,-11.364157676696777,-5.781518981933594,-10.496623352050783,0.07247325089584505,255,3,6,10
5,7,11.88200000000002,-4.646093845367432,-9.4415864944458,-5.781518981933594,-8.729255142211915,0.07064598844426112,219,2,19,2
