evaluation,source,fitness,final_x,final_y,latent_0,latent_1,cell_x,cell_y,inserted,replaced,latent_clipped,steps,food_collected,wall_collisions,hazard_contacts,path_length,displacement,loop_score,bbox_area,is_loop,is_near_still,assignment_geodesic_distance
1,bootstrap_random,1.296000000000001,-0.749367278951941,-0.7672988256934353,-0.2832898497581482,-2.8449981212615967,8,6,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,1.062376470591893
2,bootstrap_random,1.296000000000001,-0.747865436171198,-0.7728032942969422,-0.32587116956710815,-2.959156036376953,8,6,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,0.9387959558159318
3,bootstrap_random,1.296000000000001,-0.7486329773284855,-0.7739423422622032,-0.32241934537887573,-2.981760025024414,8,6,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,0.9278968681237423
4,bootstrap_random,1.288000000000001,-0.7390746660400641,-0.7502182377025702,-0.27298587560653687,-2.6114561557769775,8,7,False,False,False,161,0,0,0,0.17251284420490265,0.015500339679419994,8.74425466938837,0.0003146339731756598,False,True,1.2332230043464103
5,bootstrap_random,1.296000000000001,-0.7457827146866017,-0.7569806332783335,-0.2740986943244934,-2.636124849319458,8,7,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,1.2548915116446764
6,bootstrap_random,1.296000000000001,-0.747896486221224,-0.7617818068091828,-0.27246302366256714,-2.7317545413970947,8,6,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,1.1696411188181632
7,bootstrap_random,1.296000000000001,-0.7277548550632627,-0.7668443847623182,-0.5105999708175659,-2.845839262008667,8,6,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,0.9893373052554909
8,bootstrap_random,2.2110000000000007,-0.9066267786890647,-0.67570561714539,-0.8187153339385986,-3.1001861095428467,8,6,False,False,False,152,0,5,0,2.648247718811035,0.18907864391803741,3.4928649402799192,0.26637333631515503,True,False,0.7331851334961205
9,bootstrap_random,1.2230000000000008,-0.9749497239494592,-0.9107317073679895,0.1531849205493927,-4.119481563568115,8,6,False,False,False,161,0,7,0,0.3018156886100769,0.28397902846336365,0.7018377577664573,0.0379282645881176,False,False,0.9819242191756473
10,bootstrap_random,8.451999999999975,-0.8189846944229949,-0.9246033029729229,2.4050989151000977,2.832500696182251,10,9,False,False,False,224,2,6,0,7.267341613769531,0.19022393226623535,6.750387668262027,0.4735492169857025,True,False,2.1560152585503882
11,bootstrap_random,1.296000000000001,-0.7358309528235206,-0.7681233343642444,-0.42979806661605835,-2.857895851135254,8,6,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,0.9976792733906142
