evaluation,event,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs,geodesic_graph_support_points,geodesic_graph_visited_points,geodesic_graph_reservoir_points,geodesic_graph_rolling_buffer_points,geodesic_graph_centroids,geodesic_graph_k,geodesic_graph_refresh_count,geodesic_graph_finite_centroid_fraction,geodesic_graph_connected_components,geodesic_graph_largest_component_fraction,geodesic_graph_penalized_centroid_distances,geodesic_graph_cumulative_penalized_centroid_distances,geodesic_graph_refreshes_with_penalty,geodesic_graph_penalty_distance,geodesic_graph_reservoir_strategy,geodesic_graph_reservoir_seed
2000,bootstrap,119,0.1904,1302.415999999999,707.4159999999987,-5.0,21.71499999999995,5.944672268907552,0.742359095711189,17.46302121821945,17.59087442129189,20,1.0,0,1625,2000,1000,1000,625,20,2,0.3920699076923077,2,0.995,617429,617429,1,165.9791032445413,rolling_recent_buffer,1003
2100,log,119,0.1904,1349.9629999999988,754.9629999999985,-5.0,21.869999999999923,6.34422689075629,0.742359095711189,nan,nan,20,nan,-1,1625,2100,1000,1000,625,20,2,0.3920699076923077,2,0.995,617429,617429,1,165.9791032445413,rolling_recent_buffer,1003
2200,log,119,0.1904,1399.3959999999984,804.3959999999983,-5.0,21.869999999999923,6.759630252100826,0.742359095711189,nan,nan,20,nan,-1,1625,2200,1000,1000,625,20,2,0.3920699076923077,2,0.995,617429,617429,1,165.9791032445413,rolling_recent_buffer,1003
2300,log,124,0.1984,1520.766999999998,900.7669999999978,-5.0,21.869999999999923,7.264249999999982,0.7487523327810273,nan,nan,20,nan,-1,1625,2300,1000,1000,625,20,3,0.46550153846153847,1,1.0,542850,1160279,2,165.9791032445413,rolling_recent_buffer,1003
2400,log,129,0.2064,1614.9359999999976,969.9359999999976,-5.0,21.869999999999923,7.518883720930214,0.7548928055590123,nan,nan,20,nan,-1,1625,2400,1000,1000,625,20,3,0.46550153846153847,1,1.0,542850,1160279,2,165.9791032445413,rolling_recent_buffer,1003
2500,log,131,0.2096,1678.4339999999975,1023.4339999999975,-5.0,21.869999999999923,7.8124732824427285,0.7572826024440955,nan,nan,20,nan,-1,1625,2500,1000,1000,625,20,4,0.4471128615384615,2,0.998,561526,1721805,3,165.9791032445413,rolling_recent_buffer,1003
2600,log,139,0.2224,1782.0959999999975,1087.0959999999973,-5.0,21.869999999999923,7.820834532374081,0.7664902595819671,nan,nan,20,nan,-1,1625,2600,1000,1000,625,20,4,0.4471128615384615,2,0.998,561526,1721805,3,165.9791032445413,rolling_recent_buffer,1003
2700,log,142,0.2272,1847.975999999997,1137.975999999997,-5.0,21.869999999999923,8.013915492957725,0.7698071201308583,nan,nan,20,nan,-1,1625,2700,1000,1000,625,20,4,0.4471128615384615,2,0.998,561526,1721805,3,165.9791032445413,rolling_recent_buffer,1003
2800,log,146,0.2336,1954.1719999999968,1224.1719999999968,-5.0,21.869999999999923,8.384739726027375,0.7741222235424994,nan,nan,20,nan,-1,1625,2800,1000,1000,625,20,5,0.5010658461538462,1,1.0,506730,2228535,4,165.9791032445413,rolling_recent_buffer,1003
2900,log,154,0.2464,2095.899999999997,1325.8999999999965,-5.0,21.869999999999923,8.609740259740237,0.7824086539001348,nan,nan,20,nan,-1,1625,2900,1000,1000,625,20,5,0.5010658461538462,1,1.0,506730,2228535,4,165.9791032445413,rolling_recent_buffer,1003
