evaluation,event,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
2000,bootstrap,153,0.2448,1636.0709999999985,871.0709999999983,-5.0,16.504999999999896,5.693274509803911,0.7813967041736396,19.605498859507417,20.150289625144914,10,1.0,0
2100,log,163,0.2608,1791.709999999998,976.709999999998,-5.0,16.504999999999896,5.99208588957054,0.7912312369203198,nan,nan,10,nan,-1
2200,log,169,0.2704,1928.3469999999975,1083.3469999999975,-5.0,16.504999999999896,6.410337278106494,0.7968463205835412,nan,nan,10,nan,-1
2300,log,177,0.2832,2099.5179999999973,1214.517999999997,-5.0,16.504999999999896,6.861683615819192,0.8040306638398781,nan,nan,10,nan,-1
2400,log,184,0.2944,2248.8179999999966,1328.8179999999966,-5.0,20.48499999999995,7.22183695652172,0.8100554419216398,nan,nan,10,nan,-1
2500,log,189,0.3024,2337.980999999996,1392.9809999999966,-5.0,20.48499999999995,7.370269841269823,0.814220134645031,nan,nan,10,nan,-1
2600,log,193,0.3088,2434.7959999999966,1469.7959999999962,-5.0,20.48499999999995,7.6155233160621565,0.8174733160326821,nan,nan,10,nan,-1
2700,log,199,0.3184,2538.585999999996,1543.5859999999961,-5.0,20.48499999999995,7.756713567839177,0.8222288017185675,nan,nan,10,nan,-1
2800,log,203,0.3248,2614.149999999996,1599.149999999996,-5.0,20.48499999999995,7.877586206896532,0.8253201223224168,nan,nan,10,nan,-1
2900,log,209,0.3344,2726.9489999999955,1681.9489999999955,-5.0,20.48499999999995,8.047602870813376,0.8298447257100322,nan,nan,10,nan,-1
3000,log,213,0.3408,2810.1319999999955,1745.1319999999953,-5.0,20.48499999999995,8.193107981220635,0.8327895292340064,20.974907552176624,21.606280244691412,10,1.0,0
3100,log,219,0.3504,2923.982999999995,1828.9829999999952,-5.0,20.48499999999995,8.351520547945183,0.8371046326456475,nan,nan,10,nan,-1
3200,log,224,0.3584,3035.266999999995,1915.2669999999948,-5.0,20.48499999999995,8.550299107142834,0.8406111863722832,nan,nan,10,nan,-1
3300,log,225,0.36,3057.417999999994,1932.4179999999947,-5.0,20.48499999999995,8.58852444444442,0.8413030972429927,nan,nan,10,nan,-1
3400,log,229,0.3664,3155.782999999994,2010.7829999999944,-5.0,20.48499999999995,8.780711790392989,0.8440403263733741,nan,nan,10,nan,-1
3500,log,234,0.3744,3284.1179999999945,2114.117999999994,-5.0,20.48499999999995,9.034692307692282,0.8473953970531116,nan,nan,10,nan,-1
3600,log,236,0.3776,3337.1029999999937,2157.1029999999937,-5.0,20.48499999999995,9.140266949152515,0.8487173942550784,nan,nan,10,nan,-1
3700,log,240,0.384,3412.7029999999936,2212.7029999999936,-5.0,20.48499999999995,9.219595833333306,0.8513281066948895,nan,nan,10,nan,-1
3800,log,242,0.3872,3475.7769999999937,2265.776999999993,-5.0,20.48499999999995,9.36271487603303,0.8526171907208374,nan,nan,10,nan,-1
3900,log,245,0.392,3536.6189999999933,2311.6189999999933,-5.0,20.48499999999995,9.435179591836707,0.8545309775610839,nan,nan,10,nan,-1
4000,log,249,0.3984,3645.309999999993,2400.309999999993,-5.0,20.48499999999995,9.639799196787122,0.85704655859016,23.27401790615161,23.893766822778556,10,1.0,0
4100,log,253,0.4048,3720.032999999993,2455.032999999993,-5.0,20.599999999999913,9.703687747035545,0.8595220489678395,nan,nan,10,nan,-1
4200,log,258,0.4128,3837.027999999993,2547.027999999993,-5.0,20.599999999999913,9.872201550387569,0.8625619450773606,nan,nan,10,nan,-1
4300,log,261,0.4176,3942.2579999999925,2637.2579999999925,-5.0,20.599999999999913,10.104436781609166,0.8643577307848677,nan,nan,10,nan,-1
4400,log,264,0.4224,3995.7809999999927,2675.780999999992,-5.0,20.599999999999913,10.135534090909061,0.8661329927777857,nan,nan,10,nan,-1
4500,log,266,0.4256,4059.281999999992,2729.281999999992,-5.0,20.599999999999913,10.260458646616511,0.8673053284076778,nan,nan,10,nan,-1
4600,log,268,0.4288,4118.939999999991,2778.9399999999914,-5.0,20.599999999999913,10.36917910447758,0.8684688824148388,nan,nan,10,nan,-1
4700,log,271,0.4336,4193.496999999992,2838.496999999991,-5.0,20.599999999999913,10.474158671586684,0.8701980327416148,nan,nan,10,nan,-1
4800,log,276,0.4416,4281.067999999991,2901.067999999991,-5.0,20.819999999999947,10.511115942028953,0.8730378510247877,nan,nan,10,nan,-1
4900,log,279,0.4464,4344.482999999991,2949.482999999991,-5.0,21.029999999999948,10.571623655913946,0.8747171509873233,nan,nan,10,nan,-1
5000,log,281,0.4496,4395.391999999991,2990.3919999999907,-5.0,21.804999999999946,10.641964412811355,0.8758266823735912,24.910168014718018,25.610528332307517,10,1.0,0
5100,log,282,0.4512,4461.656999999991,3051.656999999991,-5.0,21.804999999999946,10.821478723404224,0.876378490178186,nan,nan,10,nan,-1
5200,log,288,0.4608,4566.10399999999,3126.1039999999903,-5.0,21.804999999999946,10.854527777777744,0.879648794834734,nan,nan,10,nan,-1
5300,log,289,0.4624,4587.828999999991,3142.8289999999906,-5.0,21.804999999999946,10.874840830449795,0.8801872138612941,nan,nan,10,nan,-1
5400,log,291,0.4656,4634.931999999991,3179.9319999999902,-5.0,21.804999999999946,10.927601374570413,0.8812584852358807,nan,nan,10,nan,-1
5500,log,292,0.4672,4656.54199999999,3196.5419999999904,-5.0,21.804999999999946,10.947061643835584,0.8817913630608476,nan,nan,10,nan,-1
5600,log,294,0.4704,4722.81599999999,3252.8159999999903,-5.0,25.79999999999995,11.063999999999966,0.8828516657009284,nan,nan,10,nan,-1
5700,log,296,0.4736,4781.44099999999,3301.44099999999,-5.0,25.79999999999995,11.153516891891858,0.8839047797932771,nan,nan,10,nan,-1
5800,log,299,0.4784,4825.417999999991,3330.41799999999,-5.0,25.79999999999995,11.138521739130402,0.8854711836583656,nan,nan,10,nan,-1
5900,log,299,0.4784,4849.909999999991,3354.90999999999,-5.0,25.79999999999995,11.220434782608661,0.8854711836583656,nan,nan,10,nan,-1
6000,log,301,0.4816,4907.76499999999,3402.76499999999,-5.0,25.79999999999995,11.304867109634518,0.8865067457180579,25.627342216519512,26.355807673751602,10,1.0,0
6100,log,303,0.4848,4961.54899999999,3446.54899999999,-5.0,25.79999999999995,11.374749174917458,0.8875354497005677,nan,nan,10,nan,-1
6200,log,304,0.4864,5002.64199999999,3482.64199999999,-5.0,25.79999999999995,11.456059210526282,0.8880472581821808,nan,nan,10,nan,-1
6300,log,306,0.4896,5057.46499999999,3527.4649999999892,-5.0,27.584999999999866,11.527663398692775,0.8890658436919879,nan,nan,10,nan,-1
6400,log,309,0.4944,5131.73499999999,3586.7349999999897,-5.0,27.584999999999866,11.607556634304174,0.8905813067722956,nan,nan,10,nan,-1
6500,log,309,0.4944,5143.826999999989,3598.8269999999893,-5.0,27.584999999999866,11.646689320388315,0.8905813067722956,nan,nan,10,nan,-1
6600,log,312,0.4992,5232.343999999988,3672.3439999999887,-5.0,27.584999999999866,11.770333333333298,0.8920821274683117,nan,nan,10,nan,-1
6700,log,317,0.5072,5343.087999999989,3758.087999999989,-5.0,27.584999999999866,11.855167192428986,0.8945517142018181,nan,nan,10,nan,-1
6800,log,318,0.5088,5375.383999999988,3785.383999999988,-5.0,27.584999999999866,11.903723270440214,0.8950409547122106,nan,nan,10,nan,-1
6900,log,321,0.5136,5437.599999999988,3832.599999999988,-5.0,27.584999999999866,11.939563862928312,0.8964994981386603,nan,nan,10,nan,-1
7000,log,321,0.5136,5454.109999999988,3849.1099999999888,-5.0,27.584999999999866,11.990996884735168,0.8964994981386603,26.230867339478156,27.041003965414493,10,1.0,0
7100,log,322,0.5152,5490.146999999988,3880.146999999988,-5.0,27.584999999999866,12.050145962732882,0.8969826516654851,nan,nan,10,nan,-1
7200,log,322,0.5152,5496.062999999988,3886.0629999999883,-5.0,27.584999999999866,12.068518633540336,0.8969826516654851,nan,nan,10,nan,-1
7300,log,324,0.5184,5536.101999999988,3916.101999999988,-5.0,27.584999999999866,12.086734567901198,0.8979444735226818,nan,nan,10,nan,-1
7400,log,328,0.5248,5645.306999999988,4005.306999999988,-5.0,28.404999999999866,12.211301829268256,0.8998504328170758,nan,nan,10,nan,-1
7500,log,329,0.5264,5669.900999999988,4024.900999999988,-5.0,28.404999999999866,12.23374164133735,0.9003232908188833,nan,nan,10,nan,-1
7600,log,330,0.528,5707.2419999999875,4057.2419999999875,-5.0,28.404999999999866,12.294672727272689,0.9007947137410891,nan,nan,10,nan,-1
7700,log,332,0.5312,5761.901999999988,4101.901999999987,-5.0,28.404999999999866,12.355126506024058,0.9017332890053601,nan,nan,10,nan,-1
7800,log,333,0.5328,5780.507999999987,4115.507999999987,-5.0,28.404999999999866,12.358882882882844,0.902200458481225,nan,nan,10,nan,-1
7900,log,335,0.536,5840.664999999988,4165.664999999987,-5.0,28.404999999999866,12.43482089552235,0.9031306033781422,nan,nan,10,nan,-1
8000,log,336,0.5376,5871.475999999988,4191.475999999988,-5.0,28.404999999999866,12.474630952380917,0.9035935954754313,26.598784078568833,27.38038367287656,10,1.0,0
8100,log,336,0.5376,5896.396999999988,4216.396999999987,-5.0,28.404999999999866,12.548800595238058,0.9035935954754313,nan,nan,10,nan,-1
8200,log,336,0.5376,5911.014999999987,4231.014999999987,-5.0,28.404999999999866,12.592306547619009,0.9035935954754313,nan,nan,10,nan,-1
8300,log,337,0.5392,5930.352999999986,4245.352999999986,-5.0,28.404999999999866,12.597486646884233,0.9040552116654996,nan,nan,10,nan,-1
8400,log,341,0.5456,6049.1619999999875,4344.161999999987,-5.0,28.404999999999866,12.739478005865063,0.9058880793455752,nan,nan,10,nan,-1
8500,log,342,0.5472,6089.033999999987,4379.033999999987,-5.0,28.404999999999866,12.804192982456103,0.9063429368701286,nan,nan,10,nan,-1
8600,log,343,0.5488,6120.190999999986,4405.190999999986,-5.0,28.404999999999866,12.843122448979551,0.9067964663416257,nan,nan,10,nan,-1
8700,log,343,0.5488,6146.207999999986,4431.207999999986,-5.0,28.404999999999866,12.918973760932904,0.9067964663416257,nan,nan,10,nan,-1
8800,log,345,0.552,6197.932999999986,4472.932999999985,-5.0,28.404999999999866,12.965023188405755,0.9076995719880914,nan,nan,10,nan,-1
8900,log,345,0.552,6203.117999999986,4478.117999999986,-5.0,28.404999999999866,12.980052173913002,0.9076995719880914,nan,nan,10,nan,-1
9000,log,347,0.5552,6263.028999999986,4528.028999999986,-5.0,28.55999999999988,13.04907492795385,0.9085974573415494,26.970613515879432,27.758221430620534,10,1.0,0
9100,log,348,0.5568,6291.351999999986,4551.351999999986,-5.0,28.55999999999988,13.078597701149386,0.9090444612000678,nan,nan,10,nan,-1
9200,log,349,0.5584,6321.912999999986,4576.912999999986,-5.0,28.55999999999988,13.114363896848097,0.9094901824058664,nan,nan,10,nan,-1
9300,log,351,0.5616,6388.885999999986,4633.885999999985,-5.0,28.659999999999872,13.201954415954374,0.9103778061562595,nan,nan,10,nan,-1
9400,log,352,0.5632,6447.762999999985,4687.762999999985,-5.0,28.659999999999872,13.31750852272723,0.9108197231929859,nan,nan,10,nan,-1
9500,log,353,0.5648,6482.757999999985,4717.757999999985,-5.0,28.659999999999872,13.364753541076446,0.9112603865626757,nan,nan,10,nan,-1
