train_set,latent_dim,epochs,final_train_loss,final_validation_loss,overall_mse,overall_xy_mse,loop_count,loop_mse,loop_xy_mse,near_still_count,near_still_mse,near_still_xy_mse
bootstrap_only,2,30,0.6649105027142693,0.5423581004142761,0.09870648384094238,0.15419471263885498,17624,0.10981893539428711,0.17054197192192078,955,4.4379215978551656e-05,9.19412195798941e-05
bootstrap_only,4,30,0.49444436998928293,0.6384138464927673,0.0799393430352211,0.11220339685678482,17624,0.08976557105779648,0.12585905194282532,955,4.256179818185046e-05,8.249768143286929e-05
bootstrap_only,6,30,0.4661830547276665,0.5147719979286194,0.06896565854549408,0.08714056760072708,17624,0.07749690115451813,0.09782228618860245,955,3.8398997276090086e-05,7.308185013243929e-05
all_evaluations,2,30,0.5922123820360969,0.49941286444664,0.05240161716938019,0.055590055882930756,17624,0.05797234922647476,0.06028969958424568,955,0.0004714398819487542,0.0008417069329880178
all_evaluations,4,30,0.5143567625494564,0.424017071723938,0.04349016025662422,0.0414857491850853,17624,0.04842944070696831,0.045586660504341125,955,0.0002568185154814273,0.00037480381433852017
all_evaluations,6,30,0.45723763787045196,0.3683055341243744,0.03764274716377258,0.03508688881993294,17624,0.04201585054397583,0.0387997180223465,955,0.00040711983456276357,0.0006881398730911314
