seed,evaluation,graph_state_evaluation,latent_0,latent_1,fitness,source,actual_run_inserted,actual_run_replaced,actual_run_cell_x,actual_run_cell_y,euclidean_centroid_index,euclidean_cell_x,euclidean_cell_y,geodesic_centroid_index,geodesic_cell_x,geodesic_cell_y,assignment_disagrees,euclidean_distance_to_euclidean_choice,euclidean_distance_to_geodesic_choice,geodesic_distance_to_geodesic_choice,geodesic_distance_to_euclidean_choice,geodesic_gap_euclidean_choice_minus_geodesic_choice,geodesic_blowup_ratio_euclidean_choice_over_geodesic_choice,centroid_cell_displacement,synthetic_like_large_blowup_ratio_ge_2,synthetic_like_very_large_blowup_ratio_ge_5,final_euclidean_cell_occupied,final_euclidean_cell_fitness,candidate_minus_final_euclidean_cell_fitness,final_geodesic_cell_occupied,final_geodesic_cell_fitness,candidate_minus_final_geodesic_cell_fitness
1004,1,10000,3.4590859413146973,-8.621021270751953,1.3950000000000011,bootstrap_random,False,False,14,9,356,14,6,357,14,7,True,1.600564248765704,1.7212402440382149,1.870325896209681,2.1925457521297105,0.32221985592002955,1.1722800590918545,1.0,False,False,True,2.234,-0.8389999999999989,True,5.3999999999999995,-4.004999999999998
1004,2,10000,0.6865650415420532,1.2488703727722168,5.339999999999997,bootstrap_random,False,False,8,9,335,13,10,335,13,10,False,1.3825147854686521,1.3825147854686521,1.5056829969589574,1.5056829969589574,0.0,1.0,0.0,False,False,True,18.979999999999922,-13.639999999999926,True,18.979999999999922,-13.639999999999926
1004,3,10000,1.1043516397476196,-7.860015869140625,4.484000000000001,bootstrap_random,False,False,12,9,332,13,7,332,13,7,False,0.9096329314963701,0.9096329314963701,0.9708703597396946,0.9708703597396946,0.0,1.0,0.0,False,False,True,10.93499999999995,-6.45099999999995,True,10.93499999999995,-6.45099999999995
1004,4,10000,-0.5276984572410583,1.3459153175354004,2.2389999999999923,bootstrap_random,False,False,9,11,310,12,10,310,12,10,False,1.3575711944412396,1.3575711944412396,1.3808687507490505,1.3808687507490505,0.0,1.0,0.0,False,False,True,22.389999999999976,-20.150999999999982,True,22.389999999999976,-20.150999999999982
1004,5,10000,3.1065163612365723,-6.910115718841553,-2.909000000000002,bootstrap_random,False,False,15,10,357,14,7,357,14,7,False,0.8837587322173327,0.8837587322173327,0.9686572264727193,0.9686572264727193,0.0,1.0,0.0,False,False,True,5.3999999999999995,-8.309000000000001,True,5.3999999999999995,-8.309000000000001
1004,6,10000,1.742505431175232,-9.595254898071289,1.296000000000001,bootstrap_random,False,False,12,8,331,13,6,331,13,6,False,0.6677736545608358,0.6677736545608358,1.4053675878026222,1.4053675878026222,0.0,1.0,0.0,False,False,True,7.958,-6.661999999999999,True,7.958,-6.661999999999999
1004,7,10000,1.8298026323318481,-9.074448585510254,1.296000000000001,bootstrap_random,False,False,12,8,331,13,6,331,13,6,False,1.163254181522353,1.163254181522353,1.4229558874723125,1.4229558874723125,0.0,1.0,0.0,False,False,True,7.958,-6.661999999999999,True,7.958,-6.661999999999999
1004,8,10000,1.733422875404358,-10.290733337402344,0.8410000000000005,bootstrap_random,False,False,12,7,331,13,6,331,13,6,False,0.41951932187386903,0.41951932187386903,1.137511866893525,1.137511866893525,0.0,1.0,0.0,False,False,True,7.958,-7.117,True,7.958,-7.117
1004,9,10000,1.6530572175979614,-9.441405296325684,1.296000000000001,bootstrap_random,False,False,12,8,331,13,6,331,13,6,False,0.7560649275599439,0.7560649275599439,1.2669263878631913,1.2669263878631913,0.0,1.0,0.0,False,False,True,7.958,-6.661999999999999,True,7.958,-6.661999999999999
1004,10,10000,1.7751370668411255,-9.08261775970459,1.325000000000001,bootstrap_random,False,False,12,8,331,13,6,331,13,6,False,1.1339963225634215,1.1339963225634215,1.3687177844329967,1.3687177844329967,0.0,1.0,0.0,False,False,True,7.958,-6.632999999999999,True,7.958,-6.632999999999999
