sample_index,evaluation,source,fitness,final_x,final_y,latent_0,latent_1,path_length,loop_score,is_loop,is_near_still
0,23,bootstrap_random,1.296000000000001,-0.7232843225881552,-0.7306609252002693,-4.775406360626221,3.52933669090271,0.0,0.0,False,True
1,37,bootstrap_random,1.296000000000001,-0.7299708928056236,-0.7323658279637856,-4.846268653869629,3.587202787399292,0.0,0.0,False,True
2,122,bootstrap_random,1.296000000000001,-0.7255347198735485,-0.7116790809480573,-4.771142482757568,3.426802158355713,0.0,0.0,False,True
3,161,bootstrap_random,5.820999999999996,0.6968061221014248,0.1344155531582708,-3.041062355041504,-4.631725788116455,6.517719745635986,7.627030609238602,True,False
4,196,bootstrap_random,6.968999999999999,-0.21140822665506825,0.47041141094607714,9.297232627868652,3.3930740356445312,6.451618194580078,10.305532701905827,True,False
5,253,bootstrap_random,4.310000000000001,-0.4861305182643197,-0.43537287915775297,-3.9991495609283447,3.044678211212158,0.632994532585144,3.2715898820327025,False,False
6,345,bootstrap_random,5.764999999999996,-0.6119018510259072,0.14734086475508107,-0.15468533337116241,1.7370729446411133,6.766397476196289,2.0862888710794727,True,False
7,365,bootstrap_random,1.296000000000001,-0.7126579466220453,-0.7107856423536218,-4.638113975524902,3.33027720451355,0.0,0.0,False,True
8,370,bootstrap_random,-1.714999999999998,0.38043385341768954,-0.9691246519706851,-0.09042742848396301,0.8193326592445374,2.5119001865386963,0.5484219949611514,False,False
9,413,bootstrap_random,5.624999999999984,0.9747562974281738,0.5053397915362804,7.357161521911621,-4.307950496673584,4.2417755126953125,1.6225282851364817,True,False
10,422,bootstrap_random,7.300999999999996,0.10806803980178842,0.740851535851951,-1.418679118156433,0.31836968660354614,9.442754745483398,2.7345527499440916,True,False
11,452,bootstrap_random,-1.903999999999998,0.9749771967362437,-0.30389104560089913,-0.020982638001441956,0.7527914047241211,2.3592755794525146,0.4210471631674176,False,False
12,560,bootstrap_random,6.349000000000002,0.3186693501727438,-0.04047308609326347,-1.7531242370605469,2.6366770267486572,1.9554307460784912,2.160982909150843,True,False
13,719,bootstrap_random,4.638000000000001,-0.5926543690484256,-0.570616308160092,-3.861442804336548,1.3439874649047852,1.5970396995544434,6.87673523960459,True,False
14,722,bootstrap_random,1.296000000000001,-0.7256721047984813,-0.7116012877777552,-4.772438049316406,3.42728853225708,0.0,0.0,False,True
15,727,bootstrap_random,1.460000000000001,-0.5603502355901923,-0.9694468989430848,-3.605762481689453,2.87376070022583,0.34839263558387756,0.3085338553974991,False,False
16,759,bootstrap_random,1.3200000000000005,0.5534510414648788,0.21103705934742015,-1.087188959121704,2.069246292114258,2.086073637008667,4.089247612901011,True,False
17,778,bootstrap_random,1.1210000000000024,-0.506263343113614,-0.9524930153894681,-3.9408929347991943,2.873440980911255,1.2245886325836182,2.997975539521623,True,False
18,832,bootstrap_random,1.337000000000001,-0.7681379206389647,-0.9484708789004814,-4.569630146026611,3.2609691619873047,1.9546396732330322,9.51889404748016,True,False
19,837,bootstrap_random,4.511000000000001,-0.46578749539286074,-0.4727359019495915,-4.00926399230957,3.510688304901123,1.4528279304504395,4.2654060842586805,True,False
20,1031,bootstrap_random,1.296000000000001,-0.7261730813125217,-0.7120103947790414,-4.77815055847168,3.4333786964416504,0.0,0.0,False,True
21,1040,bootstrap_random,1.722000000000001,-0.4741355988829968,-0.006778760799149406,-3.1922340393066406,3.337902545928955,0.7877296805381775,0.21845475930243222,False,False
22,1109,bootstrap_random,1.296000000000001,-0.7148110963973465,-0.7287860078503797,-4.686021327972412,3.4577925205230713,0.0,0.0,False,True
23,1126,bootstrap_random,1.5540000000000007,-0.8983660965501935,-0.5373640545249727,-4.855762481689453,4.747678279876709,2.2600343227386475,7.283898297791169,True,False
24,1140,bootstrap_random,1.423000000000001,-0.8529066998780758,-0.9286094121423311,-4.995360851287842,3.705094814300537,0.3026806116104126,5.150762828796377,False,False
25,1228,bootstrap_random,7.070000000000001,-0.6400648407548188,-0.442171510756053,-4.0327911376953125,3.7184667587280273,0.5052275657653809,1.1514564370329368,False,False
26,1310,bootstrap_random,1.296000000000001,-0.7281238852904092,-0.7114502750499948,-4.797303676605225,3.4436633586883545,0.0,0.0,False,True
27,1311,bootstrap_random,5.652999999999997,-0.9617630150545468,-0.26344864994343925,-3.5596673488616943,1.7142704725265503,6.764557838439941,6.643693435019239,True,False
28,1337,bootstrap_random,5.437999999999999,-0.7623627267814337,-0.03651542496330962,-7.102865219116211,-5.746425628662109,5.540031433105469,7.454938377166814,True,False
29,1355,bootstrap_random,1.296000000000001,-0.7203720220993921,-0.7154783375540554,-4.723784923553467,3.4140424728393555,0.0,0.0,False,True
30,1424,bootstrap_random,0.305,-0.9736220535560917,-0.9103830505755334,-5.557613372802734,4.037042617797852,0.4050051271915436,6.51920185374714,False,False
31,1502,bootstrap_random,1.296000000000001,-0.7135515182877754,-0.7145705309192627,-4.652698040008545,3.3602042198181152,0.0,0.0,False,True
32,1574,bootstrap_random,1.5940000000000005,0.12858712306747513,-0.8013291141582857,-2.9121689796447754,2.503079414367676,2.308424234390259,8.168840070391292,True,False
