cell_x,cell_y,fitness,descriptor_x,descriptor_y,steps,food_collected,wall_collisions,hazard_contacts
2,15,10.252999999999973,-9.783609390258789,-5.812668323516846,221,2,16,0
2,16,1.7759999999999854,-10.157910346984863,-2.5862302780151367,192,1,108,0
2,18,1.9330000000000012,-9.812504768371582,1.0848946571350098,151,0,14,0
3,14,15.84999999999991,-8.070237159729004,-6.37585973739624,280,4,15,0
3,15,14.460999999999943,-7.925866603851318,-4.780945301055908,267,3,17,0
3,16,9.61799999999997,-8.400920867919922,-2.399559736251831,236,2,8,0
3,17,6.760999999999985,-8.180590629577637,-1.3502334356307983,237,2,86,0
3,18,6.090999999999998,-7.533936023712158,1.988724946975708,202,1,8,0
4,7,25.13499999999996,-6.3206658363342285,-23.380859375,280,6,11,3
4,14,19.044999999999984,-6.4958086013793945,-7.213070392608643,280,4,20,7
4,15,18.589999999999975,-5.427810192108154,-4.550317764282227,280,4,6,4
4,16,15.494999999999973,-6.239684104919434,-2.98669171333313,280,4,5,0
4,17,15.255999999999979,-5.477108955383301,0.29313308000564575,262,3,15,0
4,18,9.24999999999997,-6.065682411193848,2.599614143371582,240,2,4,0
4,19,5.282999999999999,-5.589643478393555,3.4362640380859375,191,1,5,0
4,20,2.584999999999999,-5.388332843780518,5.868610858917236,150,0,8,0
5,9,26.129999999999995,-3.545090913772583,-18.710065841674805,280,6,3,6
5,10,23.429999999999954,-4.015220642089844,-15.954397201538086,280,6,17,8
5,12,19.695000000000004,-3.1417391300201416,-12.367441177368164,280,4,20,3
5,13,19.884999999999973,-3.2009801864624023,-10.717029571533203,280,4,17,1
5,14,19.70499999999999,-3.2105953693389893,-6.6372246742248535,280,4,27,0
5,15,21.069999999999954,-3.9031238555908203,-4.144716739654541,280,5,4,0
5,16,18.45999999999995,-3.8508660793304443,-2.791513204574585,280,4,12,0
5,17,18.529999999999966,-4.032617568969727,-1.236220121383667,280,4,10,0
5,18,15.415999999999979,-4.325275897979736,1.0169073343276978,267,3,18,0
5,19,8.825999999999976,-3.4348113536834717,3.389784336090088,227,2,5,0
5,20,9.748999999999974,-4.61048698425293,5.404008388519287,238,2,6,0
5,21,5.292999999999997,-3.271449089050293,8.308682441711426,201,1,37,0
6,5,23.784999999999943,-1.0390708446502686,-27.640281677246094,280,6,1,0
6,6,23.94499999999995,-1.2415742874145508,-24.83707046508789,280,6,1,2
6,7,24.649999999999967,-2.4587743282318115,-23.344921112060547,280,6,3,1
6,8,24.799999999999983,-1.1028106212615967,-22.370059967041016,280,5,6,0
6,9,23.75999999999998,-2.4068100452423096,-20.02939224243164,280,5,8,3
6,10,23.534999999999954,-0.9858217239379883,-16.893108367919922,280,6,6,7
6,11,24.05999999999995,-1.098541259765625,-15.263072967529297,280,6,5,8
6,12,23.064999999999948,-1.1292400360107422,-12.106781005859375,280,6,1,15
6,13,22.374999999999993,-1.3357632160186768,-10.369722366333008,280,5,13,0
6,14,21.11499999999997,-1.029367446899414,-6.696413516998291,280,5,4,12
6,15,21.314999999999998,-1.3401998281478882,-5.635155200958252,280,4,6,4
6,16,21.23999999999996,-1.9266778230667114,-1.7565927505493164,280,5,14,2
6,17,20.95999999999998,-3.1056430339813232,-0.23695285618305206,280,4,4,0
6,18,23.114999999999974,-1.6227308511734009,0.7255740165710449,280,5,9,6
6,19,14.731999999999987,-0.9578817486763,3.4074947834014893,274,3,16,0
6,20,11.284000000000013,-1.1763380765914917,7.3739190101623535,223,2,36,1
6,21,7.104999999999998,-2.786633253097534,8.309883117675781,190,1,27,0
7,3,27.704999999999963,0.42106539011001587,-31.842124938964844,280,7,3,6
7,4,24.934999999999977,0.5966185331344604,-30.559412002563477,280,6,8,0
7,5,25.749999999999996,0.7300869822502136,-27.678592681884766,280,6,18,0
7,6,26.729999999999993,0.9355276823043823,-26.18768310546875,280,6,21,3
7,7,26.869999999999997,1.0598905086517334,-22.494678497314453,280,6,8,3
