scope,blowup_ratio_bin,lower_inclusive,upper_exclusive,count,fraction_of_scope,mean_fitness,median_fitness,std_fitness,inserted_count,inserted_rate,replaced_count,replaced_rate
all_disagreements,"[1.00,1.25)",1.0,1.25,7357,0.6296644984594317,7.180566535272514,6.090999999999994,5.860247596836804,689,0.09365230392823162,529,0.07190430882153051
all_disagreements,"[1.25,1.50)",1.25,1.5,2488,0.21294077370763437,9.422848070739525,7.728499999999996,6.6964076552695655,371,0.14911575562700966,263,0.10570739549839228
all_disagreements,"[1.50,2.00)",1.5,2.0,1625,0.1390790825059911,11.62401046153843,10.589999999999948,7.407793730338661,345,0.2123076923076923,236,0.14523076923076922
all_disagreements,"[2.00,5.00)",2.0,5.0,187,0.016004792879150975,12.44804278074863,12.744999999999896,7.362698973216456,42,0.22459893048128343,29,0.15508021390374332
all_disagreements,"[5.00,inf)",5.0,inf,27,0.002310852447791852,21.378740740740685,25.14999999999997,8.030493095276032,14,0.5185185185185185,6,0.2222222222222222
post_retrain_disagreements,"[1.00,1.25)",1.0,1.25,4369,0.6198921679909194,8.188699473563725,6.986999999999995,5.956562076496442,314,0.07186999313344014,239,0.05470359349965667
post_retrain_disagreements,"[1.25,1.50)",1.25,1.5,1558,0.22105561861520998,10.661681001283668,9.577999999999928,6.763876280990461,195,0.1251604621309371,131,0.0840821566110398
post_retrain_disagreements,"[1.50,2.00)",1.5,2.0,984,0.13961407491486946,12.7739908536585,13.419999999999936,7.4126778674614,187,0.19004065040650406,120,0.12195121951219512
post_retrain_disagreements,"[2.00,5.00)",2.0,5.0,118,0.01674233825198638,13.913254237288099,14.365499999999965,7.087848117966247,23,0.19491525423728814,16,0.13559322033898305
post_retrain_disagreements,"[5.00,inf)",5.0,inf,19,0.002695800227014756,24.759999999999938,25.414999999999925,2.9683206999544134,11,0.5789473684210527,6,0.3157894736842105
