seed,candidate_count,disagreement_count,disagreement_rate,post_retrain_candidate_count,post_retrain_disagreement_count,post_retrain_disagreement_rate,strong_blowup_count_ratio_ge_2,strong_blowup_fraction_of_disagreements_ratio_ge_2,very_strong_blowup_count_ratio_ge_5,very_strong_blowup_fraction_of_disagreements_ratio_ge_5,mean_geodesic_blowup_ratio_disagreements,median_geodesic_blowup_ratio_disagreements,max_geodesic_blowup_ratio_disagreements,mean_geodesic_gap_disagreements,median_geodesic_gap_disagreements,mean_cell_displacement_disagreements,median_cell_displacement_disagreements,max_cell_displacement_disagreements,disagreement_inserted_count,disagreement_inserted_rate,disagreement_replaced_count,disagreement_replaced_rate,disagreement_geodesic_cell_match_count,disagreement_geodesic_cell_match_rate,disagreement_replaced_matching_geodesic_cell_count,disagreement_replaced_matching_geodesic_cell_rate,post_retrain_disagreement_inserted_count,post_retrain_disagreement_inserted_rate,post_retrain_disagreement_replaced_count,post_retrain_disagreement_replaced_rate,fitness_blowup_correlation_count,fitness_blowup_pearson_r,fitness_blowup_pearson_p,fitness_blowup_spearman_r,fitness_blowup_spearman_p,post_retrain_fitness_blowup_correlation_count,post_retrain_fitness_blowup_pearson_r,post_retrain_fitness_blowup_pearson_p,post_retrain_fitness_blowup_spearman_r,post_retrain_fitness_blowup_spearman_p,region_bins,occupied_region_bins_all_candidates,occupied_region_bins_disagreements,top_5_region_fraction_of_disagreements,top_10_region_fraction_of_disagreements,top_10_region_fraction_of_all_candidates,disagreement_region_entropy_normalized,max_region_disagreement_rate,graph_state_count,max_graph_components_seen,total_penalized_centroid_distances_across_states,analysis_space,graph_reconstruction_note
1001,20000,2572,0.1286,10000,1508,0.1508,39,0.015163297045101089,4,0.0015552099533437014,1.2690922152166213,1.152933089926195,26.40458016905736,0.7649407883012835,0.25488516176405407,1.0426911546834776,1.0,5.656854249492381,318,0.12363919129082426,228,0.08864696734059098,1511,0.5874805598755832,97,0.03771384136858476,137,0.09084880636604775,97,0.0643236074270557,2572,0.17366921197902174,7.260800965778846e-19,0.27616242943741015,3.0320591033901296e-46,1508,0.16624189599430642,8.27237783754847e-11,0.2736703233614925,2.593743879014843e-27,10,66,65,0.25544323483670295,0.43273716951788493,0.6682,0.8080552255498842,1.0,41,4,24498301,saved final one-retrain latent space,Candidates up to the eval-10000 retrain are assigned using the rebuilt final-space graph state at eval 10000; later candidates use the same 250-eval rolling-buffer refresh schedule as Phase 4.
1002,20000,2529,0.12645,10000,1449,0.1449,47,0.018584420719652037,2,0.0007908264136022143,1.2805077272142118,1.1793340756991404,26.935316420009475,0.7892619143526217,0.36272945706351933,1.047599053872145,1.0,3.1622776601683795,269,0.10636615262949782,183,0.07236061684460261,1462,0.5780941083432186,102,0.04033214709371293,145,0.10006901311249138,102,0.07039337474120083,2529,0.148005529696951,7.396837839556797e-14,0.18130791838621357,3.943898430199832e-20,1449,0.16757974245082805,1.371868727716695e-10,0.23443197384455333,1.5323787157688248e-19,10,73,73,0.20047449584816132,0.33926453143534996,0.63635,0.8490449706468502,1.0,41,3,22259923,saved final one-retrain latent space,Candidates up to the eval-10000 retrain are assigned using the rebuilt final-space graph state at eval 10000; later candidates use the same 250-eval rolling-buffer refresh schedule as Phase 4.
1003,20000,2471,0.12355,10000,1575,0.1575,50,0.020234722784297856,10,0.004046944556859571,1.312285860947986,1.1500591686845705,29.537134518130735,1.3684174103083133,0.2800142728371453,1.071308903989707,1.0,7.0710678118654755,307,0.12424119789558884,227,0.09186564144071226,1594,0.6450829623634157,119,0.04815864022662889,168,0.10666666666666667,117,0.07428571428571429,2471,0.21639840496340298,1.4245037363760621e-27,0.31166907756286777,8.416656006603807e-57,1575,0.21857485564426873,1.7268914562516151e-18,0.3212342837410626,3.914356498650092e-39,10,63,63,0.2622420072845002,0.4265479562929988,0.76,0.801825040946275,1.0,41,4,23545725,saved final one-retrain latent space,Candidates up to the eval-10000 retrain are assigned using the rebuilt final-space graph state at eval 10000; later candidates use the same 250-eval rolling-buffer refresh schedule as Phase 4.
1004,20000,1929,0.09645,10000,1211,0.1211,33,0.017107309486780714,4,0.002073613271124935,1.2979672893012912,1.1636213954658914,27.540126911515248,1.0853790842533246,0.34826619451420004,1.0593720406976785,1.0,5.0,276,0.14307931570762053,194,0.10057024364955935,1214,0.6293416277864178,98,0.05080352514256091,143,0.1180842279108175,98,0.08092485549132948,1929,0.09426283007231373,3.374318603823088e-05,0.2123194763303468,4.2285857809615655e-21,1211,0.15631543630828837,4.558777942976793e-08,0.2218065842254095,5.799643786486228e-15,10,59,58,0.23950233281493002,0.4261275272161742,0.7838,0.7988150206371694,1.0,41,3,25676696,saved final one-retrain latent space,Candidates up to the eval-10000 retrain are assigned using the rebuilt final-space graph state at eval 10000; later candidates use the same 250-eval rolling-buffer refresh schedule as Phase 4.
1005,20000,2183,0.10915,10000,1305,0.1305,45,0.020613834173156206,7,0.00320659642693541,1.3186205280489753,1.1591313502368592,30.512361438816313,1.3197670625785736,0.32654269306812367,1.0525473590337873,1.0,5.0990195135927845,291,0.13330279431974348,231,0.10581768208886853,1313,0.6014658726523133,98,0.04489234997709574,137,0.1049808429118774,98,0.07509578544061303,2183,0.13236954034785345,5.35125256175742e-10,0.234176197143528,1.4092181635809485e-28,1305,0.16834116535979007,9.405824333550222e-10,0.26511455753498786,1.97857588083358e-22,10,71,70,0.21713238662391204,0.35913879981676594,0.6808,0.837057109336709,1.0,41,3,24441829,saved final one-retrain latent space,Candidates up to the eval-10000 retrain are assigned using the rebuilt final-space graph state at eval 10000; later candidates use the same 250-eval rolling-buffer refresh schedule as Phase 4.
