rank_within_seed,seed,evaluation,fitness,latent_0,latent_1,euclidean_cell,geodesic_cell,euclidean_centroid_index,geodesic_centroid_index,euclidean_distance_to_euclidean_choice,euclidean_distance_to_geodesic_choice,geodesic_distance_to_geodesic_choice,geodesic_distance_to_euclidean_choice,geodesic_gap_euclidean_choice_minus_geodesic_choice,geodesic_blowup_ratio_euclidean_choice_over_geodesic_choice,centroid_cell_displacement,actual_run_inserted,actual_run_replaced,final_euclidean_cell_occupied,final_euclidean_cell_fitness,candidate_minus_final_euclidean_cell_fitness,final_geodesic_cell_occupied,final_geodesic_cell_fitness,candidate_minus_final_geodesic_cell_fitness,global_rank
1,1005,18409,19.889999999999915,28.98529052734375,-2.0962374210357666,"(18,13)","(17,16)",463,441,1.8122904932863086,6.457004126847845,7.041686736308558,214.85849083716553,207.81680410085698,30.512361438816313,3.1622776601683795,False,False,True,25.58999999999996,-5.7000000000000455,True,23.01499999999996,-3.125000000000046,1
1,1003,10331,21.549999999999898,38.15562438964844,-11.229899406433105,"(17,6)","(16,3)",431,403,1.5173848515671184,5.18129401929341,6.973473695144152,205.97643059211902,199.00295689697487,29.537134518130735,3.1622776601683795,False,False,True,22.189999999999916,-0.6400000000000183,True,25.509999999999923,-3.9600000000000257,2
1,1004,8039,6.2129999999999885,-15.891225814819336,8.6311674118042,"(6,12)","(9,11)",162,236,1.2655726555508513,7.318792765910478,7.385313754517788,203.39247808077906,196.00716432626126,27.540126911515248,3.1622776601683795,False,False,True,6.315999999999991,-0.10300000000000242,True,15.183999999999912,-8.970999999999924,3
1,1002,12681,24.77999999999995,-21.490854263305664,13.34400463104248,"(7,19)","(9,18)",194,243,1.5147923553140397,5.37153695146791,7.339773139088745,197.69911195244157,190.35933881335282,26.935316420009475,2.23606797749979,True,True,False,nan,nan,True,25.39999999999996,-0.6200000000000081,4
1,1001,10355,26.384999999999938,-52.57526779174805,12.795029640197754,"(2,18)","(4,16)",68,116,1.6850090573108496,6.342065882425114,7.474374249415457,197.35771408222837,189.8833398328129,26.40458016905736,2.8284271247461903,False,False,True,28.769999999999932,-2.3849999999999945,True,27.189999999999948,-0.8050000000000104,5
2,1001,2802,26.424999999999905,-52.856727600097656,12.516005516052246,"(2,18)","(4,16)",68,116,1.4766308406584578,6.464710011713227,7.598862184572409,197.48220201738533,189.88333983281294,25.988391053903253,2.8284271247461903,True,False,True,28.769999999999932,-2.3450000000000273,True,27.189999999999948,-0.7650000000000432,6
3,1001,14987,25.63499999999993,-52.48343276977539,12.797350883483887,"(2,18)","(4,16)",68,116,1.7757899202145033,6.262975495398462,7.855283616030993,197.22189081065358,189.3666071946226,25.106908986476935,2.8284271247461903,False,False,True,28.769999999999932,-3.1350000000000016,True,27.189999999999948,-1.5550000000000175,7
2,1005,4779,11.24500000000002,-8.062630653381348,-23.726709365844727,"(7,4)","(7,8)",179,183,1.7583769010544108,8.79736751560755,9.4346159683017,217.52339291736746,208.08877694906576,23.05588204630689,4.0,False,False,False,nan,nan,True,15.414999999999997,-4.169999999999977,8
3,1005,19418,20.584999999999905,33.00434494018555,-15.196564674377441,"(19,8)","(17,8)",483,433,1.0978973484073051,6.19319886729806,9.420992827499878,216.45117679617135,207.03018396867148,22.97541042217444,2.0,False,False,False,nan,nan,True,24.01499999999993,-3.4300000000000246,9
2,1003,15212,25.509999999999923,41.96689224243164,-10.150726318359375,"(18,6)","(16,3)",456,403,1.334900937410557,8.427597578473108,9.124330920256451,208.71177251830312,199.58744159804667,22.874200239159784,3.605551275463989,True,True,True,20.924999999999926,4.584999999999997,True,25.509999999999923,0.0,10
