evaluation,event,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs,geodesic_graph_support_points,geodesic_graph_visited_points,geodesic_graph_reservoir_points,geodesic_graph_rolling_buffer_points,geodesic_graph_centroids,geodesic_graph_k,geodesic_graph_refresh_count,geodesic_graph_finite_centroid_fraction,geodesic_graph_connected_components,geodesic_graph_largest_component_fraction,geodesic_graph_penalized_centroid_distances,geodesic_graph_cumulative_penalized_centroid_distances,geodesic_graph_refreshes_with_penalty,geodesic_graph_penalty_distance,geodesic_graph_reservoir_strategy,geodesic_graph_reservoir_seed
2000,bootstrap,118,0.1888,1546.0449999999976,956.0449999999978,-5.0,20.13500000000001,8.102076271186421,0.7410482547367301,13.823514067460449,13.915113355850968,20,1.0,0,1625,2000,1000,1000,625,20,2,0.3666195692307692,4,0.995,643277,643277,1,141.54935991307588,rolling_recent_buffer,1003
2100,log,118,0.1888,1605.0929999999976,1015.0929999999976,-5.0,20.909999999999986,8.602483050847438,0.7410482547367301,nan,nan,20,nan,-1,1625,2100,1000,1000,625,20,2,0.3666195692307692,4,0.995,643277,643277,1,141.54935991307588,rolling_recent_buffer,1003
2200,log,118,0.1888,1654.3189999999977,1064.318999999998,-5.0,22.139999999999965,9.019652542372864,0.7410482547367301,nan,nan,20,nan,-1,1625,2200,1000,1000,625,20,2,0.3666195692307692,4,0.995,643277,643277,1,141.54935991307588,rolling_recent_buffer,1003
2300,log,125,0.2,1786.148999999998,1161.1489999999978,-5.0,22.139999999999965,9.289191999999982,0.7500000000000001,nan,nan,20,nan,-1,1625,2300,1000,1000,625,20,3,0.45898436923076924,3,0.994,549469,1192746,2,150.60722184036018,rolling_recent_buffer,1003
2400,log,132,0.2112,1952.525999999998,1292.525999999998,-5.0,22.139999999999965,9.79186363636362,0.7584638532594373,nan,nan,20,nan,-1,1625,2400,1000,1000,625,20,3,0.45898436923076924,3,0.994,549469,1192746,2,150.60722184036018,rolling_recent_buffer,1003
2500,log,142,0.2272,2167.6299999999974,1457.6299999999974,-5.0,22.139999999999965,10.264999999999981,0.7698071201308583,nan,nan,20,nan,-1,1625,2500,1000,1000,625,20,4,0.5323539692307693,2,0.999,474953,1667699,3,150.60722184036018,rolling_recent_buffer,1003
2600,log,149,0.2384,2301.056999999997,1556.0569999999975,-5.0,22.139999999999965,10.443335570469783,0.7772816626361083,nan,nan,20,nan,-1,1625,2600,1000,1000,625,20,4,0.5323539692307693,2,0.999,474953,1667699,3,150.60722184036018,rolling_recent_buffer,1003
2700,log,158,0.2528,2475.561999999997,1685.5619999999972,-5.0,24.979999999999936,10.668113924050616,0.7863917883869066,nan,nan,20,nan,-1,1625,2700,1000,1000,625,20,4,0.5323539692307693,2,0.999,474953,1667699,3,150.60722184036018,rolling_recent_buffer,1003
2800,log,164,0.2624,2608.842999999997,1788.842999999997,-5.0,24.979999999999936,10.907579268292665,0.7921812932987274,nan,nan,20,nan,-1,1625,2800,1000,1000,625,20,5,0.5856167384615385,1,1.0,420858,2088557,4,178.61182379791518,rolling_recent_buffer,1003
2900,log,166,0.2656,2687.935999999997,1857.935999999997,-5.0,24.979999999999936,11.192385542168656,0.794064149487012,nan,nan,20,nan,-1,1625,2900,1000,1000,625,20,5,0.5856167384615385,1,1.0,420858,2088557,4,178.61182379791518,rolling_recent_buffer,1003
3000,log,171,0.2736,2805.013999999997,1950.013999999997,-5.0,25.759999999999998,11.403590643274836,0.7986737973517803,16.73179764052589,16.86337568016975,20,1.0,0,1625,3000,1000,1000,625,20,6,0.5910518153846154,1,1.0,415338,2503895,5,178.61182379791518,rolling_recent_buffer,1003
3100,log,177,0.2832,2946.9669999999965,2061.9669999999965,-5.0,27.304999999999982,11.649531073446308,0.8040306638398781,nan,nan,20,nan,-1,1625,3100,1000,1000,625,20,6,0.5910518153846154,1,1.0,415338,2503895,5,178.61182379791518,rolling_recent_buffer,1003
3200,log,179,0.2864,2999.243999999996,2104.2439999999965,-5.0,30.664999999999992,11.755553072625679,0.8057760050518812,nan,nan,20,nan,-1,1625,3200,1000,1000,625,20,6,0.5910518153846154,1,1.0,415338,2503895,5,178.61182379791518,rolling_recent_buffer,1003
3300,log,184,0.2944,3132.6759999999967,2212.6759999999963,-5.0,31.474999999999955,12.02541304347824,0.8100554419216398,nan,nan,20,nan,-1,1625,3300,1000,1000,625,20,7,0.5965046153846154,1,1.0,409800,2913695,6,178.61182379791518,rolling_recent_buffer,1003
3400,log,192,0.3072,3316.0279999999957,2356.027999999996,-5.0,31.474999999999955,12.270979166666647,0.8166663857315859,nan,nan,20,nan,-1,1625,3400,1000,1000,625,20,7,0.5965046153846154,1,1.0,409800,2913695,6,178.61182379791518,rolling_recent_buffer,1003
3500,log,195,0.312,3401.8159999999957,2426.8159999999957,-5.0,31.474999999999955,12.445210256410235,0.819074708913267,nan,nan,20,nan,-1,1625,3500,1000,1000,625,20,8,0.6038025846153846,1,1.0,402388,3316083,7,199.39775542677003,rolling_recent_buffer,1003
3600,log,199,0.3184,3513.2659999999955,2518.265999999995,-5.0,31.474999999999955,12.654603015075352,0.8222288017185675,nan,nan,20,nan,-1,1625,3600,1000,1000,625,20,8,0.6038025846153846,1,1.0,402388,3316083,7,199.39775542677003,rolling_recent_buffer,1003
3700,log,202,0.3232,3575.238999999996,2565.2389999999955,-5.0,31.474999999999955,12.699202970297007,0.8245530405974199,nan,nan,20,nan,-1,1625,3700,1000,1000,625,20,8,0.6038025846153846,1,1.0,402388,3316083,7,199.39775542677003,rolling_recent_buffer,1003
3800,log,204,0.3264,3641.868999999995,2621.8689999999956,-5.0,31.474999999999955,12.852299019607822,0.8260834345888398,nan,nan,20,nan,-1,1625,3800,1000,1000,625,20,9,0.5892381538461539,1,1.0,417180,3733263,8,199.39775542677003,rolling_recent_buffer,1003
3900,log,204,0.3264,3671.3839999999955,2651.3839999999955,-5.0,31.474999999999955,12.996980392156841,0.8260834345888398,nan,nan,20,nan,-1,1625,3900,1000,1000,625,20,9,0.5892381538461539,1,1.0,417180,3733263,8,199.39775542677003,rolling_recent_buffer,1003
4000,log,207,0.3312,3734.9829999999956,2699.9829999999956,-5.0,31.474999999999955,13.043396135265679,0.8283511206095876,18.871486333495046,19.052755314069138,20,1.0,0,1625,4000,1000,1000,625,20,10,0.6111320615384616,1,1.0,394944,4128207,9,199.39775542677003,rolling_recent_buffer,1003
4100,log,209,0.3344,3768.9499999999953,2723.9499999999953,-5.0,31.474999999999955,13.033253588516724,0.8298447257100322,nan,nan,20,nan,-1,1625,4100,1000,1000,625,20,10,0.6111320615384616,1,1.0,394944,4128207,9,199.39775542677003,rolling_recent_buffer,1003
4200,log,209,0.3344,3792.9819999999954,2747.9819999999954,-5.0,31.474999999999955,13.148239234449738,0.8298447257100322,nan,nan,20,nan,-1,1625,4200,1000,1000,625,20,10,0.6111320615384616,1,1.0,394944,4128207,9,199.39775542677003,rolling_recent_buffer,1003
4300,log,213,0.3408,3863.4949999999953,2798.4949999999953,-5.0,31.474999999999955,13.138474178403735,0.8327895292340064,nan,nan,20,nan,-1,1625,4300,1000,1000,625,20,11,0.6129693538461538,1,1.0,393078,4521285,10,199.39775542677003,rolling_recent_buffer,1003
4400,log,214,0.3424,3895.195999999996,2825.1959999999954,-5.0,31.474999999999955,13.201850467289699,0.8335170890355121,nan,nan,20,nan,-1,1625,4400,1000,1000,625,20,11,0.6129693538461538,1,1.0,393078,4521285,10,199.39775542677003,rolling_recent_buffer,1003
4500,log,217,0.3472,3978.663999999995,2893.663999999995,-5.0,31.474999999999955,13.334857142857121,0.8356795425248726,nan,nan,20,nan,-1,1625,4500,1000,1000,625,20,12,0.605632,1,1.0,400530,4921815,11,177.9030396949105,rolling_recent_buffer,1003
4600,log,220,0.352,4057.3539999999953,2957.353999999995,-5.0,31.474999999999955,13.442518181818158,0.8378123046379412,nan,nan,20,nan,-1,1625,4600,1000,1000,625,20,12,0.605632,1,1.0,400530,4921815,11,177.9030396949105,rolling_recent_buffer,1003
4700,log,223,0.3568,4125.465999999995,3010.465999999995,-5.0,31.474999999999955,13.499847533632265,0.8399161796931883,nan,nan,20,nan,-1,1625,4700,1000,1000,625,20,12,0.605632,1,1.0,400530,4921815,11,177.9030396949105,rolling_recent_buffer,1003
4800,log,228,0.3648,4237.442999999995,3097.4429999999943,-5.0,31.474999999999955,13.585276315789448,0.8433605277669806,nan,nan,20,nan,-1,1625,4800,1000,1000,625,20,13,0.6148086153846154,1,1.0,391210,5313025,12,188.62362922874823,rolling_recent_buffer,1003
4900,log,230,0.368,4286.8299999999945,3136.8299999999945,-5.0,31.474999999999955,13.638391304347802,0.8447171628849433,nan,nan,20,nan,-1,1625,4900,1000,1000,625,20,13,0.6148086153846154,1,1.0,391210,5313025,12,188.62362922874823,rolling_recent_buffer,1003
5000,log,232,0.3712,4331.800999999994,3171.800999999994,-5.0,31.474999999999955,13.671556034482732,0.8460620520969198,19.54652800692647,19.75168118968324,20,1.0,0,1625,5000,1000,1000,625,20,14,0.6001496615384615,1,1.0,406098,5719123,13,188.62362922874823,rolling_recent_buffer,1003
5100,log,233,0.3728,4351.282999999995,3186.2829999999944,-5.0,31.474999999999955,13.675034334763925,0.846730155207043,nan,nan,20,nan,-1,1625,5100,1000,1000,625,20,14,0.6001496615384615,1,1.0,406098,5719123,13,188.62362922874823,rolling_recent_buffer,1003
5200,log,234,0.3744,4382.952999999994,3212.952999999994,-5.0,31.474999999999955,13.730568376068351,0.8473953970531116,nan,nan,20,nan,-1,1625,5200,1000,1000,625,20,14,0.6001496615384615,1,1.0,406098,5719123,13,188.62362922874823,rolling_recent_buffer,1003
5300,log,235,0.376,4406.886999999995,3231.8869999999943,-5.0,31.474999999999955,13.752710638297849,0.8480578020383415,nan,nan,20,nan,-1,1625,5300,1000,1000,625,20,15,0.5928674461538461,1,1.0,413494,6132617,14,188.62362922874823,rolling_recent_buffer,1003
5400,log,237,0.3792,4464.002999999994,3279.0029999999942,-5.0,31.474999999999955,13.835455696202507,0.8493741974900547,nan,nan,20,nan,-1,1625,5400,1000,1000,625,20,15,0.5928674461538461,1,1.0,413494,6132617,14,188.62362922874823,rolling_recent_buffer,1003
5500,log,237,0.3792,4477.691999999995,3292.6919999999946,-5.0,31.474999999999955,13.893215189873395,0.8493741974900547,nan,nan,20,nan,-1,1625,5500,1000,1000,625,20,16,0.5946850461538462,1,1.0,411648,6544265,15,188.62362922874823,rolling_recent_buffer,1003
5600,log,238,0.3808,4499.8879999999945,3309.887999999995,-5.0,31.474999999999955,13.907092436974768,0.8500282352295372,nan,nan,20,nan,-1,1625,5600,1000,1000,625,20,16,0.5946850461538462,1,1.0,411648,6544265,15,188.62362922874823,rolling_recent_buffer,1003
5700,log,239,0.3824,4544.5979999999945,3349.5979999999945,-5.0,31.474999999999955,14.015054393305416,0.8506795306643662,nan,nan,20,nan,-1,1625,5700,1000,1000,625,20,16,0.5946850461538462,1,1.0,411648,6544265,15,188.62362922874823,rolling_recent_buffer,1003
5800,log,240,0.384,4581.524999999994,3381.5249999999946,-5.0,31.474999999999955,14.089687499999977,0.8513281066948895,nan,nan,20,nan,-1,1625,5800,1000,1000,625,20,17,0.5820032,1,1.0,424528,6968793,16,160.73449850445573,rolling_recent_buffer,1003
5900,log,241,0.3856,4623.436999999994,3418.4369999999944,-5.0,31.474999999999955,14.18438589211616,0.8519739859357939,nan,nan,20,nan,-1,1625,5900,1000,1000,625,20,17,0.5820032,1,1.0,424528,6968793,16,160.73449850445573,rolling_recent_buffer,1003
