map,seed_count,exact_online_assignment_count,exact_online_assignment_mismatch_count,all_assignment_count,all_assignment_penalty_count,all_assignment_penalty_rate,pre_mean_reachable_centroid_fraction_mean,pre_mean_reachable_centroid_fraction_min,pre_mean_reachable_centroid_fraction_max,post_mean_reachable_centroid_fraction_mean,post_mean_reachable_centroid_fraction_min,post_mean_reachable_centroid_fraction_max,post_final_reachable_centroid_fraction_mean,post_final_reachable_centroid_fraction_min,post_final_reachable_centroid_fraction_max,post_never_reachable_centroids_mean,post_never_reachable_centroids_min,post_never_reachable_centroids_max,post_unreachable_more_than_half_centroids_mean,post_unreachable_more_than_half_centroids_min,post_unreachable_more_than_half_centroids_max,post_unreachable_at_least_90_percent_centroids_mean,post_unreachable_at_least_90_percent_centroids_min,post_unreachable_at_least_90_percent_centroids_max,post_only_penalty_assigned_centroids_mean,post_only_penalty_assigned_centroids_min,post_only_penalty_assigned_centroids_max,post_never_assigned_centroids_mean,post_never_assigned_centroids_min,post_never_assigned_centroids_max,post_never_reachable_final_occupied_mean,post_never_reachable_final_occupied_min,post_never_reachable_final_occupied_max,post_never_reachable_final_unoccupied_mean,post_never_reachable_final_unoccupied_min,post_never_reachable_final_unoccupied_max,final_occupied_centroids_mean,final_occupied_centroids_min,final_occupied_centroids_max,post_distinct_assigned_centroids_mean,post_distinct_assigned_centroids_min,post_distinct_assigned_centroids_max,post_distinct_real_assigned_centroids_mean,post_distinct_real_assigned_centroids_min,post_distinct_real_assigned_centroids_max
horseshoe,5,90000,0,150000,0,0.0,0.6907636363636364,0.6065454545454545,0.7838545454545454,0.5350321951219512,0.4883121951219512,0.5712780487804877,0.56768,0.5216,0.6288,222.8,191.0,265.0,291.6,266.0,322.0,243.8,210.0,285.0,0.0,0.0,0.0,428.8,413.0,448.0,0.0,0.0,0.0,222.8,191.0,265.0,196.2,177.0,212.0,196.2,177.0,212.0,196.2,177.0,212.0
open,3,54000,0,90000,0,0.0,0.6581818181818182,0.6103272727272727,0.6919757575757576,0.5845073170731707,0.5122341463414634,0.6890926829268292,0.5909333333333334,0.528,0.7104,204.33333333333334,124.0,247.0,257.6666666666667,192.0,303.0,218.66666666666666,139.0,267.0,0.0,0.0,0.0,405.6666666666667,361.0,429.0,0.0,0.0,0.0,204.33333333333334,124.0,247.0,219.33333333333334,196.0,264.0,219.33333333333334,196.0,264.0,219.33333333333334,196.0,264.0
