condition,label,seed,run_dir,coverage_percent,qd_score,raw_qd_score,max_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,elapsed_seconds,evaluations_per_second,pairwise_geodesic_k,total_evaluations
baseline_a_handcrafted_map_elites,Baseline A: hand-crafted BD,1001,results\phase5\baseline_a_handcrafted_map_elites\seed_1001,98.24000000000001,14061.436999999969,10991.436999999969,29.09999999999989,0.9972417821383361,1.0451162084162224,1.2374053191362555,1039.3878189,19.24209581479058,5,20000
baseline_a_handcrafted_map_elites,Baseline A: hand-crafted BD,1002,results\phase5\baseline_a_handcrafted_map_elites\seed_1002,98.24000000000001,13472.067999999967,10402.067999999967,27.86499999999986,0.9972417821383361,1.044467373842255,1.2523070385524986,1085.4304596000002,18.425869500078655,5,20000
baseline_a_handcrafted_map_elites,Baseline A: hand-crafted BD,1003,results\phase5\baseline_a_handcrafted_map_elites\seed_1003,98.24000000000001,16433.487999999965,13363.487999999965,33.95999999999993,0.9972417821383361,1.0445511491267927,1.3018929909095367,1097.9484699999998,18.2157911290682,5,20000
baseline_a_handcrafted_map_elites,Baseline A: hand-crafted BD,1004,results\phase5\baseline_a_handcrafted_map_elites\seed_1004,98.24000000000001,13669.88699999996,10599.88699999996,28.829999999999874,0.9972417821383361,1.046594145147127,1.3250557964826202,1082.8520648000003,18.4697436059227,5,20000
baseline_a_handcrafted_map_elites,Baseline A: hand-crafted BD,1005,results\phase5\baseline_a_handcrafted_map_elites\seed_1005,98.24000000000001,17781.46999999998,14711.469999999976,37.29500000000001,0.9972417821383361,1.0465628096255495,1.3147534212247738,1047.1107370999998,19.100176601560324,5,20000
baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,results\phase5\baseline_b_learned_bd_euclidean\seed_1001,42.24,5406.37299999999,4086.3729999999905,28.904999999999877,0.8661329927777857,16.4447542015096,18.821653399819166,1043.7825773000004,19.161078595251997,5,20000
baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1002,results\phase5\baseline_b_learned_bd_euclidean\seed_1002,43.519999999999996,5780.06699999999,4420.06699999999,32.59999999999995,0.8707701650040401,22.140593953745817,24.479866049647537,1062.9339889000003,18.815843889513236,5,20000
baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1003,results\phase5\baseline_b_learned_bd_euclidean\seed_1003,38.4,5033.66499999999,3833.66499999999,28.979999999999976,0.8513281066948895,16.46486677896307,18.315972256388005,1062.8887165999995,18.816645324805595,5,20000
baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1004,results\phase5\baseline_b_learned_bd_euclidean\seed_1004,49.28,6470.367999999986,4930.367999999986,32.54499999999994,0.8900777934184829,18.27918737708726,20.76370509003071,1059.8001356000004,18.871482771303008,5,20000
baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1005,results\phase5\baseline_b_learned_bd_euclidean\seed_1005,24.16,3185.337999999996,2430.337999999996,29.41999999999998,0.7793528097686653,28.21300088418465,31.457333357463835,991.0042558999994,20.18154804172523,5,20000
contribution_geodesic_niching,Contribution: geodesic niching,1001,results\phase5\contribution_geodesic_niching\seed_1001,49.44,6239.201999999987,4694.2019999999875,31.614999999999892,0.8905813067722956,16.309775427791745,18.074207671140304,1090.0835953999995,18.34721674961187,5,20000
contribution_geodesic_niching,Contribution: geodesic niching,1002,results\phase5\contribution_geodesic_niching\seed_1002,39.68,4676.240999999993,3436.2409999999936,28.794999999999895,0.8564214722993756,18.321286422855117,20.34252339631256,1082.1883094999994,18.48107193954123,5,20000
contribution_geodesic_niching,Contribution: geodesic niching,1003,results\phase5\contribution_geodesic_niching\seed_1003,41.44,5426.363999999988,4131.363999999988,34.979999999999905,0.8631628500187742,20.91029546302489,23.596166897109512,1336.4822626000005,14.96465801281334,5,20000
contribution_geodesic_niching,Contribution: geodesic niching,1004,results\phase5\contribution_geodesic_niching\seed_1004,36.32,4677.12099999999,3542.1209999999905,34.95999999999989,0.8426777410252432,17.694598622684854,20.168869891339767,1607.3065201999998,12.443177296083741,5,20000
contribution_geodesic_niching,Contribution: geodesic niching,1005,results\phase5\contribution_geodesic_niching\seed_1005,37.28,4630.813999999993,3465.813999999993,28.79499999999987,0.846730155207043,26.134168780273672,28.87301494628339,1472.3091656999986,13.584103438282371,5,20000
