cell_x,cell_y,fitness,descriptor_x,descriptor_y,steps,food_collected,wall_collisions,hazard_contacts
2,2,24.584999999999912,-12.64857292175293,-22.15707778930664,280,5,28,6
2,6,26.62999999999995,-12.503116607666016,-13.2789888381958,280,7,35,0
2,15,6.964999999999997,-12.612518310546875,8.636942863464355,200,1,19,0
2,16,7.709999999999997,-12.989144325256348,10.030826568603516,190,1,9,2
2,18,1.711000000000001,-12.582235336303711,14.274482727050781,142,0,53,0
3,4,20.599999999999973,-11.534180641174316,-18.35857582092285,280,5,16,0
3,5,21.984999999999914,-11.081467628479004,-16.204753875732422,280,4,13,0
3,6,18.49999999999997,-11.292397499084473,-13.330166816711426,280,5,77,5
3,10,10.580999999999952,-11.103667259216309,-2.729121208190918,242,2,8,0
3,11,10.867999999999972,-12.410409927368164,-1.798843264579773,226,2,11,2
3,13,15.13800000000002,-11.751758575439453,3.8562588691711426,246,3,22,9
3,14,11.190999999999985,-11.544097900390625,6.078094959259033,232,2,14,0
3,15,11.948999999999996,-11.636346817016602,7.341967582702637,233,2,8,0
3,16,7.945999999999997,-12.440425872802734,9.885672569274902,197,1,7,0
3,17,3.399999999999998,-11.280282020568848,11.941454887390137,140,0,4,1
3,18,3.3409999999999984,-11.327399253845215,14.310816764831543,142,0,9,0
3,19,2.4349999999999983,-11.43106460571289,16.566341400146484,140,0,37,0
4,2,24.834999999999894,-9.773544311523438,-21.289222717285156,280,5,11,2
4,3,20.46499999999992,-10.71353816986084,-18.82941436767578,280,4,26,1
4,4,21.544999999999913,-10.035250663757324,-18.50527572631836,280,4,20,2
4,6,20.394999999999953,-10.425395965576172,-13.257232666015625,280,5,32,3
4,7,17.28999999999994,-10.785787582397461,-11.023324012756348,280,4,15,0
4,9,16.75999999999994,-9.875051498413086,-6.160773754119873,280,4,27,2
4,10,16.759999999999938,-9.979372024536133,-4.364988803863525,280,4,25,0
4,11,13.77999999999992,-9.602803230285645,-1.5112496614456177,260,3,12,9
4,12,14.883999999999986,-9.74392318725586,1.7074214220046997,258,3,26,4
4,13,18.90999999999995,-9.617570877075195,3.010549306869507,280,3,51,3
4,14,10.993999999999984,-10.052469253540039,5.520249843597412,233,2,16,0
4,15,10.186999999999975,-10.399961471557617,7.365805625915527,224,2,14,4
