epoch,train_loss,validation_loss
1,0.9161356702131384,0.7064586281776428
2,0.7670862629553851,0.6735239028930664
3,0.7436873140335083,0.6591769456863403
4,0.7277442076626945,0.6443569660186768
5,0.7145756914475385,0.6361597180366516
6,0.7060895821346956,0.6301988959312439
7,0.6995179909257327,0.6231046915054321
8,0.6928882232273326,0.6218691468238831
9,0.6876862862250385,0.6149890422821045
10,0.6811853878357831,0.6140482425689697
11,0.6756219439506531,0.6104964017868042
12,0.6709129179786233,0.6052834987640381
13,0.6654465199638816,0.6015681028366089
14,0.661086373497458,0.5989088416099548
15,0.6570008671984953,0.5973884463310242
16,0.6527455420774572,0.5979588627815247
17,0.6487680640220642,0.5919235944747925
18,0.6442791216233197,0.5896015167236328
19,0.6397376881767721,0.5897038578987122
20,0.6372652674282299,0.5899186134338379
21,0.6335846196062425,0.5866529941558838
22,0.6299021731825436,0.5849140882492065
23,0.6263037176693187,0.579459011554718
24,0.6227175929967095,0.5810379981994629
25,0.6191581215577967,0.57874596118927
26,0.6172100780430962,0.578935444355011
27,0.6153402582617367,0.5773506760597229
28,0.6115380132899565,0.5763987898826599
29,0.6101082486545338,0.5746709704399109
30,0.6072084036153905,0.5745447874069214
31,0.6053411405507256,0.5712389349937439
32,0.6034372692108154,0.569074273109436
33,0.6013927593231201,0.5722174048423767
34,0.5979582527104546,0.5675491094589233
35,0.5972391880540286,0.5683830976486206
36,0.5990092244428746,0.5698707103729248
37,0.5963303655736587,0.5658324956893921
38,0.5939664130210877,0.567866861820221
39,0.5910803620114046,0.5684435963630676
40,0.5885443052404067,0.5642512440681458
41,0.5876020657314974,0.5657773613929749
42,0.5858500622581033,0.5661277174949646
43,0.5843406027064604,0.5636651515960693
44,0.5823996966866886,0.5643494725227356
45,0.5807724069427042,0.56610107421875
46,0.5800853673991035,0.5652490854263306
47,0.5797251147943384,0.56334388256073
48,0.5777451947717106,0.5622918009757996
49,0.575895834754495,0.5620121359825134
50,0.5753489203453064,0.561301052570343
51,0.5736957978360793,0.5597178936004639
52,0.573327331795412,0.5618544220924377
53,0.5731149092281566,0.5600679516792297
54,0.5715222589829388,0.5616827607154846
55,0.5695782235790702,0.5594639182090759
56,0.5683032470029943,0.5590463876724243
57,0.5681170530599706,0.5564449429512024
58,0.5656209583001979,0.5576836466789246
59,0.5645031785123489,0.5620131492614746
60,0.5642377429288976,0.5568782687187195
61,0.5625060604319853,0.5608558058738708
62,0.5629745981833514,0.5579260587692261
63,0.5616314939891591,0.5591277480125427
64,0.5624041729253881,0.5573732852935791
65,0.559323769569397,0.5577976703643799
66,0.5572710812793058,0.5589661002159119
67,0.5564103607850917,0.5597344040870667
68,0.5557872712752399,0.5586037039756775
69,0.5559422874731176,0.5581414103507996
70,0.5545423403066747,0.5544165372848511
71,0.55224255250482,0.5611386895179749
72,0.5524046996341032,0.5559135675430298
73,0.551575404251323,0.5621941685676575
74,0.5504948109738967,0.5595158338546753
75,0.5494623336791992,0.561453104019165
76,0.5485632588302388,0.5566117763519287
77,0.5477010289781233,0.559276282787323
78,0.5482788402893964,0.5579062700271606
79,0.5468182341631721,0.5577191114425659
80,0.546462607159334,0.5581871271133423
