comparison,dataset,matched_pair_count,mean_target_minus_control_fitness,median_target_minus_control_fitness,fraction_targets_lower_than_control,mean_absolute_depth_difference,median_absolute_depth_difference,wilcoxon_p
nearest_bulk_depth,horseshoe,112,3.871999999999987,2.8419999999999943,0.32142857142857145,0.23517904862868555,0.039541563385846246,2.9086397163620072e-05
nearest_bulk_depth,open_robustness,75,3.9494666666666625,3.240999999999975,0.38666666666666666,0.05649643440106596,0.0288427637703208,0.006858349954434611
nearest_bulk_depth,all_maps,187,3.9030695187165687,3.0300000000000225,0.34759358288770054,0.16351489853739426,0.03737967076065374,1.104085071873709e-06
nearest_bulk_depth_plus_assignment_count,horseshoe,112,3.643848214285702,2.3320000000000007,0.3392857142857143,1.1222313636521082,0.5777589929724183,1.6241170378071978e-05
nearest_bulk_depth_plus_assignment_count,open_robustness,75,2.6248399999999976,0.30999999999998806,0.48,0.51312392192964,0.3097591792008636,0.15547095978248218
nearest_bulk_depth_plus_assignment_count,all_maps,187,3.235155080213895,1.7349999999999888,0.39572192513368987,0.8779369351537921,0.43024763831272494,3.891266165526089e-05
