dataset,seed,scope,depth_metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,mean_depth,mean_fitness
horseshoe,1001,per_seed,home_depth,192,0.4136487578291971,2.4686165871592802e-09,0.5470277913700337,2.2282051482204155e-16,21.071469929594624,18.178703124999952
horseshoe,1001,per_seed,bulk_depth,192,0.24419205663175814,0.0006416930632168526,0.0026347668850391533,0.9710670202581324,27.95861192370329,18.178703124999952
horseshoe,1001,per_seed,median_bulk_depth,192,0.2657973117283963,0.00019439029691807353,0.08013319645277059,0.2692092913351953,24.30660675699143,18.178703124999952
horseshoe,1002,per_seed,home_depth,208,0.6041100605279017,4.457496334530806e-22,0.5920647880177702,4.583237504217718e-21,20.2155581800119,15.635533653846114
horseshoe,1002,per_seed,bulk_depth,208,-0.10322213714235992,0.13789235505005404,-0.2145482998046171,0.001858675377289226,23.22182384979001,15.635533653846114
horseshoe,1002,per_seed,median_bulk_depth,208,-0.03624223275645422,0.6032630674107838,-0.1491835321564829,0.03150469999890764,23.169149524336675,15.635533653846114
horseshoe,1003,per_seed,home_depth,212,0.43838323099540666,2.2817916742042784e-11,0.6084125724525822,7.437844776992609e-23,26.710913471064874,16.81181132075467
horseshoe,1003,per_seed,bulk_depth,212,0.24867658435754728,0.0002551908202046459,-0.0004735558122048935,0.9945310936240648,33.44249941357542,16.81181132075467
horseshoe,1003,per_seed,median_bulk_depth,212,0.273883966752633,5.304497917757279e-05,0.10580184683147197,0.12461105003128056,28.60933467998709,16.81181132075467
horseshoe,1004,per_seed,home_depth,177,0.3896378360200887,8.301801716228245e-08,0.390453766382161,7.758810575835556e-08,20.593770829645013,14.97827683615815
horseshoe,1004,per_seed,bulk_depth,177,-0.07508906587879835,0.3205539859573563,-0.10013244230536175,0.184815826317463,25.254898490996716,14.97827683615815
horseshoe,1004,per_seed,median_bulk_depth,177,-0.08952170527903525,0.2360367973098777,-0.12819203268641471,0.08905132979584199,23.938107141548326,14.97827683615815
horseshoe,1005,per_seed,home_depth,192,0.28438256705719145,6.397589307520526e-05,0.2753467340389841,0.00011091237722007851,20.042246511863414,14.756479166666635
horseshoe,1005,per_seed,bulk_depth,192,0.17099456894688286,0.01772129968208175,-0.09199530863685532,0.2044077600037387,27.26135452276307,14.756479166666635
horseshoe,1005,per_seed,median_bulk_depth,192,0.17300556738104683,0.016408285142504277,-0.0869385718809062,0.2305040347779412,25.583870427844133,14.756479166666635
open_robustness,1001,per_seed,home_depth,264,0.14808232135853144,0.016043438573704338,0.20601928054956886,0.0007578919619335829,16.97551025035338,18.44327651515149
