dataset,seed,match_type,target_cell_x,target_cell_y,control_cell_x,control_cell_y,target_fitness,control_fitness,fitness_difference_target_minus_control,target_depth,control_depth,absolute_depth_difference,target_assignment_count,control_assignment_count,match_distance_standardized
horseshoe,1001,depth_plus_assignment_count,4,16,5,17,27.189999999999948,26.849999999999934,0.34000000000001407,44.81893291187695,41.636180729503636,3.1827521823733136,3,4,0.20287128270680208
horseshoe,1001,depth_plus_assignment_count,7,13,7,14,24.374999999999975,24.67499999999994,-0.2999999999999652,33.932448960906754,34.17236275283903,0.23991379193227402,7,6,0.09292370141694668
horseshoe,1001,depth_plus_assignment_count,8,13,21,8,24.349999999999973,3.884999999999997,20.464999999999975,30.33214545462989,31.478180965513022,1.1460355108831308,9,10,0.08120587548453444
horseshoe,1001,depth_plus_assignment_count,9,11,19,4,22.29999999999993,3.4919999999999978,18.807999999999932,27.18840370645785,28.329605153758905,1.1412014473010537,12,12,0.047185955727664666
horseshoe,1001,depth_plus_assignment_count,9,12,19,18,23.079999999999966,19.83999999999996,3.2400000000000055,27.11674682779348,27.0237293232669,0.09301750452658197,24,27,0.07850835637473845
horseshoe,1001,depth_plus_assignment_count,10,14,9,14,25.659999999999975,22.124999999999954,3.5350000000000215,25.122073270211025,27.646491773516484,2.5244185033054585,4,4,0.10437867916902956
horseshoe,1001,depth_plus_assignment_count,10,16,18,20,24.39499999999995,15.674999999999976,8.719999999999974,25.82742678055406,27.24995594428561,1.42252916373155,15,15,0.058818185255456776
horseshoe,1001,depth_plus_assignment_count,10,17,10,11,24.334999999999905,21.019999999999904,3.3150000000000013,26.527948995409304,24.854837630466257,1.673111364943047,13,12,0.08611066012823766
horseshoe,1001,depth_plus_assignment_count,12,15,15,4,26.289999999999885,12.299999999999933,13.989999999999952,21.67298553256174,23.00311883167066,1.330133299108919,28,27,0.060119005449463615
horseshoe,1001,depth_plus_assignment_count,13,3,18,20,14.649999999999906,15.674999999999976,-1.0250000000000696,25.15769129573921,27.24995594428561,2.0922646485464007,15,15,0.08651014885264524
horseshoe,1001,depth_plus_assignment_count,13,4,10,12,13.222999999999946,28.039999999999885,-14.81699999999994,23.904571179876406,24.624787562702025,0.720216382825619,18,18,0.029779228228916974
horseshoe,1001,depth_plus_assignment_count,13,8,16,10,20.169999999999927,15.229999999999988,4.939999999999939,20.81872700897231,19.355362886302586,1.4633641226697236,36,36,0.060506613331984926
horseshoe,1001,depth_plus_assignment_count,13,13,14,15,24.574999999999935,18.58499999999997,5.9899999999999665,19.772612294978323,19.831367315110125,0.05875502013180167,19,17,0.07294124473695424
horseshoe,1001,depth_plus_assignment_count,15,16,13,10,17.854999999999958,21.17999999999994,-3.3249999999999815,20.5825430783717,19.887754925355303,0.6947881530163968,24,24,0.028727831625058382
horseshoe,1001,depth_plus_assignment_count,16,9,16,14,20.699999999999953,15.75999999999997,4.9399999999999835,19.586339811003853,19.721458716569497,0.1351189055656441,80,81,0.01016322173082118
horseshoe,1001,depth_plus_assignment_count,17,8,18,10,13.014999999999976,21.74999999999995,-8.734999999999975,21.181791761686743,21.979171304881522,0.7973795431947792,230,229,0.033106112733304195
horseshoe,1001,depth_plus_assignment_count,18,17,18,18,21.004999999999963,19.149999999999963,1.8550000000000004,24.40916745331118,25.213710386526994,0.8045429332158136,50,49,0.03597722809437057
horseshoe,1001,depth_plus_assignment_count,18,19,20,13,21.594999999999974,13.443999999999983,8.150999999999991,26.11985407468237,26.877649134105585,0.7577950594232163,53,54,0.0338075230379076
