dataset,n_total,n_high_blowup_target,n_control,high_blowup_target_fraction,target_mean_fitness,control_mean_fitness,target_median_fitness,control_median_fitness,uncontrolled_fitness_difference_mean,uncontrolled_fitness_mannwhitney_p,target_mean_bulk_depth,control_mean_bulk_depth,target_minus_control_mean_bulk_depth,bulk_depth_mannwhitney_p,target_mean_assignment_count,control_mean_assignment_count
horseshoe,981,112,869,0.11416921508664628,18.987964285714234,15.724226697353242,20.43499999999994,16.614999999999945,3.2637375883609927,5.71070904588848e-07,31.729116334523273,26.971966395392013,4.75714993913126,4.197911854706367e-05,26.75,54.0897583429229
open_robustness,658,75,583,0.11398176291793313,21.439826666666637,19.09702572898796,23.70499999999998,20.53499999999999,2.3428009376786783,0.00545603689541834,23.389909319835525,23.03657306187768,0.35333625795784585,0.006668223481584476,19.453333333333333,48.95540308747856
all_maps,1639,187,1452,0.11409395973154363,19.971331550802095,17.07845661157021,21.52999999999991,17.907499999999928,2.892874939231884,3.38021877677461e-07,28.384514590664548,25.39184634481429,2.9926682458502576,1.5026660455167134e-05,23.823529411764707,52.02823691460055
