dataset,seed,depth_metric,bin_index,depth_low,depth_high,touched_count,control_count,touched_mean_fitness,control_mean_fitness,difference_touched_minus_control,touched_mean_assignment_count,control_mean_assignment_count
horseshoe,1001,bulk_depth,0,18.79636514725554,20.61869902724639,3,36,21.043333333333283,19.7574444444444,1.2858888888888842,41.0,86.69444444444444
horseshoe,1001,bulk_depth,1,20.61869902724639,22.55237340082717,3,35,19.82499999999993,18.326142857142802,1.4988571428571262,98.0,101.62857142857143
horseshoe,1001,bulk_depth,2,22.55237340082717,24.634255575038555,2,36,17.113999999999955,17.204055555555502,-0.09005555555554778,34.0,41.77777777777778
horseshoe,1001,bulk_depth,3,24.634255575038555,27.593581394534343,9,29,19.709777777777727,15.086517241379271,4.6232605363984565,27.22222222222222,28.96551724137931
horseshoe,1001,bulk_depth,4,27.593581394534343,190.45053937859402,3,36,25.304999999999968,18.62880555555551,6.676194444444459,6.333333333333333,6.361111111111111
horseshoe,1002,bulk_depth,0,16.632443386827166,18.97347611213782,2,40,23.889999999999954,18.596349999999955,5.2936499999999995,27.5,109.95
horseshoe,1002,bulk_depth,1,18.97347611213782,21.2462002693539,3,38,20.86633333333327,15.801210526315746,5.065122807017524,31.333333333333332,86.1842105263158
horseshoe,1002,bulk_depth,2,21.2462002693539,23.593117336154652,3,39,20.848333333333255,14.545846153846119,6.3024871794871355,14.666666666666666,26.435897435897434
horseshoe,1002,bulk_depth,3,23.593117336154652,26.89152339611723,7,34,17.22857142857138,11.856411764705854,5.372159663865528,26.142857142857142,17.058823529411764
horseshoe,1002,bulk_depth,4,26.89152339611723,38.01396362979028,7,35,19.64042857142852,14.470799999999956,5.169628571428563,14.571428571428571,6.8
horseshoe,1003,bulk_depth,0,22.290281514572886,24.330160628164435,4,39,19.453749999999943,18.911128205128154,0.5426217948717884,21.0,94.43589743589743
horseshoe,1003,bulk_depth,1,24.330160628164435,26.257403634308936,3,39,18.38833333333328,16.752641025640976,1.6356923076923024,26.666666666666668,64.48717948717949
horseshoe,1003,bulk_depth,2,26.257403634308936,28.734990534048862,4,38,17.584249999999955,14.83463157894732,2.7496184210526344,15.75,60.421052631578945
horseshoe,1003,bulk_depth,3,28.734990534048862,32.28279166240732,7,35,18.564571428571377,11.736971428571403,6.827599999999974,22.857142857142858,20.571428571428573
horseshoe,1003,bulk_depth,4,32.28279166240732,199.04648230931824,11,32,23.186272727272662,19.074656249999954,4.111616477272708,12.454545454545455,8.1875
horseshoe,1004,bulk_depth,0,18.325186659906425,20.336914673283097,3,33,18.81966666666658,17.958121212121167,0.8615454545454142,51.333333333333336,150.8181818181818
horseshoe,1004,bulk_depth,1,20.336914673283097,22.368848458758944,2,33,12.584999999999996,15.000242424242375,-2.415242424242379,95.0,84.45454545454545
horseshoe,1004,bulk_depth,2,22.368848458758944,24.927951478506127,3,32,7.532666666666653,12.594406249999974,-5.0617395833333205,18.0,26.78125
horseshoe,1004,bulk_depth,3,24.927951478506127,29.999637142473063,8,27,17.922374999999946,14.153148148148114,3.7692268518518315,19.375,17.62962962962963
horseshoe,1004,bulk_depth,4,29.999637142473063,45.83620860293658,5,31,21.21219999999994,13.700193548387066,7.512006451612873,16.4,8.64516129032258
horseshoe,1005,bulk_depth,0,18.764259863101838,21.065055208462766,2,37,19.127499999999962,17.516648648648616,1.6108513513513465,59.5,148.02702702702703
