dataset,seed,filled_niches,home_centroid_index,home_centroid_cell_x,home_centroid_cell_y,high_blowup_target_filled_niches,high_blowup_target_filled_fraction,any_disagreement_target_filled_niches,any_disagreement_target_filled_fraction,graph_k,support_points,filled_centroid_finite_fraction,mean_final_elite_fitness,mean_home_depth,mean_bulk_depth
horseshoe,1001,192,433,17,8,20,0.10416666666666667,185,0.9635416666666666,20,1625,1.0,18.178703124999952,21.071469929594624,27.95861192370329
horseshoe,1002,208,410,16,10,22,0.10576923076923077,199,0.9567307692307693,20,1625,1.0,15.635533653846114,20.2155581800119,23.22182384979001
horseshoe,1003,212,164,6,14,29,0.13679245283018868,204,0.9622641509433962,20,1625,1.0,16.81181132075467,26.710913471064874,33.44249941357542
horseshoe,1004,177,332,13,7,21,0.11864406779661017,169,0.9548022598870056,20,1625,1.0,14.97827683615815,20.593770829645013,25.254898490996716
horseshoe,1005,192,240,9,15,20,0.10416666666666667,184,0.9583333333333334,20,1625,1.0,14.756479166666635,20.042246511863414,27.26135452276307
open_robustness,1001,264,413,16,13,30,0.11363636363636363,255,0.9659090909090909,20,1625,1.0,18.44327651515149,16.97551025035338,22.527941411432128
open_robustness,1002,196,487,19,12,21,0.10714285714285714,185,0.9438775510204082,20,1625,1.0,21.4841683673469,26.713383058177367,27.117049714906397
open_robustness,1003,198,292,11,17,24,0.12121212121212122,184,0.9292929292929293,20,1625,1.0,18.49308585858583,17.126459474568275,19.80932837031624
