dataset,metric,pre_fix_mean,pre_fix_std,post_fix_mean,post_fix_std,post_minus_pre,relative_change_percent
horseshoe,coverage_percent,40.832,5.214625585792329,31.392000000000003,2.252536348208393,-9.439999999999998,-23.119122257053284
horseshoe,qd_score,5129.948399999989,703.2680792743947,4139.200999999992,457.89655370345235,-990.7473999999975,-19.313009074321283
horseshoe,raw_qd_score,3853.94839999999,548.9420823969476,3158.200999999992,402.0513386291594,-695.7473999999984,-18.052846789541867
horseshoe,max_fitness,31.828999999999887,3.089824833222757,29.852999999999952,1.886095835316952,-1.9759999999999351,-6.2081749348076976
horseshoe,occupancy_entropy,0.8599147050645464,0.018935012974211907,0.8197043398554552,0.011236347132207815,-0.04021036520909116,-4.676087636630532
horseshoe,mean_pairwise_descriptor_euclidean,19.874024943326056,3.877113232106931,22.77536886193941,1.2208327900040652,2.901343918613353,14.5986730261585
horseshoe,mean_pairwise_descriptor_knn_geodesic,22.210956560437104,4.215319722134157,22.982784052450917,1.2350931206602207,0.7718274920138128,3.4749853745093433
horseshoe,elapsed_seconds,1317.6739706799995,232.0580125026658,984.4890201000004,38.51171697653468,-333.18495057999905,-25.28584141402258
horseshoe,evaluations_per_second,15.564045487266508,2.7511061287879635,20.340112852846303,0.7992063130879584,4.776067365579795,30.68654206573261
open_robustness,coverage_percent,43.68000000000001,4.05719114659391,35.093333333333334,6.191262660664086,-8.586666666666673,-19.65811965811967
open_robustness,qd_score,6871.525999999991,465.9243530188142,5343.850999999994,780.0264562154283,-1527.6749999999965,-22.231961284873236
open_robustness,raw_qd_score,5506.525999999991,342.1176738141431,4247.184333333326,604.5143883559207,-1259.3416666666644,-22.86998493545053
open_robustness,max_fitness,33.42833333333329,1.2345073241311058,32.79333333333326,1.03325134083306,-0.6350000000000335,-1.8995861793888447
open_robustness,occupancy_entropy,0.8709062822672001,0.014114173193175537,0.8358161705793838,0.026266975805232903,-0.03509011168781628,-4.029148991377972
open_robustness,mean_pairwise_descriptor_euclidean,21.34927014938233,3.358712850377117,20.640687265197055,4.618181172903434,-0.7085828841852759,-3.319002847531893
open_robustness,mean_pairwise_descriptor_knn_geodesic,23.679722919819636,3.50125009015462,20.841132314159093,4.667755941964482,-2.838590605660542,-11.98743167423077
open_robustness,elapsed_seconds,972.1920252000003,22.859248563102234,888.9097290999993,42.95121095849037,-83.28229610000108,-8.566445099451228
open_robustness,evaluations_per_second,20.579619174131352,0.4817905683408377,22.535460157909,1.117266640642317,1.955840983777648,9.50377636839921
