evaluation,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
1,1,0.0016,6.971000000000001,1.9710000000000012,-5.0,1.9710000000000012,1.9710000000000012,0.0,nan,nan,10,nan,-1
25,12,0.0192,86.089,26.089,-5.0,7.504999999999998,2.1740833333333334,0.3859898276581929,nan,nan,10,nan,-1
50,27,0.0432,204.98399999999998,69.98400000000001,-5.0,7.931999999999998,2.5920000000000005,0.511954645864489,nan,nan,10,nan,-1
75,33,0.0528,278.15099999999984,113.15099999999988,-5.0,12.519999999999953,3.4288181818181784,0.5431255742227409,nan,nan,10,nan,-1
100,44,0.0704,369.3579999999999,149.3579999999999,-5.0,12.519999999999953,3.3944999999999976,0.5878123046379411,nan,nan,10,nan,-1
125,53,0.0848,443.9859999999999,178.98599999999988,-5.0,12.519999999999953,3.3770943396226394,0.6167202665723659,nan,nan,10,nan,-1
150,61,0.0976,504.71299999999985,199.71299999999988,-5.0,12.519999999999953,3.2739836065573753,0.6385573858447358,nan,nan,10,nan,-1
175,70,0.112,569.4209999999998,219.4209999999998,-5.0,12.519999999999953,3.1345857142857114,0.6599346282988903,nan,nan,10,nan,-1
200,75,0.12,621.4839999999997,246.48399999999975,-5.0,12.519999999999953,3.28645333333333,0.6706515486214963,nan,nan,10,nan,-1
225,82,0.1312,669.3659999999998,259.36599999999976,-5.0,12.519999999999953,3.162999999999997,0.6845121537803792,nan,nan,10,nan,-1
250,90,0.144,738.1139999999998,288.11399999999975,-5.0,12.519999999999953,3.201266666666664,0.6989722367613409,nan,nan,10,nan,-1
275,96,0.1536,784.9149999999997,304.91499999999974,-5.0,12.519999999999953,3.176197916666664,0.7089972462132377,nan,nan,10,nan,-1
300,102,0.1632,846.7979999999997,336.7979999999997,-5.0,12.519999999999953,3.3019411764705855,0.7184142950704916,nan,nan,10,nan,-1
325,112,0.1792,950.5589999999996,390.5589999999996,-5.0,12.519999999999953,3.487133928571425,0.7329420468539349,nan,nan,10,nan,-1
350,119,0.1904,1052.5949999999996,457.5949999999996,-5.0,12.519999999999953,3.845336134453778,0.742359095711189,nan,nan,10,nan,-1
375,132,0.2112,1168.8629999999996,508.8629999999995,-5.0,12.519999999999953,3.8550227272727233,0.7584638532594373,nan,nan,10,nan,-1
400,144,0.2304,1286.1329999999994,566.1329999999994,-5.0,12.519999999999953,3.931479166666662,0.7719796553163858,nan,nan,10,nan,-1
425,156,0.2496,1421.8409999999994,641.8409999999992,-5.0,14.972999999999976,4.11436538461538,0.7844129879499635,nan,nan,10,nan,-1
450,167,0.2672,1559.758999999999,724.7589999999991,-5.0,14.972999999999976,4.339874251497001,0.7949970876286158,nan,nan,10,nan,-1
475,171,0.2736,1600.7169999999992,745.7169999999992,-5.0,14.972999999999976,4.360918128654966,0.7986737973517803,nan,nan,10,nan,-1
500,181,0.2896,1684.7299999999993,779.7299999999989,-5.0,14.972999999999976,4.307900552486181,0.8075019531824721,nan,nan,10,nan,-1
525,189,0.3024,1780.1679999999992,835.167999999999,-5.0,14.972999999999976,4.418878306878302,0.814220134645031,nan,nan,10,nan,-1
550,201,0.3216,1950.7839999999987,945.7839999999987,-5.0,20.849999999999923,4.705393034825865,0.8237821519996386,nan,nan,10,nan,-1
575,212,0.3392,2094.3009999999986,1034.3009999999986,-5.0,20.849999999999923,4.878778301886785,0.8320585456090624,nan,nan,10,nan,-1
600,219,0.3504,2174.115999999998,1079.1159999999986,-5.0,20.849999999999923,4.927470319634697,0.8371046326456475,nan,nan,10,nan,-1
625,224,0.3584,2258.4739999999983,1138.4739999999983,-5.0,20.849999999999923,5.082473214285707,0.8406111863722832,nan,nan,10,nan,-1
650,230,0.368,2330.155999999998,1180.1559999999984,-5.0,20.849999999999923,5.131113043478254,0.8447171628849433,nan,nan,10,nan,-1
675,242,0.3872,2451.8309999999983,1241.8309999999983,-5.0,20.849999999999923,5.131533057851232,0.8526171907208374,nan,nan,10,nan,-1
700,247,0.3952,2514.8369999999977,1279.8369999999982,-5.0,20.849999999999923,5.181526315789466,0.8557938604005583,nan,nan,10,nan,-1
725,257,0.4112,2629.5359999999982,1344.5359999999978,-5.0,20.849999999999923,5.2316575875486295,0.8619587065186697,nan,nan,10,nan,-1
750,261,0.4176,2690.408999999998,1385.4089999999978,-5.0,20.849999999999923,5.308080459770107,0.8643577307848677,nan,nan,10,nan,-1
775,265,0.424,2781.591999999998,1456.5919999999976,-5.0,20.849999999999923,5.496573584905652,0.8667202665723659,nan,nan,10,nan,-1
800,272,0.4352,2852.766999999997,1492.7669999999976,-5.0,20.849999999999923,5.488113970588226,0.8707701650040401,nan,nan,10,nan,-1
825,278,0.4448,2940.1349999999975,1550.1349999999973,-5.0,20.849999999999923,5.576025179856106,0.8741593991003155,nan,nan,10,nan,-1
850,285,0.456,3032.1679999999974,1607.167999999997,-5.0,20.849999999999923,5.6391859649122695,0.878022248730284,nan,nan,10,nan,-1
875,289,0.4624,3102.2989999999972,1657.298999999997,-5.0,20.849999999999923,5.734598615916945,0.8801872138612941,nan,nan,10,nan,-1
900,292,0.4672,3154.419999999997,1694.4199999999967,-5.0,20.849999999999923,5.802808219178071,0.8817913630608476,nan,nan,10,nan,-1
925,296,0.4736,3223.1609999999964,1743.1609999999969,-5.0,20.849999999999923,5.889057432432422,0.8839047797932771,nan,nan,10,nan,-1
950,302,0.4832,3286.412999999997,1776.4129999999966,-5.0,20.849999999999923,5.882162251655618,0.8870219492870135,nan,nan,10,nan,-1
975,304,0.4864,3329.874999999997,1809.8749999999966,-5.0,20.849999999999923,5.953536184210515,0.8880472581821808,nan,nan,10,nan,-1
1000,308,0.4928,3418.0269999999964,1878.0269999999964,-5.0,20.849999999999923,6.0974902597402485,0.8900777934184829,1.050368545859685,1.1044972651370741,10,1.0,0
1025,315,0.504,3502.8579999999965,1927.8579999999965,-5.0,20.849999999999923,6.120184126984116,0.8935685860235346,nan,nan,10,nan,-1
1050,319,0.5104,3562.284999999996,1967.2849999999958,-5.0,20.849999999999923,6.167037617554846,0.8955286591431194,nan,nan,10,nan,-1
1075,324,0.5184,3632.943999999996,2012.9439999999959,-5.0,20.849999999999923,6.212790123456777,0.8979444735226818,nan,nan,10,nan,-1
1100,328,0.5248,3690.0979999999963,2050.097999999996,-5.0,20.849999999999923,6.2502987804877925,0.8998504328170758,nan,nan,10,nan,-1
1125,335,0.536,3782.8179999999957,2107.8179999999957,-5.0,20.849999999999923,6.291994029850733,0.9031306033781422,nan,nan,10,nan,-1
1150,340,0.544,3881.0929999999958,2181.0929999999953,-5.0,20.849999999999923,6.414979411764692,0.9054318859673436,nan,nan,10,nan,-1
1175,345,0.552,3959.669999999995,2234.6699999999955,-5.0,20.849999999999923,6.477304347826074,0.9076995719880914,nan,nan,10,nan,-1
1200,352,0.5632,4063.3489999999947,2303.3489999999947,-5.0,20.849999999999923,6.543605113636349,0.9108197231929859,nan,nan,10,nan,-1
1225,355,0.568,4117.318999999995,2342.3189999999945,-5.0,20.849999999999923,6.5980816901408295,0.9121379806125101,nan,nan,10,nan,-1
1250,357,0.5712,4181.194999999994,2396.1949999999943,-5.0,20.849999999999923,6.7120308123249135,0.9130106443326852,nan,nan,10,nan,-1
1275,362,0.5792,4284.300999999994,2474.300999999994,-5.0,20.849999999999923,6.8350856353591,0.9151710927008204,nan,nan,10,nan,-1
1300,363,0.5808,4317.277999999995,2502.2779999999943,-5.0,20.849999999999923,6.893327823691444,0.9155995998239853,nan,nan,10,nan,-1
1325,366,0.5856,4343.4589999999935,2513.458999999994,-5.0,20.849999999999923,6.867374316939874,0.9168780739845803,nan,nan,10,nan,-1
1350,369,0.5904,4384.388999999994,2539.3889999999938,-5.0,20.849999999999923,6.881813008130065,0.9181461115050236,nan,nan,10,nan,-1
1375,373,0.5968,4458.960999999994,2593.960999999994,-5.0,20.849999999999923,6.954319034852531,0.91982088496475,nan,nan,10,nan,-1
1400,377,0.6032,4522.084999999994,2637.0849999999937,-5.0,20.849999999999923,6.994920424403166,0.9214777938336456,nan,nan,10,nan,-1
1425,381,0.6096,4572.541999999993,2667.5419999999935,-5.0,20.849999999999923,7.001422572178461,0.9231172152113127,nan,nan,10,nan,-1
1450,386,0.6176,4620.232999999993,2690.2329999999934,-5.0,20.849999999999923,6.969515544041434,0.9251424555510304,nan,nan,10,nan,-1
1475,391,0.6256,4691.059999999994,2736.059999999993,-5.0,20.849999999999923,6.997595907928371,0.927141630297242,nan,nan,10,nan,-1
1500,395,0.632,4756.698999999993,2781.6989999999932,-5.0,20.849999999999923,7.042275949367071,0.9287226488685584,nan,nan,10,nan,-1
1525,399,0.6384,4810.198999999993,2815.198999999993,-5.0,20.849999999999923,7.055636591478678,0.9302877375108259,nan,nan,10,nan,-1
1550,400,0.64,4836.632999999993,2836.632999999993,-5.0,20.849999999999923,7.091582499999983,0.9306765580733931,nan,nan,10,nan,-1
1575,402,0.6432,4891.412999999993,2881.4129999999927,-5.0,20.849999999999923,7.167694029850728,0.9314512915179868,nan,nan,10,nan,-1
1600,405,0.648,4928.399999999992,2903.399999999993,-5.0,20.849999999999923,7.168888888888871,0.9326061944859853,nan,nan,10,nan,-1
1625,408,0.6528,4977.8829999999925,2937.8829999999925,-5.0,20.849999999999923,7.2006936274509625,0.9337525741071881,nan,nan,10,nan,-1
1650,408,0.6528,4994.400999999993,2954.4009999999926,-5.0,20.849999999999923,7.2411789215686095,0.9337525741071881,nan,nan,10,nan,-1
