cell_x,cell_y,fitness,descriptor_x,descriptor_y,steps,food_collected,wall_collisions,hazard_contacts
0,0,5.283999999999998,-0.9691473195845294,-0.9294483821468649,183,1,7,0
0,1,10.399999999999967,-0.9389703684792445,-0.9029910662846293,265,3,9,0
0,2,7.823999999999999,-0.920216400887603,-0.7839146727636201,233,2,8,0
0,3,7.760999999999999,-0.941920234066425,-0.728042371999737,232,2,7,0
0,4,6.324999999999997,-0.9743873160926851,-0.6455638939732549,240,2,28,0
0,5,10.800999999999949,-0.9463414260458529,-0.5619120657065367,272,3,3,0
0,6,5.3219999999999965,-0.9737703355558476,-0.46964267807829985,174,1,18,0
0,7,8.007999999999992,-0.9696817501522796,-0.4035090459526609,231,2,10,0
0,8,8.071999999999997,-0.9618517309622716,-0.32769398224875146,239,2,1,0
0,9,8.059,-0.9382373385346746,-0.24166350461228064,228,2,4,0
0,10,3.931999999999996,-0.9746007848936693,-0.1900603124623414,189,1,29,0
0,11,9.251999999999965,-0.9618268800624794,-0.08561893037294936,234,2,18,0
0,12,10.50899999999996,-0.9719172711728957,0.032565433090541204,228,2,16,0
0,13,7.504999999999998,-0.9529549615280266,0.07520659670708787,230,2,10,0
0,14,6.636999999999999,-0.9637434269684886,0.1667946432052825,189,1,10,0
0,15,7.589999999999998,-0.9733796940379007,0.23754428989990872,240,2,6,0
0,16,0.6160000000000001,-0.9736704107118518,0.3011012231629778,157,0,35,0
0,17,6.189999999999998,-0.9298332454046698,0.375218372061251,180,1,10,0
0,18,9.186999999999955,-0.9295750735295777,0.47958347025959486,229,2,20,0
0,19,2.9339999999999984,-0.9439741476754923,0.5983435703499178,138,0,21,0
0,20,6.564999999999997,-0.9313191174138415,0.6754705640280559,185,1,24,0
0,21,9.84899999999995,-0.9657894936396342,0.7215193838891766,233,2,11,0
0,22,6.459999999999997,-0.9649218356406364,0.7619685075081937,185,1,18,0
0,23,13.00899999999991,-0.9474679798189297,0.8791951689303709,278,3,18,0
0,24,9.982000000000053,-0.9679391010639747,0.9748547801930403,229,2,71,0
1,0,8.304999999999973,-0.8798065851456328,-0.9520403783465851,230,2,9,0
1,1,8.014999999999997,-0.8702710879229046,-0.9047944534649706,220,2,6,0
1,2,5.730999999999999,-0.8698760913145684,-0.828116835550472,187,1,8,0
1,3,8.170999999999987,-0.850175026603244,-0.6943813242759942,222,2,11,0
1,4,7.880999999999999,-0.8521795232885124,-0.6234141901923637,227,2,5,0
1,5,10.555999999999965,-0.8803766389290273,-0.5906700640757533,267,3,14,0
1,6,9.55999999999996,-0.8856425474522224,-0.4440763653145677,280,3,12,0
1,7,7.755999999999998,-0.8997710418808027,-0.3748516514936549,227,2,15,0
1,8,8.082999999999997,-0.9081162983327832,-0.3434830402865693,226,2,8,0
1,9,14.41999999999994,-0.8933174894603777,-0.276175418270902,280,4,27,0
1,10,8.09399999999999,-0.885223571798504,-0.1436764496152364,218,2,20,0
