seed,feature,baseline_mean,contribution_mean,mean_difference_contribution_minus_baseline,baseline_median,contribution_median,median_difference_contribution_minus_baseline,baseline_std,contribution_std,cohens_d_contribution_minus_baseline,ks_statistic,ks_p_value,wasserstein_distance,wasserstein_distance_over_pooled_std,histogram_overlap
1001,fitness,6.234001249999986,6.620069374999985,0.38606812499999865,5.687999999999998,5.8619999999999965,0.1739999999999986,4.4502985471199885,4.803782133414454,0.08337136582768058,0.03649999999999998,4.577553054941723e-05,0.39027662499999827,0.08428019090378798,0.958125
1001,steps,193.866875,195.941875,2.075000000000017,187.0,187.0,0.0,42.61878286312709,43.76495740297681,0.048034217668469506,0.023125000000000062,0.02730542289848703,2.1582500000000007,0.04996137363034867,0.93975
1001,food_collected,1.236375,1.339875,0.10349999999999993,1.0,1.0,0.0,1.0905282478574319,1.1747808239731357,0.09130941646946301,0.03237500000000004,0.00044606057197282096,0.10349999999999993,0.09130941646946301,0.967625
1001,wall_collisions,20.32925,20.184875,-0.1443749999999966,12.0,12.0,0.0,26.82427248663978,26.09123792069619,-0.005455947603776424,0.02037499999999992,0.071237958516288,0.4718749999999997,0.017832209700654956,0.96
1001,hazard_contacts,1.77175,2.21075,0.43900000000000006,0.0,0.0,0.0,3.6737789723253633,4.165643340169679,0.1117712643993172,0.04425000000000001,3.0382243286500377e-07,0.44299999999999984,0.11278968138701025,0.95325
1001,path_length,5.677475756130727,5.7982557464640125,0.12077999033328535,5.806673526763916,5.9039716720581055,0.09729814529418945,2.3457517736639852,2.392888281214594,0.050970939042554494,0.027249999999999996,0.005163329029411919,0.1223045953184701,0.05161434485463801,0.9597500000000001
1001,displacement,1.0728899408814176,1.0955285456237616,0.022638604742343915,1.1347535252571106,1.183700442314148,0.048946917057037354,0.5477271033734858,0.5419308525317693,0.04154857844457608,0.031125000000000014,0.0008426387974841324,0.026553263148423864,0.04873314188034778,0.9564999999999999
1001,loop_score,6.071940996991699,6.148364515378993,0.07642351838729411,5.918341612670151,6.1503956201195376,0.23205400744938665,3.2498797810054256,3.2543744110225696,0.02349807411155505,0.028874999999999984,0.002485955847712231,0.11743005027170261,0.03610642486026746,0.9600000000000002
1001,bbox_area,1.4287243198518167,1.5435773333846645,0.11485301353284783,1.1476428508758545,1.2032225728034973,0.05557972192764282,1.0983847496573265,1.1387704528175908,0.10265459117836302,0.07087500000000002,6.446186088816061e-18,0.11490321614532109,0.1026994618221625,0.932
1002,fitness,6.6817199999999835,6.900753624999982,0.2190336249999989,5.977499999999997,6.275499999999997,0.29800000000000004,4.960129144120121,5.197486767099473,0.04311251080333341,0.03200000000000003,0.000541264602561744,0.2937216249999978,0.05781339157850817,0.939875
1002,steps,197.69625,202.136625,4.440375000000017,187.0,191.0,4.0,45.6629552913245,47.32885175671785,0.09547906006023323,0.05862500000000004,2.1606529780963683e-12,4.469124999999999,0.09609725626589828,0.9218749999999999
1002,food_collected,1.3645,1.46975,0.10524999999999984,1.0,1.0,0.0,1.1853859076267104,1.234437093374952,0.08696653122237948,0.03974999999999995,6.28336601573899e-06,0.10649999999999987,0.08799938788772843,0.9602499999999999
1002,wall_collisions,26.339375,27.20625,0.8668750000000003,14.0,13.0,-1.0,31.62151086854287,33.67132624262816,0.026538714058051516,0.02862500000000001,0.002789493136092877,1.394625,0.04269537602677443,0.9472499999999999
1002,hazard_contacts,1.4815,1.59725,0.11575000000000002,0.0,0.0,0.0,3.3420663892268805,3.522150257655116,0.03371191789411876,0.017625000000000002,0.16458642420249414,0.16225,0.047254934585924564,0.9786250000000001
1002,path_length,6.393750656588003,6.150271526054246,-0.24347913053375692,6.501625299453735,6.285128355026245,-0.21649694442749023,2.5098788905344,2.2502309039430144,-0.10214156223513453,0.06800000000000006,1.5857614931892373e-16,0.2670159553934354,0.11201546007579155,0.91725
1002,displacement,1.104878716280451,1.0772957778446726,-0.027582938435778415,1.1917153000831604,1.1362059712409973,-0.055509328842163086,0.5413259853008786,0.5616770780950286,-0.05000261900969189,0.03862500000000002,1.2736536842194818e-05,0.03631451879563974,0.06583131279092909,0.94825
