feature,baseline_mean_across_seeds,contribution_mean_across_seeds,mean_difference_contribution_minus_baseline,mean_cohens_d,mean_absolute_cohens_d,mean_ks_statistic,mean_wasserstein_over_pooled_std,mean_histogram_overlap
fitness,5.877873749999987,5.63813804999999,-0.23973569999999816,-0.05004517238367061,0.07762434057222001,0.057499999999999996,0.09622687009187457,0.92995
steps,190.255625,187.46585,-2.7897749999999917,-0.06307059353687476,0.08638448323445527,0.055575,0.1014987043005735,0.920125
food_collected,1.1646500000000002,1.095175,-0.069475,-0.061012623380492584,0.07939253868292187,0.048475000000000004,0.09998908351151835,0.94755
wall_collisions,26.5627,29.737000000000002,3.174299999999999,0.10059658880102955,0.10597720620414268,0.0985,0.12227941234523573,0.8937000000000002
hazard_contacts,1.58685,1.29375,-0.2931,-0.09436083551380939,0.10688923111279598,0.04337499999999998,0.10910248061045677,0.9571
path_length,5.966997592742294,6.052443500217338,0.08544590747504426,0.03468591960523908,0.06949464059873556,0.043625000000000025,0.0895059231528803,0.9431499999999999
displacement,1.100220162367884,1.0942418759410715,-0.0059782864268123955,-0.01156128227026789,0.048492701462495624,0.042625,0.06618596107092355,0.9406000000000001
loop_score,5.909717632642258,5.266023181360928,-0.6436944512813305,-0.19153838845909812,0.20528503419922844,0.12567500000000004,0.2424899128921479,0.86295
bbox_area,1.4369771005864052,1.5296069498635976,0.0926298492771922,0.0729332264321991,0.14853985824700341,0.07507500000000004,0.14942551092102055,0.9125
