evaluation,event,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs,geodesic_graph_support_points,geodesic_graph_visited_points,geodesic_graph_reservoir_points,geodesic_graph_rolling_buffer_points,geodesic_graph_centroids,geodesic_graph_k,geodesic_graph_refresh_count,geodesic_graph_finite_centroid_fraction,geodesic_graph_connected_components,geodesic_graph_largest_component_fraction,geodesic_graph_penalized_centroid_distances,geodesic_graph_penalty_distance,geodesic_graph_reservoir_strategy,geodesic_graph_reservoir_seed
80,bootstrap,17,0.17,152.75799999999987,67.75799999999988,-5.0,9.752999999999963,3.985764705882346,0.6152244606891369,1.687585360729589,1.687585360729589,16,1.0,0,180,80,80,80,100,20,2,0.8942222222222223,1,1.0,1904,14.82353353662931,rolling_recent_buffer,1001
100,log,17,0.17,173.84799999999984,88.84799999999984,-5.0,18.019999999999964,5.2263529411764615,0.6152244606891369,1.7068406123607258,1.7068406123607258,16,1.0,0,200,100,100,100,100,20,3,0.8978,1,1.0,2044,14.850022788119716,rolling_recent_buffer,1001
150,log,19,0.19,236.65999999999977,141.65999999999974,-5.0,18.019999999999964,7.455789473684197,0.6393768004764144,nan,nan,20,nan,-1,250,150,150,150,100,20,4,0.97224,1,1.0,694,12.710863672525132,rolling_recent_buffer,1001
160,retrain,28,0.28,324.5199999999997,184.5199999999997,-5.0,18.019999999999964,6.589999999999989,0.7235790156711095,1.4873021557307387,1.4878311913088589,20,1.0,0,260,160,160,160,100,20,2,0.9862307692307692,1,1.0,358,15.083669422047953,rolling_recent_buffer,1001
200,log,29,0.29,335.7469999999997,190.74699999999962,-5.0,18.019999999999964,6.577482758620676,0.731198998949478,1.5326350726456328,1.533568180163037,20,1.0,0,300,200,200,200,100,20,3,0.9867333333333334,1,1.0,398,14.877512525571502,rolling_recent_buffer,1001
250,log,29,0.29,343.14699999999965,198.1469999999996,-5.0,18.019999999999964,6.832655172413779,0.731198998949478,nan,nan,20,nan,-1,350,250,250,250,100,20,4,0.9872,1,1.0,448,14.984357757891429,rolling_recent_buffer,1001
300,log,29,0.29,364.7789999999996,219.77899999999954,-5.0,18.019999999999964,7.578586206896536,0.731198998949478,1.5565594777759815,1.5569921245858735,20,1.0,0,400,300,300,300,100,20,5,0.98755,1,1.0,498,15.19750890669166,rolling_recent_buffer,1001
