evaluation,source,fitness,final_x,final_y,latent_0,latent_1,cell_x,cell_y,inserted,replaced,latent_clipped,steps,food_collected,wall_collisions,hazard_contacts,path_length,displacement,loop_score,bbox_area,is_loop,is_near_still,assignment_geodesic_distance
1,bootstrap_random,1.296000000000001,-0.7366221521429015,-0.7745289859653901,0.10555806010961533,0.08549855649471283,7,5,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,0.21784416965332104
2,bootstrap_random,1.296000000000001,-0.7476952626386072,-0.7574704183468783,0.09035107493400574,0.059809282422065735,7,5,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,0.24582566322727256
3,bootstrap_random,1.296000000000001,-0.7414914397462251,-0.7512220741740686,0.09204865992069244,0.0457756370306015,7,5,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,0.2540851324165342
4,bootstrap_random,1.1180000000000012,-0.5901489265315415,-0.9749479568338406,0.157931387424469,0.24069587886333466,7,5,False,False,False,161,0,10,0,0.3020020127296448,0.27411705255508423,0.3769050545449546,0.03523670509457588,False,False,0.12400632858937412
5,bootstrap_random,1.4140000000000013,-0.08242976145125747,-0.9308820098146425,0.46966803073883057,0.8332453370094299,7,6,False,False,False,158,0,6,0,1.1141804456710815,0.6626868844032288,4.925035397902201,0.15332767367362976,True,False,0.2448958218058678
6,bootstrap_random,1.296000000000001,-0.7258702617356024,-0.7476926974529556,0.10333067178726196,0.04417255520820618,7,5,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,0.2506264037556421
7,bootstrap_random,9.556999999999936,-0.09650427414500747,-0.0965733248525049,-1.3010265827178955,0.05776289105415344,4,5,False,False,False,244,2,4,4,4.4141716957092285,0.9238111972808838,3.163156227281285,1.4722790718078613,True,False,0.1628362523617401
8,bootstrap_random,-2.7980000000000014,-0.9738366962589879,-0.9746263609199864,0.1493876576423645,0.13714732229709625,7,5,False,False,False,159,0,124,0,0.5331979990005493,0.3027653694152832,0.5126689523502703,0.06363722681999207,False,False,0.15248908235540226
9,bootstrap_random,1.378000000000001,-0.8307817950053722,-0.696888059859084,0.05516209080815315,0.016644731163978577,7,5,False,False,False,161,0,0,0,0.1395159661769867,0.10739871859550476,0.37031976560218216,0.00604445394128561,False,False,0.3007240315530401
10,bootstrap_random,1.5410000000000004,-0.8794298551879068,-0.3432806065271423,-0.3132057785987854,-0.07960083335638046,6,4,False,False,False,152,0,19,0,2.6867501735687256,0.43824464082717896,1.5676284388437716,0.28698331117630005,True,False,0.1835026105838204
