cell_x,cell_y,fitness,descriptor_x,descriptor_y,centroid_x,centroid_y,novelty_score,steps,food_collected,wall_collisions,hazard_contacts
1,4,-2.3489999999999993,-2.988788366317749,0.2299414873123169,-2.558647235631943,0.1931706309318543,1.05,152,0,125,0
2,4,-2.854000000000002,-2.247821569442749,0.11914320290088654,-1.9796270191669463,0.1931706309318543,0.7107637708189213,152,0,133,0
2,5,0.27199999999999935,-1.7697906494140625,0.5083224177360535,-1.9796270191669463,0.6087750554084778,0.7927837555030102,144,0,74,0
3,3,5.845999999999998,-1.3727612495422363,-0.05389859154820442,-1.4006068027019503,-0.2224337935447692,0.6902797654799316,192,1,2,0
3,4,10.083999999999977,-1.1668119430541992,0.11539570987224579,-1.4006068027019503,0.1931706309318543,0.6140507250193536,213,2,12,8
3,5,9.34699999999997,-1.436417579650879,0.6672635674476624,-1.4006068027019503,0.6087750554084778,0.6644671710137958,229,2,18,0
4,2,-2.7960000000000016,-0.5359207987785339,-0.5299654006958008,-0.8215865862369538,-0.6380382180213928,0.7113379504362065,158,0,125,0
4,3,8.440999999999976,-0.5658021569252014,-0.3632872700691223,-0.8215865862369538,-0.2224337935447692,0.592003243288477,217,2,15,0
4,4,10.20799999999999,-0.8410772681236267,0.34212085604667664,-0.8215865862369538,0.1931706309318543,0.592693541134193,246,2,8,0
4,5,7.872999999999997,-0.6010059118270874,0.5221863389015198,-0.8215865862369538,0.6087750554084778,0.6532157840234278,221,2,18,0
4,6,6.809999999999999,-0.6412580609321594,1.0786691904067993,-0.8215865862369538,1.0243794798851016,0.759361841942012,190,1,4,0
5,2,7.914999999999996,-0.30745306611061096,-0.4842342138290405,-0.2425663697719574,-0.6380382180213928,0.6530988115815329,215,2,18,0
5,3,8.207999999999995,-0.33300507068634033,-0.23023107647895813,-0.2425663697719574,-0.2224337935447692,0.5925954807191202,216,2,15,0
5,4,10.152999999999968,-0.452348530292511,0.32289740443229675,-0.2425663697719574,0.1931706309318543,0.5950562226340139,246,2,7,0
5,5,14.032999999999937,-0.3616516590118408,0.8667084574699402,-0.2425663697719574,0.6087750554084778,0.6006338799765683,276,3,18,9
5,6,8.635999999999987,0.01247156597673893,0.8338850736618042,-0.2425663697719574,1.0243794798851016,0.6599641531514243,227,2,19,4
6,1,1.6030000000000009,0.4219624400138855,-0.8823641538619995,0.3364538466930386,-1.0536426424980163,0.9016635520978391,156,0,4,0
6,2,6.9430000000000005,0.5765770077705383,-0.4489557147026062,0.3364538466930386,-0.6380382180213928,0.6520302988067582,251,2,0,0
6,3,7.236000000000001,0.14578108489513397,-0.23330241441726685,0.3364538466930386,-0.2224337935447692,0.6208943288607575,247,2,1,0
6,4,9.574999999999966,0.271919846534729,0.017053836956620216,0.3364538466930386,0.1931706309318543,0.597284024870223,280,3,0,0
6,5,10.142999999999951,0.31977036595344543,0.7995021939277649,0.3364538466930386,0.6087750554084778,0.5996030021774199,231,2,6,0
6,6,9.036999999999967,0.43480902910232544,1.0376116037368774,0.3364538466930386,1.0243794798851016,0.60650119174467,234,2,49,0
6,7,2.498999999999999,0.15508201718330383,1.6092606782913208,0.3364538466930386,1.4399839043617249,0.6826420315937125,138,0,27,0
7,4,5.570999999999998,0.7294231057167053,0.10377608239650726,0.9154740631580356,0.1931706309318543,0.7417135415363554,182,1,14,0
7,5,13.975000000000007,0.7579173445701599,0.7087152004241943,0.9154740631580356,0.6087750554084778,0.6504749643777171,265,3,57,3
7,6,18.019999999999964,1.1760945320129395,0.9579654932022095,0.9154740631580356,1.0243794798851016,0.6036575368362324,280,4,7,0
7,7,16.66499999999994,0.8199533820152283,1.2962929010391235,0.9154740631580356,1.4399839043617249,0.6218892218398607,280,4,11,1
7,8,3.6449999999999982,0.7250574827194214,1.7614351511001587,0.9154740631580356,1.8555883288383486,0.8608208026118477,175,1,73,3
8,6,15.039999999999978,1.6949243545532227,1.136128544807434,1.4944942796230316,1.0243794798851016,0.8845214643226949,280,3,15,3
