snapshot_evaluation,encoder_space,k,support_point_count,rolling_buffer_points,centroid_points,component_count,largest_component_fraction,support_finite_pair_fraction,support_mean_euclidean,support_mean_geodesic,support_geodesic_to_euclidean_ratio,rolling_finite_pair_fraction,rolling_geodesic_to_euclidean_ratio,centroid_finite_pair_fraction,centroid_geodesic_to_euclidean_ratio
2000,pre_retrain_encoder,3,1625,1000,625,29,0.913,0.3591193633952255,5.488707565400231,9.368293565458899,1.7068305158968278,0.8339339339339339,1.7318542136207138,0.010405128205128206,1.6934549044023035
2000,pre_retrain_encoder,5,1625,1000,625,13,0.949,0.4149511178476696,6.8022558574448855,8.17976977549352,1.2025083952908038,0.9011591591591591,1.1841259097822074,0.027261538461538462,1.3621819693959434
2000,pre_retrain_encoder,10,1625,1000,625,4,0.99,0.5150837438423645,11.183588572841352,12.520114654541224,1.1195078013640043,0.9801341341341341,1.0874606642321631,0.08042051282051282,1.2185756624720445
2000,pre_retrain_encoder,20,1625,1000,625,3,0.997,0.5902569154982948,13.508163300703307,14.352982223109297,1.0625413613679073,0.994008008008008,1.030300506597436,0.16415897435897436,1.1288746783328407
2000,pre_retrain_encoder,30,1625,1000,625,2,0.999,0.6714801061007958,15.83868193488436,16.76714133659259,1.058619739036701,0.998,1.013375803368536,0.2861897435897436,1.1510982206630784
10000,final_one_retrain_encoder,3,1625,1000,625,38,0.727,0.24802879878741949,9.29427120001414,15.889461715996164,1.7095973825222563,0.5394594594594595,1.7155821673782574,0.01581025641025641,1.693604227496682
10000,final_one_retrain_encoder,5,1625,1000,625,10,0.951,0.46825312618416065,12.299610758723087,16.060946961425426,1.3058093688074426,0.9047507507507507,1.2974901658908247,0.0674923076923077,1.3747298514845196
10000,final_one_retrain_encoder,10,1625,1000,625,3,0.987,0.5514217506631299,13.760282718264966,15.209265259996906,1.1053018002172736,0.9742882882882883,1.095619867174809,0.12511282051282052,1.14931360691128
10000,final_one_retrain_encoder,20,1625,1000,625,2,0.999,0.6549162561576355,16.448206686166742,17.043031283787705,1.0361634924080338,0.998,1.0261241627654145,0.2561897435897436,1.0722564520591333
10000,final_one_retrain_encoder,30,1625,1000,625,2,0.999,0.6996672982190224,17.388715218205864,17.84452476724908,1.026212951521915,0.998,1.0119694200482652,0.33353846153846156,1.0678948224441798
20000,final_one_retrain_encoder,3,1625,1000,625,44,0.663,0.22012125805229255,10.736677867138132,20.683679455695863,1.926450594089502,0.44916116116116117,1.9695250481331694,0.02289230769230769,1.7548371197836807
20000,final_one_retrain_encoder,5,1625,1000,625,17,0.924,0.452101553618795,13.597390586039198,17.338358700417796,1.2751239725524652,0.8553113113113113,1.277829173491249,0.07425128205128205,1.2742378465013373
20000,final_one_retrain_encoder,10,1625,1000,625,3,0.998,0.6360356195528609,17.679597584393605,19.45883591122211,1.1006379425965611,0.996002002002002,1.0801227894176921,0.22729230769230768,1.1744836463762627
20000,final_one_retrain_encoder,20,1625,1000,625,2,0.999,0.7212519893899204,19.484600862331614,20.3231715452256,1.0430376115384095,0.998,1.0222785545394715,0.37206153846153844,1.1030394035266726
20000,final_one_retrain_encoder,30,1625,1000,625,1,1.0,0.8005539977264116,21.151769541236312,21.960666534268327,1.038242521102314,1.0,1.0116677118210926,0.5273384615384615,1.0966351666041263
