rank_within_seed,seed,evaluation,fitness,latent_0,latent_1,euclidean_cell,geodesic_cell,euclidean_centroid_index,geodesic_centroid_index,euclidean_distance_to_euclidean_choice,euclidean_distance_to_geodesic_choice,geodesic_distance_to_geodesic_choice,geodesic_distance_to_euclidean_choice,geodesic_gap_euclidean_choice_minus_geodesic_choice,geodesic_blowup_ratio_euclidean_choice_over_geodesic_choice,centroid_cell_displacement,actual_run_inserted,actual_run_replaced,final_euclidean_cell_occupied,final_euclidean_cell_fitness,candidate_minus_final_euclidean_cell_fitness,final_geodesic_cell_occupied,final_geodesic_cell_fitness,candidate_minus_final_geodesic_cell_fitness,global_rank
1,1003,12598,22.949999999999992,0.7394869923591614,-25.696067810058594,"(11,4)","(10,6)",279,256,1.513832878333747,4.895285786671053,5.15730943472243,167.78088814604257,162.62357871132014,32.532639406204765,2.23606797749979,True,False,False,nan,nan,True,26.389999999999958,-3.4399999999999658,1
2,1003,17983,30.779999999999895,-13.555269241333008,-23.627544403076172,"(5,5)","(7,6)",130,181,0.8813163868702376,4.581929613087624,5.493689896938098,167.77046026187384,162.27677036493574,30.53875690278414,2.23606797749979,True,True,True,30.294999999999877,0.4850000000000172,True,30.779999999999895,0.0,2
3,1003,11632,15.828000000000017,4.7347493171691895,-20.751293182373047,"(13,6)","(12,8)",331,308,1.2255043080718944,4.579648284195665,5.626428491420471,167.86577054982718,162.2393420584067,29.835226877192053,2.23606797749979,False,False,True,16.10200000000001,-0.2739999999999938,True,22.109999999999992,-6.281999999999975,3
1,1001,10501,20.348,-6.927069187164307,-22.35885238647461,"(10,5)","(12,7)",255,307,0.7621691583683567,5.109541359903171,5.336054578739512,135.13273269031023,129.7966781115707,25.3244659881705,2.8284271247461903,True,False,True,22.44499999999994,-2.096999999999941,True,20.799999999999986,-0.4519999999999875,4
4,1003,6534,29.294999999999973,-7.628303050994873,-26.19779396057129,"(8,4)","(6,5)",204,155,0.9776144844205821,4.327938657483643,6.907124697500868,168.42450322951098,161.5173785320101,24.384170057107877,2.23606797749979,False,False,True,30.62499999999994,-1.3299999999999663,True,32.96499999999989,-3.6699999999999164,5
5,1003,6355,26.184999999999974,-7.680899620056152,-26.434120178222656,"(8,4)","(6,5)",204,155,0.8528880837506285,4.3818903190398215,6.964381239388134,168.48175977139823,161.5173785320101,24.191920858456687,2.23606797749979,False,False,True,30.62499999999994,-4.439999999999966,True,32.96499999999989,-6.779999999999916,6
2,1001,7212,3.471999999999998,-3.817187547683716,-28.78978729248047,"(12,2)","(12,5)",302,305,0.938886688280074,5.757522765616583,5.853207462503463,135.32766059634648,129.474453133843,23.120256963942598,3.0,False,False,True,16.67499999999998,-13.202999999999982,True,15.656000000000018,-12.18400000000002,7
3,1001,11657,6.6649999999999965,1.1163787841796875,-26.742141723632812,"(15,3)","(12,4)",378,304,0.7450670663151193,4.765421739988545,5.884291544603242,135.41762561639845,129.53333407179522,23.013411995297254,3.1622776601683795,True,False,True,6.020999999999997,0.6439999999999992,True,6.6649999999999965,0.0,8
4,1001,14799,25.064999999999937,-18.618701934814453,-26.456844329833984,"(2,3)","(4,5)",53,105,1.2349615144649648,4.194702792981065,6.0166262257534875,135.4070152192361,129.3903889934826,22.505472359183905,2.8284271247461903,True,False,True,23.774999999999956,1.2899999999999814,True,25.62999999999994,-0.5650000000000013,9
5,1001,18296,27.569999999999922,-19.433061599731445,-22.5352725982666,"(2,5)","(5,5)",55,130,0.515742713129749,4.880255093407344,6.498713784894045,135.67102602170615,129.1723122368121,20.87659658701497,3.0,True,True,True,28.344999999999942,-0.7750000000000199,True,27.569999999999922,0.0,10
6,1003,11755,23.43999999999997,-7.044179439544678,-27.332096099853516,"(8,4)","(9,7)",204,232,0.389712397155747,8.222170958295866,8.258235009426995,170.89705886463565,162.63882385520867,20.694138477477587,3.1622776601683795,False,False,True,30.62499999999994,-7.18499999999997,True,30.664999999999992,-7.225000000000023,11
6,1001,10006,18.53499999999995,-8.378617286682129,-29.906349182128906,"(9,2)","(10,5)",227,255,0.3280245573075075,7.086497376703575,7.119215770167424,136.83376840665488,129.71455263648747,19.220342917551008,3.1622776601683795,False,False,True,20.97499999999995,-2.4400000000000013,True,22.44499999999994,-3.9099999999999895,12
