seed,window_start,window_end,window_midpoint,candidate_count,disagreement_count,disagreement_rate,mean_latent_0,mean_latent_1,mean_blowup_ratio_disagreements,mean_geodesic_gap_disagreements
1001,1,1000,500.5,1000,63,0.063,2.733556356012821,-4.565419533737003,1.2566435041263788,0.41347089249818103
1001,1001,2000,1500.5,1000,59,0.059,2.8950093944743274,-4.524128777079285,1.20055445553406,0.29739666589615377
1001,2001,3000,2500.5,1000,102,0.102,-0.7080008358806371,0.4809447675123811,1.23203104330047,0.3656068142909517
1001,3001,4000,3500.5,1000,107,0.107,-1.6594618756473065,0.711011587638408,1.26544956828502,0.5156775574705925
1001,4001,5000,4500.5,1000,125,0.125,-1.3899739591218532,0.27486031629145147,1.2777828544641456,0.45908423638338736
1001,5001,6000,5500.5,1000,105,0.105,-1.7356739635877312,0.3161290193796158,1.2589369884697792,0.4519415161325925
1001,6001,7000,6500.5,1000,118,0.118,-1.5371691864207386,0.27316357985138895,1.2889115253881966,0.4912665683303149
1001,7001,8000,7500.5,1000,104,0.104,-1.4049480852633716,0.35428719490766525,1.420753847194151,1.5986360325949247
1001,8001,9000,8500.5,1000,120,0.12,-1.4341661541499198,0.2621220947653055,1.2626822849372479,0.43433561893970196
1001,9001,10000,9500.5,1000,8,0.008,-1.572528750821948,0.32298705986142157,1.065191315179763,0.0839963148908904
1001,10001,11000,10500.5,1000,161,0.161,-0.9221659225746989,-0.3556474077105522,1.559493808392175,2.153808489050642
1001,11001,12000,11500.5,1000,141,0.141,-1.2239109104685486,-0.174621680252254,1.452710001834648,1.4824967116361505
1001,12001,13000,12500.5,1000,164,0.164,-1.0914314095452429,-0.4831452488675714,1.2986961175777587,0.5608201781970105
1001,13001,14000,13500.5,1000,153,0.153,-1.151451887257397,-0.542525698877871,1.2896940596541902,0.5307048430932417
1001,14001,15000,14500.5,1000,149,0.149,-1.126920705780387,-0.8523147117123008,1.3962103146174718,1.3274409784751624
1001,15001,16000,15500.5,1000,182,0.182,-0.8527392642460764,-0.4671526328548789,1.300550722354183,0.49604339518491675
1001,16001,17000,16500.5,1000,156,0.156,-0.9896183320842683,-0.8308341726660728,1.3329795979591808,0.5998372160520486
1001,17001,18000,17500.5,1000,183,0.183,-1.1051443134695291,-0.9509945438727736,1.2950185780720886,0.550772871329019
1001,18001,19000,18500.5,1000,165,0.165,-0.9444521492160857,-0.614079328238964,1.3858719159384205,1.2498307753339666
1001,19001,20000,19500.5,1000,183,0.183,-1.1492547219544649,-1.1169718336462975,1.3212832358300601,0.5867501770475931
1002,1,1000,500.5,1000,31,0.031,6.939577897585928,-3.1395850364416837,1.194116501740068,0.4643096421636837
1002,1001,2000,1500.5,1000,30,0.03,7.079816659025848,-2.9929042045772074,1.2628693788906138,0.6027602622740482
1002,2001,3000,2500.5,1000,103,0.103,0.7588122566044331,-1.9839611695483328,1.2656100011838092,0.7165400586004014
1002,3001,4000,3500.5,1000,109,0.109,-0.6995167681649327,-1.2845282877534627,1.2705801295127737,0.6819067671048037
1002,4001,5000,4500.5,1000,119,0.119,-1.4553013267070054,-1.7570979095101356,1.3370224783893963,0.9425226226535658
1002,5001,6000,5500.5,1000,96,0.096,-1.5370430184528232,-1.0400043025761843,1.2773769382803581,0.7723032409244648
1002,6001,7000,6500.5,1000,113,0.113,-2.3498277957588436,-1.035926109701395,1.257500738053111,0.7299111105861533
1002,7001,8000,7500.5,1000,128,0.128,-2.8289119820296764,-0.4107442968040705,1.292702941082439,0.7862464162118323
1002,8001,9000,8500.5,1000,123,0.123,-3.6447425382062795,-0.6831204249486327,1.3311715964277755,0.9174340194075092
1002,9001,10000,9500.5,1000,4,0.004,-3.513180749081075,-0.17910072096437216,1.0415361880657268,0.09032759506266902
1002,10001,11000,10500.5,1000,152,0.152,-4.564519107930362,-1.9180630967915058,1.3308672697226687,0.9460833278667407
1002,11001,12000,11500.5,1000,138,0.138,-5.154267052322626,-2.9518093546181916,1.2759269820426444,0.7275433529126586
1002,12001,13000,12500.5,1000,128,0.128,-4.306164588145911,-2.728745580561459,1.2363545186047853,0.6164402800991304
1002,13001,14000,13500.5,1000,130,0.13,-5.042516252696514,-2.4100676745325327,1.276107760156033,0.7316849200568575
1002,14001,15000,14500.5,1000,116,0.116,-4.968817950583994,-2.4550071418955923,1.2657265067100747,0.7007408336970913
1002,15001,16000,15500.5,1000,106,0.106,-4.691976944774389,-1.8337052711248398,1.2326702279723463,0.6111160848465944
1002,16001,17000,16500.5,1000,105,0.105,-5.005554638378322,-2.040056920722127,1.2663088128686253,0.6510067888624549
1002,17001,18000,17500.5,1000,118,0.118,-5.116592120505869,-2.3727032850310206,1.3229795028038687,0.8725370370460651
1002,18001,19000,18500.5,1000,117,0.117,-4.573318658806383,-2.6306232862919567,1.2497488902125125,0.6195514931316718
1002,19001,20000,19500.5,1000,115,0.115,-4.893232495941222,-2.37496450227499,1.312527922784084,0.8232347291046914
1003,1,1000,500.5,1000,21,0.021,-0.8014262473732233,5.79193704944104,1.1547065116181645,0.2989601794752561
1003,1001,2000,1500.5,1000,29,0.029,-0.7375455285459757,5.727309525735676,1.1901869696750516,0.3211238889960844
1003,2001,3000,2500.5,1000,126,0.126,1.4548041382879018,0.7455709448978305,1.2381287037980842,0.4719930148902916
1003,3001,4000,3500.5,1000,113,0.113,0.9655871917158365,0.06596491077542305,1.424679429978733,1.97762363922328
1003,4001,5000,4500.5,1000,102,0.102,1.5270030627772213,0.34025966553390025,1.2614988667435307,0.5902352432948426
1003,5001,6000,5500.5,1000,150,0.15,1.937890458203852,0.1545515045300126,1.2313091726726821,0.45460412846629367
1003,6001,7000,6500.5,1000,105,0.105,1.3882966646179558,-0.1011078848876059,1.683726109105852,3.582716492701481
1003,7001,8000,7500.5,1000,96,0.096,1.2373822995945811,-0.5858403970561922,1.2652876455963082,0.5706333774508988
1003,8001,9000,8500.5,1000,138,0.138,1.6234753301218152,-0.26749293877184394,1.2400643557710822,0.5347969859124707
1003,9001,10000,9500.5,1000,7,0.007,1.6195954800471664,-0.019863921374082567,1.0216993443692837,0.030246609244504556
1003,10001,11000,10500.5,1000,145,0.145,3.11569694596529,0.45226880418509247,1.2603429317531427,0.5480886248127314
1003,11001,12000,11500.5,1000,131,0.131,2.8608513148128987,0.2243313703238964,1.755780012979339,4.28590360621589
1003,12001,13000,12500.5,1000,134,0.134,2.848892193518579,0.4915741778537631,1.5227835805271488,1.8072110114414177
1003,13001,14000,13500.5,1000,130,0.13,3.3480190468132496,0.36417892525345086,1.2743328803764076,0.5851147108831212
1003,14001,15000,14500.5,1000,114,0.114,2.6846652100235224,0.12024920705705881,1.2241672418163116,0.47558107603237976
1003,15001,16000,15500.5,1000,111,0.111,2.4103225010335447,-0.07340669135004282,1.2773224513856263,0.5736522609887188
