scope,blowup_ratio_bin,lower_inclusive,upper_exclusive,count,fraction_of_scope,mean_fitness,median_fitness,std_fitness,inserted_count,inserted_rate,replaced_count,replaced_rate
all_disagreements,"[1.00,1.25)",1.0,1.25,3988,0.5875073659398939,9.973486710130373,8.306999999999995,7.717603099848794,372,0.09327983951855567,281,0.07046138415245737
all_disagreements,"[1.25,1.50)",1.25,1.5,1537,0.2264289923394225,12.525025374105377,11.552999999999983,8.589888266047675,194,0.1262199089134678,134,0.08718282368249837
all_disagreements,"[1.50,2.00)",1.5,2.0,1125,0.16573364761343548,13.271534222222199,12.426999999999973,9.259471438106326,184,0.16355555555555557,127,0.11288888888888889
all_disagreements,"[2.00,5.00)",2.0,5.0,124,0.018267530936947555,13.367508064516105,11.989499999999989,9.412761314781106,26,0.20967741935483872,17,0.13709677419354838
all_disagreements,"[5.00,inf)",5.0,inf,14,0.0020624631703005302,22.161999999999967,24.252499999999955,8.576607747911646,8,0.5714285714285714,4,0.2857142857142857
post_retrain_disagreements,"[1.00,1.25)",1.0,1.25,2371,0.573536526366715,10.934860396457172,9.22799999999998,7.898689165263276,180,0.07591733445803459,134,0.05651623787431464
post_retrain_disagreements,"[1.25,1.50)",1.25,1.5,945,0.22859216255442671,13.476675132275108,13.337999999999921,8.672465353917516,107,0.11322751322751323,78,0.08253968253968254
post_retrain_disagreements,"[1.50,2.00)",1.5,2.0,731,0.1768263183357523,14.612402188782465,15.749999999999957,9.113893914491083,125,0.17099863201094392,86,0.11764705882352941
post_retrain_disagreements,"[2.00,5.00)",2.0,5.0,77,0.018626028059990325,15.509688311688286,17.141999999999967,9.285064726781343,18,0.23376623376623376,12,0.15584415584415584
post_retrain_disagreements,"[5.00,inf)",5.0,inf,10,0.0024189646831156266,21.984099999999962,23.19499999999998,7.093250586140135,7,0.7,3,0.3
