evaluation,event,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
2000,bootstrap,118,0.1888,1307.6549999999984,717.6549999999986,-5.0,20.339999999999943,6.081822033898293,0.7410482547367301,22.24638686345902,24.851377166608142,5,1.0,0
2100,log,127,0.2032,1466.683999999998,831.6839999999984,-5.0,26.344999999999867,6.548692913385814,0.7524656665898164,nan,nan,5,nan,-1
2200,log,131,0.2096,1545.417999999998,890.4179999999981,-5.0,26.344999999999867,6.797083969465634,0.7572826024440955,nan,nan,5,nan,-1
2300,log,134,0.2144,1638.987999999998,968.9879999999976,-5.0,26.344999999999867,7.231253731343266,0.7607997428964904,nan,nan,5,nan,-1
2400,log,141,0.2256,1782.7779999999975,1077.777999999997,-5.0,26.344999999999867,7.643815602836859,0.7687093506598378,nan,nan,5,nan,-1
2500,log,145,0.232,1868.466999999997,1143.466999999997,-5.0,26.344999999999867,7.885979310344807,0.7730546335418749,nan,nan,5,nan,-1
2600,log,149,0.2384,1951.6339999999968,1206.6339999999968,-5.0,26.344999999999867,8.09821476510065,0.7772816626361083,nan,nan,5,nan,-1
2700,log,151,0.2416,2008.3699999999967,1253.3699999999967,-5.0,26.344999999999867,8.300463576158918,0.7793528097686653,nan,nan,5,nan,-1
2800,log,152,0.2432,2045.3869999999965,1285.3869999999965,-5.0,26.344999999999867,8.456493421052608,0.7803781186638324,nan,nan,5,nan,-1
2900,log,153,0.2448,2069.3769999999968,1304.3769999999963,-5.0,26.344999999999867,8.525339869281021,0.7813967041736396,nan,nan,5,nan,-1
3000,log,154,0.2464,2089.9819999999963,1319.9819999999963,-5.0,26.344999999999867,8.571311688311665,0.7824086539001348,24.335779674560275,27.01113754586633,5,1.0,0
3100,log,156,0.2496,2147.5429999999965,1367.542999999996,-5.0,26.344999999999867,8.766301282051257,0.7844129879499635,nan,nan,5,nan,-1
3200,log,159,0.2544,2208.332999999996,1413.3329999999962,-5.0,26.344999999999867,8.888886792452807,0.7873718151938622,nan,nan,5,nan,-1
3300,log,164,0.2624,2336.7099999999955,1516.7099999999955,-5.0,26.344999999999867,9.248231707317046,0.7921812932987274,nan,nan,5,nan,-1
3400,log,166,0.2656,2392.5209999999956,1562.5209999999956,-5.0,26.344999999999867,9.412777108433708,0.794064149487012,nan,nan,5,nan,-1
3500,log,171,0.2736,2522.9559999999956,1667.9559999999954,-5.0,26.344999999999867,9.754128654970733,0.7986737973517803,nan,nan,5,nan,-1
3600,log,173,0.2768,2567.4439999999954,1702.4439999999954,-5.0,26.344999999999867,9.840716763005753,0.8004800239084688,nan,nan,5,nan,-1
