evaluation,latent_0,latent_1,fitness,max_replay_error,respawn_timing,checkpoint_sha256
101,4.917993068695068,-7.044739723205566,1.778000000000001,0.0,historical_pre_audit,9504cfb85351da0b288185666a7293b6a5c4a1a7600202a8204d5c05ca8e5f94
3324,3.3319907188415527,-4.189203262329102,1.778000000000001,0.0,historical_pre_audit,9504cfb85351da0b288185666a7293b6a5c4a1a7600202a8204d5c05ca8e5f94
5372,2.350050687789917,-3.296748638153076,2.3889999999999993,0.0,historical_pre_audit,9504cfb85351da0b288185666a7293b6a5c4a1a7600202a8204d5c05ca8e5f94
7190,8.434198379516602,-5.195498943328857,2.389,0.0,historical_pre_audit,9504cfb85351da0b288185666a7293b6a5c4a1a7600202a8204d5c05ca8e5f94
