k,point_count,total_pair_count,finite_pair_count,disconnected_pair_count,finite_pair_fraction,component_count,largest_component_fraction,mean_euclidean_all_pairs,mean_euclidean_finite_pairs,mean_knn_geodesic_finite_pairs,ratio_mean_geodesic_to_mean_euclidean,mean_per_pair_geodesic_to_euclidean_ratio,median_per_pair_geodesic_to_euclidean_ratio,p90_per_pair_geodesic_to_euclidean_ratio,p95_per_pair_geodesic_to_euclidean_ratio,max_per_pair_geodesic_to_euclidean_ratio
3,400,79800,79800,0,1.0,1,1.0,8.082929696355116,8.082929696355116,17.236309720601618,2.1324334576823167,2.1474208862619575,1.635920629629855,3.5376811185173898,4.629354801348268,55.344947258592356
5,400,79800,79800,0,1.0,1,1.0,8.082929696355116,8.082929696355116,9.617589246396449,1.1898642704678437,1.2098081188367216,1.1664102876790885,1.391788212164989,1.5144482588280472,4.280877807132134
10,400,79800,79800,0,1.0,1,1.0,8.082929696355116,8.082929696355116,8.614320583173448,1.0657423615917327,1.0717282467589055,1.0461963798130292,1.1504067555662802,1.2214628517509105,2.777013048982946
20,400,79800,79800,0,1.0,1,1.0,8.082929696355116,8.082929696355116,8.241870186112788,1.0196637228985603,1.019149158205388,1.0097435585817955,1.0412611521201809,1.0670715788792002,2.1389148765566115
30,400,79800,79800,0,1.0,1,1.0,8.082929696355116,8.082929696355116,8.158194369100459,1.0093115585032593,1.0086097449871918,1.0038061340462066,1.0191447046113922,1.031196480254731,1.526183809427273
