seed,evaluation,fitness,source,blowup_ratio,geodesic_cell_x,geodesic_cell_y,geodesic_cell_arrival_rank,geodesic_cell_first_evaluation,evaluations_since_first_geodesic_cell_arrival,actual_run_inserted,actual_run_replaced
1001,10503,6.242999999999992,mutated_elite,1.2279945322381352,20,13,5,10069,434,False,False
1001,10506,15.124999999999984,mutated_elite,1.4216786357278597,18,19,5,10028,478,False,False
1001,10513,11.108000000000002,mutated_elite,1.817946050456776,18,19,6,10028,485,False,False
1001,10520,18.294999999999938,mutated_elite,1.1462754949871434,12,16,5,10011,509,False,False
1001,10528,7.706999999999994,mutated_elite,1.1789707636818711,11,10,4,10110,418,False,False
1001,10530,12.720000000000006,mutated_elite,1.4880618727999835,19,18,1,10530,0,False,False
1001,10536,6.592999999999992,mutated_elite,1.0880584368630069,18,11,9,10062,474,False,False
1001,10538,12.41699999999997,mutated_elite,1.1327863953661945,16,6,8,10041,497,False,False
1001,10539,2.622999999999999,mutated_elite,1.0746452812512697,17,9,43,10014,525,False,False
1001,10560,2.361999999999998,mutated_elite,1.015512623270775,19,7,3,10155,405,False,False
1001,10561,7.167,mutated_elite,1.1123746509411572,17,7,7,10005,556,False,False
1001,10571,7.379999999999996,mutated_elite,1.0128329023055007,17,18,8,10022,549,False,False
1001,10584,9.46599999999994,mutated_elite,1.1291899130519958,13,4,2,10326,258,True,True
1001,10611,18.889999999999976,mutated_elite,1.1885431448449975,10,11,1,10611,0,True,False
1001,10625,0.9890000000000015,mutated_elite,1.0411162547143196,17,13,20,10021,604,False,False
1001,10636,10.405999999999999,mutated_elite,1.0268561184538123,20,12,3,10439,197,False,False
1001,10648,10.573999999999979,mutated_elite,1.121813054306326,16,12,11,10043,605,False,False
1001,10655,1.049000000000002,mutated_elite,1.3041093529895034,16,14,11,10018,637,False,False
1001,10658,10.82199999999998,mutated_elite,1.1140756577206943,18,17,2,10418,240,False,False
1001,10660,14.668999999999956,mutated_elite,1.3857425386509454,13,10,2,10316,344,True,True
1001,10670,16.004999999999892,mutated_elite,1.3056123997666387,13,14,1,10670,0,False,False
1001,10688,15.220999999999975,mutated_elite,1.3619256988572561,15,10,3,10292,396,False,False
1001,10692,2.748999999999999,mutated_elite,1.4442114916238245,18,13,18,10048,644,False,False
1001,10712,6.583999999999999,mutated_elite,1.3636007252986144,19,14,11,10013,699,False,False
1001,10716,14.639999999999933,mutated_elite,1.0927188333346203,14,6,2,10423,293,False,False
1001,10736,7.010999999999998,mutated_elite,1.1805468248586684,19,9,9,10054,682,False,False
1001,10746,12.375999999999907,mutated_elite,1.395526200261667,13,10,3,10316,430,False,False
1001,10751,20.594999999999946,mutated_elite,1.7897203631635228,9,11,1,10751,0,True,True
1001,10752,17.149999999999967,mutated_elite,1.2678441111024996,18,17,4,10418,334,True,True
1001,10759,17.244999999999933,mutated_elite,1.0509584286965987,10,10,3,10413,346,False,False
1001,10760,12.88699999999997,mutated_elite,1.6097271327338503,13,13,1,10760,0,False,False
1001,10764,3.335999999999998,mutated_elite,1.174505116809003,19,4,5,10354,410,False,False
1001,10773,18.474999999999948,mutated_elite,1.581039781635087,9,11,2,10751,22,False,False
1001,10781,-0.16600000000000004,mutated_elite,1.0123972140992614,17,16,12,10111,670,False,False
1001,10783,10.234999999999944,mutated_elite,1.074642625053544,12,7,2,10314,469,False,False
1001,10791,10.79999999999997,mutated_elite,1.3583563068096975,15,14,7,10046,745,False,False
1001,10802,2.4890000000000003,mutated_elite,1.0028536906778727,17,9,62,10014,788,False,False
1001,10804,-1.7369999999999979,mutated_elite,1.206147647606356,20,5,5,10348,456,False,False
1001,10805,2.473999999999985,mutated_elite,1.0024155018413854,17,16,14,10111,694,False,False
1001,10809,10.939999999999994,mutated_elite,1.0434419260553536,13,6,1,10809,0,False,False
1001,10815,7.390999999999998,mutated_elite,1.409131656872835,20,14,14,10006,809,False,False
1001,10818,3.005999999999997,mutated_elite,1.3816569687363078,18,13,23,10048,770,False,False
1001,10822,7.552999999999998,mutated_elite,1.0203497238655508,16,5,12,10027,795,False,False
1001,10823,8.319999999999995,mutated_elite,1.1264779580196507,16,5,13,10027,796,False,False
1001,10834,2.4519999999999964,mutated_elite,1.4482745847633747,19,4,6,10354,480,False,False
1001,10835,13.300999999999949,mutated_elite,1.0144030834741884,14,5,4,10090,745,False,False
1001,10849,11.524999999999999,mutated_elite,1.6901223628002362,13,11,1,10849,0,False,False
1001,10854,9.856000000000021,mutated_elite,1.26468464752991,11,10,9,10110,744,False,False
1001,10869,9.649999999999961,mutated_elite,1.3071893870251048,15,15,6,10001,868,False,False
1001,10874,3.457999999999997,mutated_elite,1.1507934887446654,18,13,24,10048,826,False,False
1001,10878,5.0659999999999945,mutated_elite,1.099272188902378,15,5,6,10040,838,False,False
1001,10880,1.6340000000000028,mutated_elite,1.1190385967148182,20,5,6,10348,532,False,False
1001,10900,17.324999999999942,mutated_elite,2.3192160589333204,12,15,6,10343,557,False,False
1001,10906,13.809999999999922,mutated_elite,1.1910160086342065,14,14,9,10083,823,False,False
1001,10907,5.585999999999997,mutated_elite,1.0197969797174586,18,8,22,10065,842,False,False
1001,10910,13.806999999999972,mutated_elite,1.1847622959823814,16,9,11,10131,779,False,False
1001,10913,2.7829999999999977,mutated_elite,1.198288144020157,18,10,19,10092,821,False,False
1001,10916,23.599999999999905,mutated_elite,1.350121195811817,12,15,7,10343,573,True,True
1001,10934,8.005000000000017,mutated_elite,1.005953518813459,16,9,12,10131,803,False,False
1001,10936,11.140999999999925,mutated_elite,1.9046568269135173,13,3,1,10936,0,True,False
1001,10945,10.688000000000008,mutated_elite,1.1888530323612776,16,9,13,10131,814,False,False
1001,10946,15.354999999999997,mutated_elite,1.0618276182705322,19,10,13,10064,882,False,False
1001,10947,9.375999999999978,mutated_elite,1.1371922911853691,11,10,12,10110,837,False,False
1001,10954,19.304999999999925,mutated_elite,1.6594921463471686,13,13,2,10760,194,False,False
1001,10957,13.160999999999959,mutated_elite,1.2274497291351012,19,11,13,10188,769,False,False
1001,10958,10.507999999999951,mutated_elite,1.3557906718546382,14,8,11,10057,901,False,False
1001,10963,15.9399999999999,mutated_elite,1.2923195163116787,11,16,3,10061,902,False,False
1001,10968,6.361999999999995,mutated_elite,1.0129140497090479,19,10,14,10064,904,False,False
1001,10972,2.639999999999999,mutated_elite,1.1282807200747929,17,13,30,10021,951,False,False
1001,10977,21.03999999999991,mutated_elite,1.0528178865959,10,17,1,10977,0,False,False
1001,10979,9.86999999999997,mutated_elite,1.030951544075624,14,8,12,10057,922,False,False
1001,10980,0.5919999999999994,mutated_elite,1.0206035893538086,18,8,24,10065,915,False,False
1001,10984,8.535999999999973,mutated_elite,1.8809375565256647,14,5,5,10090,894,False,False
1001,10985,1.9279999999999997,mutated_elite,1.1704886489673216,19,12,8,10132,853,False,False
1001,11001,6.961999999999994,mutated_elite,1.3222188158715447,20,13,10,10069,932,False,False
1001,11002,17.914999999999957,mutated_elite,1.3497954777395766,13,15,4,10024,978,False,False
1001,11004,6.745999999999996,mutated_elite,1.0486680544701688,18,8,26,10065,939,False,False
1001,11009,12.125999999999932,mutated_elite,1.0196788570590374,13,6,3,10809,200,False,False
1001,11017,14.112999999999952,mutated_elite,1.833030679901008,18,15,3,10471,546,True,True
1001,11026,5.181999999999998,mutated_elite,1.039911239050534,16,5,19,10027,999,False,False
1001,11050,2.7139999999999995,mutated_elite,1.003491242047775,19,6,21,10096,954,False,False
1001,11051,5.261999999999997,mutated_elite,1.0275313398638222,15,6,15,10007,1044,False,False
1001,11054,5.659999999999997,mutated_elite,1.0144224999306153,15,3,1,11054,0,True,False
1001,11065,11.365999999999982,mutated_elite,1.0295473725408049,19,10,16,10064,1001,False,False
1001,11073,5.0209999999999955,mutated_elite,1.680341255013039,15,3,2,11054,19,False,False
1001,11074,20.23999999999988,mutated_elite,1.1881050680792504,13,13,3,10760,314,False,False
1001,11079,11.308,mutated_elite,1.225913270108302,20,6,1,11079,0,True,False
1001,11082,13.419999999999929,mutated_elite,1.127583853770061,15,8,21,10016,1066,False,False
1001,11084,9.657999999999955,mutated_elite,1.0012298936315374,13,8,3,10042,1042,False,False
1001,11085,15.259999999999968,mutated_elite,1.6461697159458457,18,17,6,10418,667,False,False
