map,condition,label,seed_count,coverage_percent_mean,coverage_percent_std,qd_score_mean,qd_score_std,raw_qd_score_mean,raw_qd_score_std,max_fitness_mean,max_fitness_std,occupancy_entropy_mean,occupancy_entropy_std,mean_pairwise_descriptor_euclidean_mean,mean_pairwise_descriptor_euclidean_std,mean_pairwise_descriptor_knn_geodesic_mean,mean_pairwise_descriptor_knn_geodesic_std,elapsed_seconds_mean,elapsed_seconds_std,evaluations_per_second_mean,evaluations_per_second_std
horseshoe,baseline_a_handcrafted_map_elites,Baseline A: hand-crafted BD,5,98.24000000000001,0.0,15083.669999999966,1919.7094283319334,12013.669999999966,1919.7094283319323,31.40999999999991,4.052630318694326,0.9972417821383361,0.0,1.0454583372315893,0.0010526121926911199,1.0573237663610668,0.0009505709865055246,1070.5459100799999,25.709558179589706,18.69073533028409,0.4517199860020488
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,5,39.519999999999996,9.431860898041277,5175.16219999999,1232.512486748792,3940.16219999999,938.4967381358837,30.489999999999945,1.9113051823296068,0.8515323735327727,0.04265838501195699,20.308480639098082,4.991439174633844,20.484901636893134,5.024726984542253,1044.08193486,30.71435508917466,19.169319724519813,0.5836748519537585
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,5,31.392000000000003,2.252536348208393,4139.200999999992,457.89655370345235,3158.200999999992,402.0513386291594,29.852999999999952,1.886095835316952,0.8197043398554552,0.011236347132207815,22.77536886193941,1.2208327900040652,22.982784052450917,1.2350931206602207,984.4890201000004,38.51171697653468,20.340112852846303,0.7992063130879584
open,baseline_a_handcrafted_map_elites,Baseline A: hand-crafted BD,3,98.71999999999998,1.7404671430534633e-14,17364.662999999968,822.0090871255611,14279.662999999966,822.009087125562,31.056666666666644,1.309793240680883,0.9979988936305829,0.0,1.044516304997094,0.0006136126775028971,1.0541651799191893,0.0008459882647570418,956.1234727666665,37.482081161582165,20.938816562194756,0.804177072215198
open,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,3,43.73333333333333,2.218948700022904,6441.225999999992,710.6324962587896,5074.559333333325,641.3867733843068,33.5933333333333,0.9414129451698525,0.8713946103666332,0.007962528183133017,20.051325210575083,0.09813728638755005,20.22305360891644,0.10731418597749462,912.4467764333335,12.834162822443338,21.921988990220147,0.30951638883847615
open,contribution_geodesic_niching,Contribution: geodesic niching,3,35.093333333333334,6.191262660664086,5343.850999999994,780.0264562154283,4247.184333333326,604.5143883559207,32.79333333333326,1.03325134083306,0.8358161705793838,0.026266975805232903,20.640687265197055,4.618181172903434,20.841132314159093,4.667755941964482,888.9097290999993,42.95121095849037,22.535460157909,1.117266640642317
