evaluation,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
1,1,0.0016,6.296000000000001,1.296000000000001,-5.0,1.296000000000001,1.296000000000001,0.0,nan,nan,5,nan,-1
25,14,0.0224,101.88399999999993,31.883999999999933,-5.0,9.556999999999936,2.2774285714285667,0.40993462829889016,nan,nan,5,nan,-1
50,26,0.0416,178.65199999999996,48.65199999999995,-5.0,9.556999999999936,1.8712307692307673,0.5060922998101188,nan,nan,5,nan,-1
75,36,0.0576,262.9779999999999,82.97799999999988,-5.0,9.752999999999963,2.304944444444441,0.5566413762796892,nan,nan,5,nan,-1
100,48,0.0768,349.61699999999985,109.6169999999999,-5.0,9.752999999999963,2.283687499999998,0.6013281066948895,nan,nan,5,nan,-1
125,55,0.088,407.20199999999994,132.20199999999988,-5.0,9.752999999999963,2.403672727272725,0.6224740256012445,nan,nan,5,nan,-1
150,61,0.0976,457.8049999999999,152.80499999999992,-5.0,9.752999999999963,2.5049999999999986,0.6385573858447358,nan,nan,5,nan,-1
175,72,0.1152,539.2009999999998,179.20099999999988,-5.0,9.752999999999963,2.488902777777776,0.6643105157980375,nan,nan,5,nan,-1
200,78,0.1248,571.4349999999998,181.43499999999992,-5.0,9.752999999999963,2.3260897435897427,0.6767438484316152,nan,nan,5,nan,-1
225,84,0.1344,616.5409999999999,196.5409999999999,-5.0,9.752999999999963,2.3397738095238085,0.6882553164387347,nan,nan,5,nan,-1
250,93,0.1488,707.1709999999998,242.17099999999982,-5.0,9.752999999999963,2.603989247311826,0.704065602365827,nan,nan,5,nan,-1
275,98,0.1568,764.2719999999998,274.27199999999976,-5.0,9.752999999999963,2.798693877551018,0.7122001170794321,nan,nan,5,nan,-1
300,103,0.1648,813.4749999999999,298.47499999999985,-5.0,9.752999999999963,2.897815533980581,0.7199297581507992,nan,nan,5,nan,-1
325,120,0.192,989.9509999999997,389.9509999999997,-5.0,10.431999999999952,3.249591666666664,0.7436589671765411,nan,nan,5,nan,-1
350,132,0.2112,1131.5279999999993,471.52799999999945,-5.0,10.431999999999952,3.572181818181814,0.7584638532594373,nan,nan,5,nan,-1
375,144,0.2304,1231.4319999999993,511.43199999999945,-5.0,10.431999999999952,3.5516111111111073,0.7719796553163858,nan,nan,5,nan,-1
400,156,0.2496,1358.8239999999992,578.8239999999992,-5.0,10.959999999999983,3.7104102564102512,0.7844129879499635,nan,nan,5,nan,-1
425,165,0.264,1491.684999999999,666.6849999999991,-5.0,13.566999999999966,4.040515151515146,0.7931255742227409,nan,nan,5,nan,-1
450,175,0.28,1591.729999999999,716.7299999999989,-5.0,13.566999999999966,4.095599999999994,0.802265488780542,nan,nan,5,nan,-1
