index,kind,latent_0,latent_1
0,rolling_buffer,0.2044794261455536,-16.04065704345703
1,rolling_buffer,-1.272453784942627,6.528681755065918
2,rolling_buffer,1.7149403095245361,-7.08671760559082
3,rolling_buffer,-6.2637505531311035,8.67667007446289
4,rolling_buffer,3.4953534603118896,1.749182939529419
5,rolling_buffer,0.7151114344596863,-1.2574912309646606
6,rolling_buffer,0.3144715130329132,1.18669593334198
7,rolling_buffer,-2.837705612182617,12.982989311218262
8,rolling_buffer,4.020571231842041,0.5731616616249084
9,rolling_buffer,-1.2822097539901733,3.8991246223449707
10,rolling_buffer,-1.5790257453918457,1.4886796474456787
11,rolling_buffer,-1.6616010665893555,5.193192481994629
12,rolling_buffer,-0.16660776734352112,1.0861989259719849
13,rolling_buffer,3.3475682735443115,0.7449514269828796
14,rolling_buffer,5.234683036804199,-0.35674023628234863
15,rolling_buffer,-4.475999355316162,-2.691486358642578
16,rolling_buffer,2.6185646057128906,-3.89673113822937
17,rolling_buffer,5.036744594573975,7.99649715423584
18,rolling_buffer,-3.5676844120025635,5.153195858001709
19,rolling_buffer,0.560055136680603,2.2959961891174316
20,rolling_buffer,-4.888771057128906,5.392822265625
21,rolling_buffer,0.6545119285583496,0.7209733128547668
22,rolling_buffer,-3.471625328063965,-21.065967559814453
23,rolling_buffer,3.2249815464019775,-0.5533682107925415
24,rolling_buffer,-2.6331703662872314,3.98732852935791
25,rolling_buffer,-4.484860897064209,7.88039493560791
26,rolling_buffer,-1.1666896343231201,2.7053117752075195
27,rolling_buffer,-8.712886810302734,0.5919113159179688
28,rolling_buffer,-2.1723949909210205,2.2899484634399414
29,rolling_buffer,4.698197841644287,1.510524868965149
30,rolling_buffer,0.009366057813167572,2.74015474319458
31,rolling_buffer,1.85221266746521,2.6075377464294434
32,rolling_buffer,-12.158659934997559,-1.9491277933120728
33,rolling_buffer,5.802749156951904,-2.4622936248779297
34,rolling_buffer,-10.647879600524902,-17.373794555664062
35,rolling_buffer,0.45490017533302307,1.968950867652893
36,rolling_buffer,-1.97793447971344,2.8698158264160156
37,rolling_buffer,-0.06300017982721329,-16.70710563659668
38,rolling_buffer,1.6356481313705444,-11.597444534301758
39,rolling_buffer,1.8872411251068115,2.591365098953247
40,rolling_buffer,0.14146390557289124,9.722793579101562
41,rolling_buffer,-6.459028720855713,0.242206871509552
42,rolling_buffer,-9.417585372924805,3.224900722503662
43,rolling_buffer,-5.840395450592041,2.0315327644348145
44,rolling_buffer,10.64345932006836,-3.0059361457824707
45,rolling_buffer,9.602777481079102,-2.189469575881958
46,rolling_buffer,-3.6814568042755127,0.1768723726272583
47,rolling_buffer,-1.702178955078125,-3.244466543197632
48,rolling_buffer,-2.284137010574341,3.185360908508301
49,rolling_buffer,0.5595182776451111,0.7522088289260864
50,rolling_buffer,-9.254968643188477,-0.027152664959430695
51,rolling_buffer,-4.694941520690918,7.684308052062988
52,rolling_buffer,2.7823288440704346,-1.010405421257019
53,rolling_buffer,0.2373264729976654,3.799912929534912
54,rolling_buffer,-6.35307502746582,-8.334486961364746
55,rolling_buffer,4.781809329986572,5.718752861022949
56,rolling_buffer,0.6206614971160889,-1.1330832242965698
57,rolling_buffer,-3.2214972972869873,-0.6093524098396301
58,rolling_buffer,-0.3183869421482086,4.717694282531738
59,rolling_buffer,-8.996912956237793,8.076910018920898
60,rolling_buffer,-0.42502668499946594,-3.8183841705322266
61,rolling_buffer,-5.225409030914307,-8.897195816040039
62,rolling_buffer,-0.14974087476730347,1.5554141998291016
63,rolling_buffer,-2.696418046951294,6.916893005371094
64,rolling_buffer,-1.636457920074463,3.799126148223877
65,rolling_buffer,3.2560818195343018,1.5599979162216187
66,rolling_buffer,2.4627578258514404,-1.634291648864746
67,rolling_buffer,-2.5589451789855957,3.433426856994629
68,rolling_buffer,-9.527069091796875,6.819854259490967
69,rolling_buffer,-0.3196466863155365,0.7580629587173462
70,rolling_buffer,-2.5426249504089355,5.236969947814941
71,rolling_buffer,-11.796618461608887,-14.995650291442871
72,rolling_buffer,-0.9534395933151245,2.830956220626831
73,rolling_buffer,-0.4283488690853119,4.758953094482422
