cell_x,cell_y,fitness,descriptor_x,descriptor_y,centroid_x,centroid_y,novelty_score,steps,food_collected,wall_collisions,hazard_contacts
1,4,31.684999999999942,-19.212007522583008,-23.279876708984375,-20.964098854064943,-25.24270669555664,0.09234325596116114,280,8,10,0
2,3,23.774999999999956,-17.174251556396484,-27.651870727539062,-19.367998790740966,-27.438518493652342,0.09175425975681384,280,6,34,0
2,5,28.344999999999942,-19.93794059753418,-23.548629760742188,-19.367998790740966,-23.046894897460938,0.08900718487432968,280,7,9,0
3,3,27.929999999999925,-20.458261489868164,-24.780271530151367,-17.771898727416993,-27.438518493652342,0.08917811104540635,280,7,8,0
3,5,29.689999999999955,-17.91306495666504,-21.76555633544922,-17.771898727416993,-23.046894897460938,0.08383464794388801,280,7,10,0
3,6,31.504999999999928,-16.640478134155273,-18.363811492919922,-17.771898727416993,-20.851083099365233,0.08401360847440163,280,8,10,0
3,7,28.23499999999992,-16.175703048706055,-16.706941604614258,-17.771898727416993,-18.65527130126953,0.08437402130310688,280,7,10,0
4,4,28.43499999999993,-16.937007904052734,-24.73553466796875,-16.17579866409302,-25.24270669555664,0.08161050295498432,280,7,14,0
4,5,25.62999999999994,-18.05263328552246,-23.009071350097656,-16.17579866409302,-23.046894897460938,0.08274650584755183,280,6,9,0
4,6,25.72999999999996,-17.563623428344727,-23.29602813720703,-16.17579866409302,-20.851083099365233,0.07737433204052467,280,6,9,0
4,7,30.179999999999925,-16.76103401184082,-13.711442947387695,-16.17579866409302,-18.65527130126953,0.07687037612247632,280,8,11,0
4,10,29.079999999999995,-14.92136001586914,-12.65601634979248,-16.17579866409302,-12.067835906982424,0.08115110472369283,280,7,10,0
4,11,27.78999999999993,-18.43927574157715,-9.265686988830566,-16.17579866409302,-9.87202410888672,0.08155088570844721,280,7,12,0
4,12,27.704999999999938,-17.5985050201416,-6.229001998901367,-16.17579866409302,-7.6762123107910165,0.08486766510910179,280,7,5,0
4,13,27.694999999999965,-16.601682662963867,-3.789435863494873,-16.17579866409302,-5.480400512695316,0.07866802024973718,280,7,10,0
4,14,28.64999999999996,-16.21950912475586,-3.6978724002838135,-16.17579866409302,-3.2845887145996118,0.07793793169091788,280,7,8,0
4,16,27.74499999999997,-15.0701904296875,0.386116623878479,-16.17579866409302,1.1070348815917932,0.08813931213981246,280,7,10,3
5,5,27.569999999999922,-19.433061599731445,-22.5352725982666,-14.579698600769044,-23.046894897460938,0.08187621754198281,280,7,8,0
5,6,26.364999999999938,-13.99976634979248,-21.481040954589844,-14.579698600769044,-20.851083099365233,0.07438684369160452,280,6,11,0
5,8,24.68999999999994,-12.711809158325195,-15.941638946533203,-14.579698600769044,-16.45945950317383,0.07483542743236202,280,6,22,0
5,9,29.1099999999999,-16.314817428588867,-12.543262481689453,-14.579698600769044,-14.263647705078125,0.07806493064554347,280,8,14,0
5,10,26.36999999999995,-15.216365814208984,-10.949954986572266,-14.579698600769044,-12.067835906982424,0.07550861163584754,280,6,11,0
5,11,29.03999999999998,-14.405852317810059,-11.06308650970459,-14.579698600769044,-9.87202410888672,0.07644493123283724,280,7,6,0
5,12,26.14999999999991,-14.65532112121582,-8.590995788574219,-14.579698600769044,-7.6762123107910165,0.08059811787813574,280,7,18,0
5,13,30.804999999999954,-16.108789443969727,-4.514266490936279,-14.579698600769044,-5.480400512695316,0.0733179381551661,280,8,7,3
5,14,28.864999999999952,-13.670831680297852,-4.377194404602051,-14.579698600769044,-3.2845887145996118,0.07219548372597062,280,7,5,0
