map,seed,evaluation,k,routing_point_count,archive_elite_point_count,rolling_point_count,component_count,largest_component_fraction,reachable_centroid_count,reachable_centroid_fraction
horseshoe,1003,17250,3,683,197,486,54,0.5622254758418741,285,0.456
horseshoe,1003,17250,5,683,197,486,15,0.9048316251830161,300,0.48
horseshoe,1003,17250,10,683,197,486,5,0.9824304538799414,326,0.5216
horseshoe,1003,17250,20,683,197,486,2,0.986822840409956,398,0.6368
horseshoe,1003,17250,30,683,197,486,1,1.0,447,0.7152
horseshoe,1003,17500,3,684,198,486,62,0.5906432748538012,293,0.4688
horseshoe,1003,17500,5,684,198,486,16,0.9415204678362573,308,0.4928
horseshoe,1003,17500,10,684,198,486,6,0.97953216374269,336,0.5376
horseshoe,1003,17500,20,684,198,486,1,1.0,403,0.6448
horseshoe,1003,17500,30,684,198,486,1,1.0,453,0.7248
horseshoe,1003,17750,3,688,201,487,59,0.5872093023255814,295,0.472
horseshoe,1003,17750,5,688,201,487,15,0.9418604651162791,311,0.4976
horseshoe,1003,17750,10,688,201,487,4,0.9738372093023255,337,0.5392
horseshoe,1003,17750,20,688,201,487,1,1.0,404,0.6464
horseshoe,1003,17750,30,688,201,487,1,1.0,452,0.7232
horseshoe,1003,18000,3,686,203,483,56,0.5626822157434402,292,0.4672
horseshoe,1003,18000,5,686,203,483,16,0.9402332361516035,305,0.488
horseshoe,1003,18000,10,686,203,483,4,0.9854227405247813,331,0.5296
horseshoe,1003,18000,20,686,203,483,1,1.0,402,0.6432
horseshoe,1003,18000,30,686,203,483,1,1.0,447,0.7152
horseshoe,1003,18250,3,685,204,481,55,0.4846715328467153,294,0.4704
horseshoe,1003,18250,5,685,204,481,20,0.8189781021897811,306,0.4896
horseshoe,1003,18250,10,685,204,481,5,0.983941605839416,334,0.5344
horseshoe,1003,18250,20,685,204,481,3,0.9854014598540146,403,0.6448
horseshoe,1003,18250,30,685,204,481,1,1.0,447,0.7152
horseshoe,1003,18500,3,692,205,487,61,0.1994219653179191,293,0.4688
horseshoe,1003,18500,5,692,205,487,16,0.9277456647398844,304,0.4864
horseshoe,1003,18500,10,692,205,487,6,0.9725433526011561,333,0.5328
horseshoe,1003,18500,20,692,205,487,2,0.9985549132947977,402,0.6432
horseshoe,1003,18500,30,692,205,487,1,1.0,446,0.7136
horseshoe,1003,18750,3,694,206,488,54,0.4668587896253602,295,0.472
horseshoe,1003,18750,5,694,206,488,17,0.9178674351585014,305,0.488
