map,seed,k,point_count,total_pair_count,finite_pair_count,disconnected_pair_count,finite_pair_fraction,component_count,largest_component_fraction,mean_euclidean_all_pairs,mean_euclidean_finite_pairs,mean_knn_geodesic_finite_pairs,ratio_mean_geodesic_to_mean_euclidean,mean_per_pair_geodesic_to_euclidean_ratio,median_per_pair_geodesic_to_euclidean_ratio,p90_per_pair_geodesic_to_euclidean_ratio,p95_per_pair_geodesic_to_euclidean_ratio,max_per_pair_geodesic_to_euclidean_ratio
horseshoe,1001,3,400,79800,79800,0,1.0,1,1.0,8.082929696355116,8.082929696355116,17.236309720601618,2.1324334576823167,2.1474208862619575,1.635920629629855,3.5376811185173898,4.629354801348268,55.344947258592356
horseshoe,1001,5,400,79800,79800,0,1.0,1,1.0,8.082929696355116,8.082929696355116,9.617589246396449,1.1898642704678437,1.2098081188367216,1.1664102876790885,1.391788212164989,1.5144482588280472,4.280877807132134
horseshoe,1001,10,400,79800,79800,0,1.0,1,1.0,8.082929696355116,8.082929696355116,8.614320583173448,1.0657423615917327,1.0717282467589055,1.0461963798130292,1.1504067555662802,1.2214628517509105,2.777013048982946
horseshoe,1001,20,400,79800,79800,0,1.0,1,1.0,8.082929696355116,8.082929696355116,8.241870186112788,1.0196637228985603,1.019149158205388,1.0097435585817955,1.0412611521201809,1.0670715788792002,2.1389148765566115
horseshoe,1001,30,400,79800,79800,0,1.0,1,1.0,8.082929696355116,8.082929696355116,8.158194369100459,1.0093115585032593,1.0086097449871918,1.0038061340462066,1.0191447046113922,1.031196480254731,1.526183809427273
horseshoe,1002,3,400,79800,69514,10286,0.8711027568922306,4,0.9325,11.876788951190274,10.963416906250629,16.569442845327707,1.5113393011517136,1.616128082176175,1.4190214208087921,2.170465929345245,2.694193798950816,19.825064091271354
horseshoe,1002,5,400,79800,79800,0,1.0,1,1.0,11.876788951190274,11.876788951190274,13.796825542785252,1.161662937641285,1.1679992587479153,1.1229966398478155,1.3187003937602368,1.4263703061452715,6.411273846700985
horseshoe,1002,10,400,79800,79800,0,1.0,1,1.0,11.876788951190274,11.876788951190274,12.392468990948043,1.043419146528329,1.0445914899858268,1.0335296845471298,1.0918157241623785,1.1243430144636979,2.0026325659339794
horseshoe,1002,20,400,79800,79800,0,1.0,1,1.0,11.876788951190274,11.876788951190274,12.05101836871105,1.0146697409743326,1.0149297297299293,1.0092681729559434,1.0349401420331956,1.0474680961881757,1.3987421350091835
horseshoe,1002,30,400,79800,79800,0,1.0,1,1.0,11.876788951190274,11.876788951190274,11.954243255520403,1.0065214852809492,1.006517950500654,1.0031836343249676,1.0160823556120806,1.023998579435862,1.3987421350091835
