map,seed,snapshot_evaluation,encoder_space,k,routing_point_count,archive_elite_point_count,rolling_point_count,component_count,largest_component_fraction,reachable_centroid_count,reachable_centroid_fraction,support_finite_pair_fraction,support_mean_euclidean_finite,support_mean_geodesic_finite,support_geodesic_to_euclidean_ratio
open,1001,10000,final_one_retrain_encoder,3,645,160,485,48,0.5085271317829457,252,0.4032,0.1039332849351278,6.508860523702086,12.997750183205463,1.9969317418730999
open,1001,10000,final_one_retrain_encoder,5,645,160,485,11,0.9643410852713178,281,0.4496,0.44217717466167794,11.036789593590845,14.744355578168575,1.3359279392923051
open,1001,10000,final_one_retrain_encoder,10,645,160,485,5,0.9782945736434109,312,0.4992,0.4946644080837413,11.935701024560982,13.153414287530229,1.1020227685381416
open,1001,10000,final_one_retrain_encoder,20,645,160,485,1,1.0,400,0.64,0.6769419779974312,15.217600112640845,16.13093892685984,1.0600185842352574
open,1001,10000,final_one_retrain_encoder,30,645,160,485,1,1.0,459,0.7344,0.7555778931888834,16.14154956132614,16.862327018021904,1.044653547911081
open,1001,20000,final_one_retrain_encoder,3,750,264,486,77,0.4106666666666667,322,0.5152,0.07716924705570993,5.854447371614922,10.643608323831797,1.818038091082166
open,1001,20000,final_one_retrain_encoder,5,750,264,486,17,0.852,352,0.5632,0.39699986767235673,11.606039384151899,15.32028075102951,1.3200266037309356
open,1001,20000,final_one_retrain_encoder,10,750,264,486,1,1.0,390,0.624,0.6872886065899166,16.283212517103593,18.36121837852718,1.1276164552443744
open,1001,20000,final_one_retrain_encoder,20,750,264,486,1,1.0,479,0.7664,0.7988418684663227,17.47986239950747,18.1913137889153,1.0407012007959442
open,1001,20000,final_one_retrain_encoder,30,750,264,486,1,1.0,522,0.8352,0.8557427550615323,18.027763735971828,18.526241842087828,1.027650579041113
open,1002,2000,pre_retrain_encoder,3,580,103,477,45,0.7189655172413794,179,0.2864,0.13455563060889703,2.188404109276211,3.2700471598146996,1.4942611129058012
open,1002,2000,pre_retrain_encoder,5,580,103,477,16,0.9155172413793103,200,0.32,0.28598723480514465,7.669526257536474,10.92929801402698,1.4250290887637662
open,1002,2000,pre_retrain_encoder,10,580,103,477,7,0.9844827586206897,234,0.3744,0.38482513337285124,10.8513931598504,11.88462564730502,1.0952165747046683
open,1002,2000,pre_retrain_encoder,20,580,103,477,3,0.993103448275862,332,0.5312,0.4955004755931129,13.739834616611052,14.689270274650324,1.0691009524154995
open,1002,2000,pre_retrain_encoder,30,580,103,477,3,0.993103448275862,386,0.6176,0.5479921699452723,14.78303741674965,15.578983781319934,1.0538418690375804
open,1002,10000,final_one_retrain_encoder,3,626,139,487,50,0.23162939297124602,220,0.352,0.04515555555555555,5.157125225215341,8.280034787240764,1.6055524009299236
open,1002,10000,final_one_retrain_encoder,5,626,139,487,14,0.9009584664536742,252,0.4032,0.33516099120703435,15.548957794919296,21.804256696587842,1.402296988915392
open,1002,10000,final_one_retrain_encoder,10,626,139,487,3,0.9952076677316294,288,0.4608,0.5130359712230216,21.752032286719235,27.72553577535409,1.2746181786555177
open,1002,10000,final_one_retrain_encoder,20,626,139,487,1,1.0,363,0.5808,0.6248645883293366,24.92690530415168,26.405125195681713,1.0593021826613922
open,1002,10000,final_one_retrain_encoder,30,626,139,487,1,1.0,404,0.6464,0.6777745803357315,25.894877854576286,26.930796674369773,1.0400047772231686
open,1002,20000,final_one_retrain_encoder,3,685,196,489,55,0.472992700729927,238,0.3808,0.09387271910846226,9.273271714743148,17.74016479211672,1.9130427035705693
open,1002,20000,final_one_retrain_encoder,5,685,196,489,11,0.8525547445255475,264,0.4224,0.33593267980335784,17.37119874555205,23.452075113322664,1.3500550800691082
open,1002,20000,final_one_retrain_encoder,10,685,196,489,1,1.0,305,0.488,0.5709795368529091,24.714677064197012,27.59088124856554,1.1163763611758921
open,1002,20000,final_one_retrain_encoder,20,685,196,489,1,1.0,368,0.5888,0.6460009680485657,26.42532680133998,27.659939723511403,1.0467208194416282
open,1002,20000,final_one_retrain_encoder,30,685,196,489,1,1.0,412,0.6592,0.7011424139398994,27.2624492200188,28.150874010113917,1.0325878567595
open,1003,2000,pre_retrain_encoder,3,577,118,459,51,0.610051993067591,210,0.336,0.09805195614857835,1.4568571694647903,2.0993252362897588,1.4409959193604365
open,1003,2000,pre_retrain_encoder,5,577,118,459,21,0.9064124783362218,241,0.3856,0.28896745778961236,7.675356403920048,11.966802852458674,1.5591201532148848
open,1003,2000,pre_retrain_encoder,10,577,118,459,10,0.9826689774696707,278,0.4448,0.41948404061507255,10.54301381427971,12.084468622953965,1.1462062779986564
open,1003,2000,pre_retrain_encoder,20,577,118,459,4,0.9913344887348353,379,0.6064,0.5303802571622926,12.78871784970139,13.584650908767971,1.0622371271632336
open,1003,2000,pre_retrain_encoder,30,577,118,459,3,0.9965337954939342,437,0.6992,0.6223917672599512,14.482018149503187,15.439408207419781,1.0661088839989776
open,1003,10000,final_one_retrain_encoder,3,633,147,486,50,0.5608214849921012,206,0.3296,0.10776408867100991,6.769580831664084,10.179976307687605,1.5037823701094926
open,1003,10000,final_one_retrain_encoder,5,633,147,486,12,0.8546603475513428,244,0.3904,0.3058206318068736,11.576334122821578,15.262993761820704,1.3184652066781009
open,1003,10000,final_one_retrain_encoder,10,633,147,486,3,0.9968404423380727,293,0.4688,0.5187003653941742,15.513810650048281,17.424438447195,1.1231565757920845
open,1003,10000,final_one_retrain_encoder,20,633,147,486,2,0.9984202211690363,346,0.5536,0.5813308746061799,16.707881064518087,17.47169095544537,1.0457155451357238
open,1003,10000,final_one_retrain_encoder,30,633,147,486,2,0.9984202211690363,414,0.6624,0.6605691750995696,17.999373335271823,18.61700978602328,1.0343143307962355
open,1003,20000,final_one_retrain_encoder,3,686,198,488,53,0.19096209912536444,227,0.3632,0.04407101391048148,5.5074882783426,9.779596093019595,1.7756907684173275
open,1003,20000,final_one_retrain_encoder,5,686,198,488,10,0.9460641399416909,266,0.4256,0.4290414053720428,15.175517371841126,25.241109439059546,1.663278346338003
open,1003,20000,final_one_retrain_encoder,10,686,198,488,2,0.9854227405247813,310,0.496,0.5556029136898003,17.243799496773434,19.48687953133685,1.1300803825156474
open,1003,20000,final_one_retrain_encoder,20,686,198,488,1,1.0,358,0.5728,0.6340314776320156,18.587234550503588,19.62729124164508,1.0559554294274138
open,1003,20000,final_one_retrain_encoder,30,686,198,488,1,1.0,422,0.6752,0.7141893898370221,19.86758066550904,20.508857449940546,1.0322775477914525
