cell_x,cell_y,fitness,descriptor_x,descriptor_y,steps,food_collected,wall_collisions,hazard_contacts
0,8,3.2659999999999987,-8.020550727844238,-1.6048129796981812,137,0,28,0
0,9,6.528999999999995,-8.05349349975586,-1.2900460958480835,183,1,10,0
0,10,6.160999999999996,-8.048565864562988,-0.8032023310661316,187,1,6,0
0,11,6.765999999999995,-8.201326370239258,-0.5215277671813965,182,1,12,0
1,8,6.146999999999995,-7.64982271194458,-1.3807929754257202,184,1,16,0
1,9,6.486999999999996,-7.807572841644287,-1.1630984544754028,179,1,10,1
1,10,9.852999999999978,-7.647698879241943,-0.8912480473518372,221,2,21,0
1,11,9.635999999999973,-7.674561500549316,-0.6640950441360474,212,2,16,5
1,12,6.552999999999995,-7.694781303405762,-0.19058799743652344,181,1,14,0
1,13,1.8169999999999968,-7.5320329666137695,-0.011621542274951935,144,0,44,0
2,7,5.4839999999999876,-7.17686653137207,-1.8081066608428955,188,1,71,0
2,8,6.663999999999995,-7.394854545593262,-1.6230038404464722,183,1,10,0
2,9,13.529999999999957,-7.393776893615723,-1.0462521314620972,280,3,17,0
2,10,13.518999999999968,-7.497043132781982,-0.9404128193855286,268,3,24,3
2,11,13.659999999999945,-7.213330268859863,-0.46809855103492737,280,3,26,0
2,12,6.405999999999995,-7.408474445343018,-0.1251518428325653,182,1,12,0
2,13,3.324999999999999,-7.365079402923584,0.2797563672065735,145,0,5,0
2,14,3.211999999999999,-7.156051158905029,0.3872276544570923,144,0,8,0
3,7,6.031999999999994,-6.657278537750244,-1.804927945137024,184,1,18,0
3,8,9.613999999999978,-6.989641189575195,-1.4674811363220215,228,2,23,0
3,9,13.560999999999966,-6.882758140563965,-1.219762921333313,272,3,17,4
3,10,18.02999999999996,-6.647708892822266,-0.9120420217514038,280,4,17,0
3,11,17.88999999999994,-7.082820415496826,-0.6549633741378784,280,4,12,0
3,12,13.79999999999996,-6.711368560791016,-0.2668663263320923,270,3,20,4
3,13,12.93599999999993,-6.8219313621521,0.21098139882087708,277,3,23,0
3,14,3.3499999999999988,-6.79936408996582,0.6372776031494141,145,0,3,0
4,7,4.9249999999999865,-6.614828586578369,-1.8639906644821167,190,1,81,0
4,8,18.089999999999954,-6.483609199523926,-1.4529348611831665,280,4,16,2
4,9,17.924999999999976,-6.236539840698242,-1.0676666498184204,280,4,16,5
4,10,17.87499999999997,-6.24543571472168,-0.7763063907623291,280,4,12,6
4,11,17.20499999999995,-6.284649848937988,-0.6385190486907959,280,4,11,9
4,12,18.08499999999997,-6.427583694458008,-0.3254152238368988,280,4,15,6
4,13,13.299999999999951,-6.2684431076049805,0.03771638125181198,250,3,14,5
4,14,3.2349999999999985,-6.533043384552002,0.4763294458389282,145,0,5,0
4,15,4.630999999999987,-6.203519821166992,0.7648594975471497,192,1,77,0
5,7,16.399999999999963,-5.917469024658203,-1.9835244417190552,280,4,25,0
5,8,13.544999999999936,-5.766196250915527,-1.4970396757125854,280,3,14,0
5,9,18.22499999999996,-5.984555244445801,-1.2849806547164917,280,4,14,0
5,10,18.259999999999977,-5.805768966674805,-0.9937310218811035,280,4,10,2
5,11,17.90499999999995,-5.7955803871154785,-0.6401236057281494,280,4,13,4
5,12,17.824999999999935,-5.885064125061035,-0.3216095566749573,280,4,19,0
5,13,17.784999999999936,-5.867659091949463,0.1651374101638794,280,4,15,0
5,14,13.215999999999967,-6.08905553817749,0.35468050837516785,247,3,24,3
5,15,12.69099999999995,-5.821384429931641,0.9975162744522095,267,3,38,0
6,7,12.639999999999961,-5.565579414367676,-1.7526811361312866,280,3,27,0
6,8,17.604999999999947,-5.474607467651367,-1.4429645538330078,280,4,24,0
6,9,18.319999999999975,-5.736258029937744,-1.065961241722107,280,4,20,1
6,10,18.414999999999978,-5.34197998046875,-0.8839466571807861,280,4,19,4
6,11,17.664999999999946,-5.747224807739258,-0.5153357982635498,280,4,6,3
6,12,17.979999999999958,-5.708341121673584,-0.22511577606201172,280,4,21,0
6,13,17.22999999999992,-5.519818305969238,0.07313325256109238,280,4,13,4
6,14,17.404999999999944,-5.407036781311035,0.5696325898170471,280,4,18,5
6,15,6.547999999999997,-5.584994792938232,0.7560821771621704,186,1,41,3
6,16,3.3949999999999982,-5.594658851623535,1.2438937425613403,145,0,3,0
7,6,8.527999999999988,-4.978811740875244,-2.1062753200531006,226,2,78,0
7,7,18.82499999999992,-5.2806620597839355,-1.8892643451690674,280,4,75,3
7,8,20.84499999999997,-5.062920093536377,-1.4219977855682373,280,5,13,6
7,9,17.394999999999957,-5.123090744018555,-1.1432749032974243,280,4,12,0
7,10,18.614999999999952,-5.181093692779541,-0.8464281558990479,280,4,8,0
