epoch,train_loss,validation_loss
1,0.22462571007363938,0.11813526600599289
2,0.06638731998117531,0.04229312017560005
3,0.036576395402936376,0.0333368256688118
4,0.0293624856936581,0.02714013308286667
5,0.026298632209791856,0.02560613676905632
6,0.024810767699690425,0.023718800395727158
7,0.02138131132678074,0.01923966407775879
8,0.017210280492025262,0.01717202179133892
9,0.01583250944667003,0.016585364937782288
10,0.01541854185216567,0.01634250581264496
11,0.015260641673470245,0.01620715856552124
12,0.015100035336526001,0.01611102558672428
13,0.014994492656825219,0.016062486916780472
14,0.01491936917471535,0.01599004678428173
15,0.014874373409239685,0.016005605459213257
16,0.014814952638219385,0.015871457755565643
17,0.014740421570399228,0.015783745795488358
18,0.014700804788838414,0.015822486951947212
19,0.01463838598526576,0.015754399821162224
20,0.014594023479696582,0.015773488208651543
21,0.014564692656345227,0.015696482732892036
22,0.014510039235739148,0.01570582017302513
23,0.014483166389605577,0.015676161274313927
24,0.014472369328141213,0.015639500692486763
25,0.01441769304959213,0.01566583663225174
26,0.014379917348132414,0.015632828697562218
27,0.014381082011934589,0.015603024512529373
28,0.014346192812218385,0.015555724501609802
29,0.014295310616931494,0.015588187612593174
30,0.014254127946846626,0.015528717078268528
31,0.014242551431936376,0.015564595349133015
32,0.01430642397964702,0.015560422092676163
33,0.014247619437382501,0.015510080382227898
34,0.014186001198694986,0.015575617551803589
35,0.014163996364702197,0.015652569010853767
36,0.01412999328225851,0.015508707612752914
37,0.014092643019907614,0.01549567561596632
38,0.014078526832163334,0.015507652424275875
39,0.014034505957627997,0.01551081333309412
40,0.014030363191576564,0.01548791490495205
41,0.014033556387704961,0.015526631847023964
42,0.01400491621126147,0.0154920918866992
43,0.013978952717255144,0.015507662668824196
44,0.013946139369817341,0.01552501879632473
45,0.01390811027630287,0.01547577790915966
46,0.013921727134900934,0.015480410307645798
47,0.013872292352949872,0.015468431636691093
48,0.013926622481907115,0.01547129638493061
49,0.013874470087535241,0.015482040122151375
50,0.013863332367995206,0.01544671505689621
51,0.013838430257404551,0.015552066266536713
52,0.013799060740891624,0.015425916761159897
53,0.013738427028498229,0.015404311940073967
54,0.013750457811881514,0.015402273274958134
55,0.013748951874235096,0.015402447432279587
56,0.013704033132423373,0.015473756939172745
57,0.013705691064105314,0.015434391796588898
58,0.013664202988147736,0.015416357666254044
59,0.013650842026314315,0.015486025251448154
60,0.013639630986487164,0.015444613993167877
61,0.013596628308296204,0.015464662574231625
62,0.013572066456956022,0.01554704736918211
63,0.01361842114259215,0.015424158424139023
64,0.013553638014504139,0.01552672777324915
65,0.013525484990985954,0.015448084101080894
66,0.01350783492274144,0.015456021763384342
67,0.013504818054463933,0.01541467010974884
68,0.013523330092430114,0.01568874903023243
69,0.013478326801868046,0.015436409041285515
70,0.013470262863180217,0.015551505610346794
71,0.013426749303060419,0.015477319248020649
72,0.013425892498344184,0.015427383594214916
73,0.013388515597976306,0.015520783141255379
74,0.013350159337415415,0.015477090142667294
75,0.013368279079304022,0.015460825525224209
76,0.013332949924994918,0.015528228133916855
77,0.013341098607462996,0.015505457296967506
78,0.013337552963810808,0.01565568335354328
79,0.01342379996443496,0.015672188252210617
80,0.013387793591793845,0.015484604053199291
