epoch,train_loss,validation_loss
1,0.9137437856618096,0.7271898984909058
2,0.7785786953252904,0.6786501407623291
3,0.740200196574716,0.6533868312835693
4,0.7191528445412131,0.6418028473854065
5,0.7069816050809973,0.6335266828536987
6,0.6982773777456844,0.6261875033378601
7,0.6914650481448454,0.6202192306518555
8,0.6852926703621359,0.616332471370697
9,0.680670517725103,0.6123636364936829
10,0.6761230395260979,0.6104664206504822
11,0.6718522366355447,0.6078296899795532
12,0.6688550714885487,0.6054054498672485
13,0.6649703130161061,0.6033456325531006
14,0.6623177432452931,0.601340115070343
15,0.6585073758574093,0.6006550788879395
16,0.6555445596751045,0.5981451869010925
17,0.652575477403753,0.5982195138931274
18,0.6494180395182442,0.593499481678009
19,0.6468096101143781,0.5922797322273254
20,0.6446694757237154,0.5920105576515198
21,0.6419361231747795,0.5899006128311157
22,0.6398176104882184,0.5883700847625732
23,0.6379299921708949,0.5877551436424255
24,0.6352888010810404,0.5895148515701294
25,0.632989423864028,0.588902473449707
26,0.6313936869677376,0.586629331111908
27,0.6296113150260028,0.5839167833328247
28,0.6267464408033034,0.582295835018158
29,0.6243086379556095,0.5829992890357971
30,0.6224530099419987,0.5806483030319214
31,0.6205171438104966,0.5793694257736206
32,0.6188718379245085,0.5813988447189331
33,0.6165916898110334,0.5814927816390991
34,0.6162762522416956,0.582292914390564
35,0.612513233829947,0.5817458629608154
36,0.6112121881597182,0.5811858177185059
37,0.6095838698779835,0.5767074227333069
38,0.6062753922518562,0.5775087475776672
39,0.604916788704255,0.5772767663002014
40,0.6034822756823371,0.578698992729187
41,0.6011097720370573,0.5765774250030518
42,0.6020633397382849,0.5764825344085693
43,0.6006320019609788,0.5734426379203796
44,0.5984401626306421,0.5731443166732788
45,0.5960696148591883,0.5758960247039795
46,0.5952409535856807,0.5728845000267029
47,0.592092279995189,0.5742093920707703
48,0.5907225359187407,0.571406364440918
49,0.5889426169114954,0.5723530054092407
50,0.5881962910539964,0.5720357298851013
51,0.586661478323095,0.5712155103683472
52,0.5855422633395475,0.5710188150405884
53,0.5848380357237423,0.5716634392738342
54,0.5838675022405737,0.5688759088516235
55,0.5821207622920765,0.5722151398658752
56,0.5802890238902149,0.5706584453582764
57,0.5800876563296599,0.5708662867546082
58,0.5790772751639871,0.5708326697349548
59,0.5777148849823895,0.572134792804718
60,0.5769302321041332,0.5692469477653503
61,0.5759944436690386,0.5712255835533142
62,0.5767820301897385,0.5672647356987
63,0.5737869023715748,0.5696372389793396
64,0.5727966197799234,0.5678674578666687
65,0.5728624865307528,0.5688377618789673
66,0.5734699411953197,0.5665874481201172
67,0.5701036832472858,0.5708034038543701
68,0.5694180210898904,0.5728657841682434
69,0.5689773652974297,0.5664312839508057
70,0.5664622651548946,0.5702241063117981
71,0.5655573695968179,0.570629358291626
72,0.5647936710469863,0.5658236145973206
73,0.5638837548143724,0.5693118572235107
74,0.5638652880332049,0.5689917802810669
75,0.5631733079237097,0.5679506063461304
76,0.5629094217524809,0.5673511624336243
77,0.5615141794821795,0.5706989765167236
78,0.560936864937053,0.5676513314247131
79,0.5599722922549528,0.5708932280540466
80,0.557299942184897,0.5651978850364685
