snapshot_evaluation,encoder_space,k,support_point_count,rolling_buffer_points,centroid_points,component_count,largest_component_fraction,support_finite_pair_fraction,support_mean_euclidean,support_mean_geodesic,support_geodesic_to_euclidean_ratio,rolling_finite_pair_fraction,rolling_geodesic_to_euclidean_ratio,centroid_finite_pair_fraction,centroid_geodesic_to_euclidean_ratio
2000,pre_retrain_encoder,10,1625,1000,625,4,0.99,0.5150837438423645,11.183588572841352,12.520114654541224,1.1195078013640043,0.9801341341341341,1.0874606642321631,0.08042051282051282,1.2185756624720445
2000,pre_retrain_encoder,15,1625,1000,625,3,0.997,0.570379689276241,12.976596687145868,14.287517352938158,1.1010219164082398,0.994008008008008,1.0609145680754306,0.13710769230769232,1.171429428463147
2000,pre_retrain_encoder,20,1625,1000,625,3,0.997,0.5902569154982948,13.508163300703307,14.352982223109297,1.0625413613679073,0.994008008008008,1.030300506597436,0.16415897435897436,1.1288746783328407
2000,pre_retrain_encoder,25,1625,1000,625,3,0.997,0.6144501705191361,14.424353405445602,15.095618123161366,1.046536901783226,0.994008008008008,1.017534926426906,0.19992820512820514,1.1140976241290748
2000,pre_retrain_encoder,30,1625,1000,625,2,0.999,0.6714801061007958,15.83868193488436,16.76714133659259,1.058619739036701,0.998,1.013375803368536,0.2861897435897436,1.1510982206630784
2000,pre_retrain_encoder,40,1625,1000,625,2,0.999,0.729576354679803,17.677503436175968,18.60290631706201,1.0523491840478028,0.998,1.0074886223970603,0.39235384615384616,1.1387730847884054
10000,final_one_retrain_encoder,10,1625,1000,625,3,0.996,0.5994096248579007,11.594672648296214,12.791861073916223,1.1032533183070012,0.992018018018018,1.079062442042857,0.17635897435897435,1.1773490205313373
10000,final_one_retrain_encoder,15,1625,1000,625,1,1.0,0.6537635467980295,12.537658589113068,13.506735211706115,1.077293269369652,1.0,1.047135153825883,0.2520051282051282,1.1520254062294417
10000,final_one_retrain_encoder,20,1625,1000,625,1,1.0,0.6911140583554377,13.228562643019574,14.023344101829856,1.0600807117339897,1.0,1.0308651319900723,0.315,1.1288156256939696
10000,final_one_retrain_encoder,25,1625,1000,625,1,1.0,0.7326600985221675,13.864597851003598,14.562561112624802,1.0503413996656732,1.0,1.0207618487812173,0.391,1.1121977965023069
10000,final_one_retrain_encoder,30,1625,1000,625,1,1.0,0.7581697612732096,14.328184861016384,14.933086136783752,1.042217578963066,1.0,1.0146717604232829,0.44053846153846155,1.1001220991402791
10000,final_one_retrain_encoder,40,1625,1000,625,1,1.0,0.810498673740053,15.132756723394184,15.684068378650084,1.03643167370844,1.0,1.0088926699637266,0.5484769230769231,1.0913845580669947
20000,final_one_retrain_encoder,10,1625,1000,625,1,1.0,0.6389170140204623,14.486222280465629,16.09321833675394,1.1109327211177278,1.0,1.0977723856454917,0.22846666666666668,1.1593547325443678
20000,final_one_retrain_encoder,15,1625,1000,625,1,1.0,0.6788866995073891,15.009149001516569,15.84291826018678,1.0555507349941002,1.0,1.0449821444166367,0.2938,1.0896982668791304
20000,final_one_retrain_encoder,20,1625,1000,625,1,1.0,0.706551724137931,15.428537862265154,16.00873335460784,1.0376053452065421,1.0,1.0253803675048057,0.3425384615384615,1.0739770724819782
20000,final_one_retrain_encoder,25,1625,1000,625,1,1.0,0.7485524820007579,15.996119601451525,16.510540727554158,1.032159119769019,1.0,1.017914600033204,0.4216153846153846,1.071164925300146
20000,final_one_retrain_encoder,30,1625,1000,625,1,1.0,0.7754187192118227,16.409573914634837,16.885139971945026,1.0289810119253648,1.0,1.0138311845854668,0.4752051282051282,1.0686893969552058
20000,final_one_retrain_encoder,40,1625,1000,625,1,1.0,0.8294505494505494,17.20261113645552,17.634411380442003,1.025100854780785,1.0,1.0085482332569282,0.5895384615384616,1.065878555854089
