seed,evaluation,graph_state_evaluation,latent_0,latent_1,fitness,source,actual_run_inserted,actual_run_replaced,actual_run_cell_x,actual_run_cell_y,euclidean_centroid_index,euclidean_cell_x,euclidean_cell_y,geodesic_centroid_index,geodesic_cell_x,geodesic_cell_y,assignment_disagrees,euclidean_distance_to_euclidean_choice,euclidean_distance_to_geodesic_choice,geodesic_distance_to_geodesic_choice,geodesic_distance_to_euclidean_choice,geodesic_gap_euclidean_choice_minus_geodesic_choice,geodesic_blowup_ratio_euclidean_choice_over_geodesic_choice,centroid_cell_displacement,synthetic_like_large_blowup_ratio_ge_2,synthetic_like_very_large_blowup_ratio_ge_5,final_euclidean_cell_occupied,final_euclidean_cell_fitness,candidate_minus_final_euclidean_cell_fitness,final_geodesic_cell_occupied,final_geodesic_cell_fitness,candidate_minus_final_geodesic_cell_fitness
1003,1,10000,-1.4616093635559082,7.163094520568848,1.296000000000001,bootstrap_random,False,False,7,8,268,10,18,268,10,18,False,1.2862688404619855,1.2862688404619855,1.2909336729373178,1.2909336729373178,0.0,1.0,0.0,False,False,True,7.297000000000001,-6.0009999999999994,True,7.297000000000001,-6.0009999999999994
1003,2,10000,-1.444397211074829,7.197210788726807,1.296000000000001,bootstrap_random,False,False,7,8,268,10,18,268,10,18,False,1.276438160520864,1.276438160520864,1.2787261237551637,1.2787261237551637,0.0,1.0,0.0,False,False,True,7.297000000000001,-6.0009999999999994,True,7.297000000000001,-6.0009999999999994
1003,3,10000,-1.4466859102249146,7.212502956390381,1.296000000000001,bootstrap_random,False,False,7,8,268,10,18,268,10,18,False,1.264744310122436,1.264744310122436,1.266530930008132,1.266530930008132,0.0,1.0,0.0,False,False,True,7.297000000000001,-6.0009999999999994,True,7.297000000000001,-6.0009999999999994
1003,4,10000,-1.498422384262085,6.952077388763428,1.333000000000001,bootstrap_random,False,False,7,8,268,10,18,268,10,18,False,1.4132659393875595,1.4132659393875595,1.4169208127029533,1.4169208127029533,0.0,1.0,0.0,False,False,True,7.297000000000001,-5.9639999999999995,True,7.297000000000001,-5.9639999999999995
1003,5,10000,-1.457688570022583,7.057440280914307,1.296000000000001,bootstrap_random,False,False,7,8,268,10,18,268,10,18,False,1.3626221061203616,1.3626221061203616,1.3737118546162899,1.3737118546162899,0.0,1.0,0.0,False,False,True,7.297000000000001,-6.0009999999999994,True,7.297000000000001,-6.0009999999999994
1003,6,10000,-1.462218165397644,7.105763912200928,1.296000000000001,bootstrap_random,False,False,7,8,268,10,18,268,10,18,False,1.3252419311459696,1.3252419311459696,1.3333798714137124,1.3333798714137124,0.0,1.0,0.0,False,False,True,7.297000000000001,-6.0009999999999994,True,7.297000000000001,-6.0009999999999994
1003,7,10000,-1.3293260335922241,7.050464153289795,1.296000000000001,bootstrap_random,False,False,7,8,268,10,18,268,10,18,False,1.4599036977876099,1.4599036977876099,1.4637870742325685,1.4637870742325685,0.0,1.0,0.0,False,False,True,7.297000000000001,-6.0009999999999994,True,7.297000000000001,-6.0009999999999994
1003,8,10000,-1.736664056777954,4.702641487121582,4.989,bootstrap_random,False,False,7,10,267,10,17,267,10,17,False,1.0695824483399756,1.0695824483399756,1.4266336355007,1.4266336355007,0.0,1.0,0.0,False,False,True,9.013999999999974,-4.024999999999975,True,9.013999999999974,-4.024999999999975
1003,9,10000,-1.9095463752746582,7.9170989990234375,-0.19499999999999998,bootstrap_random,False,False,7,8,268,10,18,268,10,18,False,0.5134027220070809,0.5134027220070809,0.8066956899554076,0.8066956899554076,0.0,1.0,0.0,False,False,True,7.297000000000001,-7.492000000000001,True,7.297000000000001,-7.492000000000001
1003,10,10000,-1.4905836582183838,3.403571844100952,3.206999999999999,bootstrap_random,False,False,7,13,266,10,16,266,10,16,False,0.9902971536536013,0.9902971536536013,1.050755631813866,1.050755631813866,0.0,1.0,0.0,False,False,True,15.419999999999918,-12.21299999999992,True,15.419999999999918,-12.21299999999992
1003,11,10000,-1.3801382780075073,7.095537185668945,1.296000000000001,bootstrap_random,False,False,7,8,268,10,18,268,10,18,False,1.3919862410713848,1.3919862410713848,1.3960459374207161,1.3960459374207161,0.0,1.0,0.0,False,False,True,7.297000000000001,-6.0009999999999994,True,7.297000000000001,-6.0009999999999994
